County_Name,State_Name,Confirmed,New,Death,New_Death,Fatality_Rate,Recovered,New_Recovered,Latitude,Longitude,Last_Update
Los Angeles,California,274643,76,6647,0,2.4%,11337,46,34.053490000000004,-118.24532,2020-10-05 21:40 EDT
Riverside,California,59934,0,1231,0,2.1%,54736,0,33.98171,-117.37404,2020-10-05 21:40 EDT
San Bernardino,California,56400,125,962,0,1.7%,53517,218,34.10524,-117.29412,2020-10-05 21:40 EDT
Orange,California,54760,120,1287,1,2.4%,48923,53,33.78787,-117.85071,2020-10-05 21:40 EDT
San Diego,California,48436,236,803,5,1.7%,1138,0,32.71568,-117.16171,2020-10-05 21:40 EDT
Kern,California,32522,31,386,0,1.2%,16405,0,35.34281638,-118.7299395,2020-10-05 21:40 EDT
Fresno,California,28855,0,399,0,1.4%,18869,0,36.74084000000001,-119.78552,2020-10-05 21:40 EDT
Sacramento,California,23245,390,432,2,1.9%,20540,264,38.57944000000001,-121.49085,2020-10-05 21:40 EDT
Santa Clara,California,21926,86,345,12,1.6%,178,0,37.35579,-121.95508999999998,2020-10-05 21:40 EDT
Alameda,California,21746,121,426,0,2.0%,0,0,37.76683,-122.2453,2020-10-05 21:40 EDT
San Joaquin,California,20569,84,471,1,2.3%,19861,0,37.93479557,-121.2713112,2020-10-05 21:40 EDT
Contra Costa,California,17322,59,213,1,1.2%,16251,56,37.91793732,-121.9259354,2020-10-05 21:40 EDT
Stanislaus,California,16737,34,372,2,2.2%,16144,41,37.55932622,-120.9976619,2020-10-05 21:40 EDT
Tulare,California,16490,91,265,0,1.6%,15630,38,36.20649,-119.34305,2020-10-05 21:40 EDT
Ventura,California,12943,0,153,0,1.2%,12070,0,34.28082,-119.29232,2020-10-05 21:40 EDT
Imperial,California,12076,29,326,0,2.7%,11471,24,32.84748,-115.56952,2020-10-05 21:40 EDT
San Francisco,California,11480,16,108,0,0.9%,520,0,37.77712,-122.41964,2020-10-05 21:40 EDT
Monterey,California,10402,43,75,0,0.7%,1471,0,36.21714603,-121.2390196,2020-10-05 21:40 EDT
San Mateo,California,10275,68,152,0,1.5%,0,0,37.54704,-122.31485,2020-10-05 21:40 EDT
Santa Barbara,California,9249,0,115,0,1.2%,8966,0,34.41938,-119.69905,2020-10-05 21:40 EDT
Merced,California,9033,0,145,0,1.6%,8609,0,37.19187429,-120.717739,2020-10-05 21:40 EDT
Kings,California,7919,7,82,0,1.0%,6279,52,36.07543071,-119.8153541,2020-10-05 21:40 EDT
Sonoma,California,7861,62,122,0,1.6%,6408,255,38.29188,-122.45728,2020-10-05 21:40 EDT
Marin,California,6781,8,119,0,1.8%,4347,0,38.07188727,-122.7195348,2020-10-05 21:40 EDT
