County_Name,State_Name,Confirmed,New,Death,New_Death,Fatality_Rate,Recovered,New_Recovered,Latitude,Longitude,Last_Update
Los Angeles,California,1194333,0,21569,0,1.8%,209,955,34.053490000000004,-118.24531999999999,2021-03-03 21:30 EDT
Riverside,California,290325,0,3829,0,1.3%,869,784,33.98171,-117.37404,2021-03-03 21:30 EDT
San Bernardino,California,286814,0,2952,0,1.0%,339,733,34.10524,-117.29411999999999,2021-03-03 21:30 EDT
San Diego,California,261001,0,3317,0,1.3%,172,650,32.71568,-117.16171000000001,2021-03-03 21:30 EDT
Orange,California,246820,0,3952,0,1.6%,1469,685,33.78787,-117.85071,2021-03-03 21:30 EDT
Santa Clara,California,110911,0,1797,0,1.6%,1919,405,37.35579,-121.95508999999998,2021-03-03 21:30 EDT
Kern,California,103756,0,915,0,0.9%,439,485,35.34281638,-118.7299395,2021-03-03 21:30 EDT
Fresno,California,95677,0,1451,0,1.5%,1929,93,36.74084000000001,-119.78551999999999,2021-03-03 21:30 EDT
Sacramento,California,93678,0,1488,0,1.6%,3759,57,38.57944000000001,-121.49085,2021-03-03 21:30 EDT
Alameda,California,84149,0,1279,0,1.5%,1009,0,37.76683,-122.2453,2021-03-03 21:30 EDT
Ventura,California,77675,0,858,0,1.1%,389,60,34.28082,-119.29231999999999,2021-03-03 21:30 EDT
San Joaquin,California,67040,0,1140,0,1.7%,1949,50,37.93479557,-121.2713112,2021-03-03 21:30 EDT
Contra Costa,California,62818,0,681,0,1.1%,769,53,37.91793732,-121.9259354,2021-03-03 21:30 EDT
Stanislaus,California,50639,0,950,0,1.9%,2059,69,37.55932622,-120.9976619,2021-03-03 21:30 EDT
Tulare,California,48114,0,768,0,1.6%,4569,6,36.20649,-119.34305,2021-03-03 21:30 EDT
Monterey,California,42316,0,329,0,0.8%,3129,0,36.21714603,-121.2390196,2021-03-03 21:30 EDT
Solano,California,39766,0,164,0,0.4%,1009,0,38.27793363,-121.9272405,2021-03-03 21:30 EDT
San Mateo,California,38912,0,521,0,1.3%,1999,38,37.54704,-122.31485,2021-03-03 21:30 EDT
San Francisco,California,34153,0,422,0,1.2%,1059,51,37.777120000000004,-122.41963999999999,2021-03-03 21:30 EDT
Santa Barbara,California,32087,0,416,0,1.3%,2859,57,34.41938,-119.69905,2021-03-03 21:30 EDT
Merced,California,29195,0,405,0,1.4%,1869,46,37.19187429,-120.717739,2021-03-03 21:30 EDT
Sonoma,California,28134,0,298,0,1.1%,4189,90,38.29188,-122.45728000000001,2021-03-03 21:30 EDT
Imperial,California,26840,0,638,0,2.4%,1009,0,32.84748,-115.56952,2021-03-03 21:30 EDT
Kings,California,22091,0,220,0,1.0%,3229,75,36.07543071,-119.8153541,2021-03-03 21:30 EDT
Placer,California,19882,0,232,0,1.2%,4999,36,39.05913563,-120.75363279999999,2021-03-03 21:30 EDT
San Luis Obispo,California,19724,0,236,0,1.2%,2289,24,35.28579000000001,-120.66275,2021-03-03 21:30 EDT
Madera,California,15452,0,214,0,1.4%,1959,73,36.96205,-120.06398999999999,2021-03-03 21:30 EDT
Santa Cruz,California,14700,0,183,0,1.2%,479,84,36.97424,-122.03098,2021-03-03 21:30 EDT
Marin,California,13261,0,197,0,1.5%,4929,78,38.07188727,-122.7195348,2021-03-03 21:30 EDT
Yolo,California,12722,0,185,0,1.5%,4639,76,38.73431,-121.81278999999999,2021-03-03 21:30 EDT
Shasta,California,11045,0,179,0,1.6%,3219,5,40.598279999999995,-122.49095,2021-03-03 21:30 EDT
Butte,California,10796,0,167,0,1.5%,169,21,39.66709143,-121.60091100000001,2021-03-03 21:30 EDT
El Dorado,California,9168,0,100,0,1.1%,4319,9,38.68217,-120.84683000000001,2021-03-03 21:30 EDT
Napa,California,9043,0,69,0,0.8%,457,29,38.50647693,-122.3306091,2021-03-03 21:30 EDT
Sutter,California,8886,0,98,0,1.1%,589,8,39.03467539,-121.69484569999999,2021-03-03 21:30 EDT
Yuba,California,5773,0,37,0,0.6%,6039,4,39.26918299,-121.3512653,2021-03-03 21:30 EDT
San Benito,California,5687,0,61,0,1.1%,3619,6,36.50506,-121.08332,2021-03-03 21:30 EDT
Lassen,California,5624,0,19,0,0.3%,6879,0,40.68244754,-120.60036909999998,2021-03-03 21:30 EDT
Tehama,California,5104,0,52,0,1.0%,7399,6,40.12569694,-122.23391529999999,2021-03-03 21:30 EDT
Nevada,California,3979,0,74,0,1.9%,4819,0,39.2616,-121.0161,2021-03-03 21:30 EDT
Tuolumne,California,3963,0,59,0,1.5%,5539,4,38.02764367,-119.95465359999999,2021-03-03 21:30 EDT
Mendocino,California,3821,0,43,0,1.1%,4669,1,39.44024063,-123.3912784,2021-03-03 21:30 EDT
Amador,California,3443,0,41,0,1.2%,45459,1,38.44606535,-120.65175500000001,2021-03-03 21:30 EDT
Humboldt,California,3219,0,33,0,1.0%,2529,3,40.69879803,-123.87371470000001,2021-03-03 21:30 EDT
Lake,California,3132,0,41,0,1.3%,5919,7,39.10265343,-122.75089740000001,2021-03-03 21:30 EDT
Glenn,California,2192,0,23,0,1.0%,411009,4,39.59827984,-122.392389,2021-03-03 21:30 EDT
Colusa,California,2139,0,13,0,0.6%,6419,4,39.17759768,-122.2371023,2021-03-03 21:30 EDT
Calaveras,California,1911,0,49,0,2.6%,8649,0,38.20473567,-120.55406550000001,2021-03-03 21:30 EDT
Siskiyou,California,1779,0,14,0,0.8%,45959,9,41.59256366,-122.54077720000001,2021-03-03 21:30 EDT
Inyo,California,1317,0,37,0,2.8%,3619,9,36.5110603,-117.410592,2021-03-03 21:30 EDT
Mono,California,1214,0,4,0,0.3%,4209,0,37.93749777,-118.8838882,2021-03-03 21:30 EDT
Del Norte,California,1007,0,5,0,0.5%,1849,1,41.74317575,-123.89711070000001,2021-03-03 21:30 EDT
Plumas,California,653,0,6,0,0.9%,509,0,40.00070236,-120.8334983,2021-03-03 21:30 EDT
Modoc,California,459,0,4,0,0.9%,41667,0,41.57651716400005,-120.73684738599995,2021-03-03 21:30 EDT
Mariposa,California,395,0,7,0,1.8%,609,0,37.58147049,-119.90545139999999,2021-03-03 21:30 EDT
Trinity,California,372,0,5,0,1.3%,4259,0,40.65065829,-123.11263500000001,2021-03-03 21:30 EDT
Sierra,California,100,0,0,0,0.0%,509,0,39.58038432,-120.5160202,2021-03-03 21:30 EDT
Alpine,California,82,0,0,0,0.0%,41009,0,38.59733305,-119.82042129999999,2021-03-03 21:30 EDT
Dallas,Texas,282399,0,3477,0,1.2%,4497,450,32.778220000000005,-96.79512,2021-03-03 21:30 EDT
Tarrant,Texas,243725,0,2912,0,1.2%,42039,879,32.8173,-97.07655,2021-03-03 21:30 EDT
Bexar,Texas,197267,0,2953,0,1.5%,5019,104,29.44892069,-98.52000770000001,2021-03-03 21:30 EDT
Harris--Non Houston,Texas,182322,0,1376,0,0.8%,430159,491,37.302192,-91.84458149999999,2021-03-03 21:30 EDT
Harris--Houston,Texas,172743,0,1965,0,1.1%,5639,386,29.66648008,-95.22438005,2021-03-03 21:30 EDT
El Paso,Texas,124438,0,2366,0,1.9%,4139,96,31.759159999999998,-106.48749,2021-03-03 21:30 EDT
Collin,Texas,83404,0,732,0,0.9%,1589,702,33.1968,-96.80393000000001,2021-03-03 21:30 EDT
Hidalgo,Texas,78165,0,2655,0,3.4%,44959,661,26.39702985,-98.18094296,2021-03-03 21:30 EDT
Travis,Texas,76274,0,863,0,1.1%,4406,490,30.33462266,-97.78218981,2021-03-03 21:30 EDT
Denton,Texas,65821,0,654,0,1.0%,47439,180,33.216590000000004,-97.13162,2021-03-03 21:30 EDT
Fort Bend,Texas,58663,0,569,0,1.0%,1869,322,29.52745252,-95.77065084,2021-03-03 21:30 EDT
Lubbock,Texas,48196,0,770,0,1.6%,239,68,33.61019304,-101.8204416,2021-03-03 21:30 EDT
Montgomery,Texas,45872,0,459,0,1.0%,1229,196,30.38862,-95.69633,2021-03-03 21:30 EDT
Webb,Texas,42757,0,788,0,1.8%,4759,15,27.7925,-99.4228,2021-03-03 21:30 EDT
Williamson,Texas,41194,0,406,0,1.0%,0,551,30.64806761,-97.60077209,2021-03-03 21:30 EDT
Nueces,Texas,37932,0,718,0,1.9%,4467,9,27.7262373,-97.61348194,2021-03-03 21:30 EDT
Cameron,Texas,37454,0,1483,0,4.0%,2989,70,26.13597462,-97.52423968,2021-03-03 21:30 EDT
Galveston,Texas,34896,0,347,0,1.0%,41042,70,29.29532,-94.80790999999999,2021-03-03 21:30 EDT
Brazoria,Texas,33152,0,387,0,1.2%,4799,93,29.049709999999997,-95.56200000000001,2021-03-03 21:30 EDT
McLennan,Texas,25237,0,440,0,1.7%,3449,66,31.55234029,-97.20180587,2021-03-03 21:30 EDT
Brazos,Texas,21243,0,215,0,1.0%,42549,22,30.66048584,-96.30207301,2021-03-03 21:30 EDT
Ellis,Texas,20936,0,280,0,1.3%,1159,60,32.34839289,-96.79460418,2021-03-03 21:30 EDT
Bell,Texas,20668,0,377,0,1.8%,424699,92,31.03765881,-97.47807382,2021-03-03 21:30 EDT
