County_Name,State_Name,Confirmed,New,Death,Fatality_Rate,Latitude,Longitude,Last_Update
Clallam,Washington,1,1,0,0.0000000,48.0493204,-123.9326675,2020-03-21 00:57 EDT
Los Angeles,California,292,61,2,0.0068493,34.0534900,-118.2453200,2020-03-21 00:57 EDT
Santa Clara,California,196,7,8,0.0408163,37.3557900,-121.9550900,2020-03-21 00:57 EDT
San Diego,California,127,22,0,0.0000000,32.7156800,-117.1617100,2020-03-21 00:57 EDT
San Mateo,California,100,11,1,0.0100000,37.5470400,-122.3148500,2020-03-21 00:57 EDT
San Francisco,California,76,6,0,0.0000000,37.7771200,-122.4196400,2020-03-21 00:57 EDT
Orange,California,65,12,0,0.0000000,33.7878700,-117.8507100,2020-03-21 00:57 EDT
Sacramento,California,53,8,3,0.0566038,38.5794400,-121.4908500,2020-03-21 00:57 EDT
Alameda,California,48,10,0,0.0000000,37.7668300,-122.2453000,2020-03-21 00:57 EDT
Contra Costa,California,46,5,1,0.0217391,37.9179373,-121.9259354,2020-03-21 00:57 EDT
Marin,California,38,23,0,0.0000000,38.0718873,-122.7195348,2020-03-21 00:57 EDT
Riverside,California,28,6,4,0.1428571,33.9817100,-117.3740400,2020-03-21 00:57 EDT
San Joaquin,California,25,8,2,0.0800000,37.9347956,-121.2713112,2020-03-21 00:57 EDT
Ventura,California,19,6,0,0.0000000,34.2808200,-119.2923200,2020-03-21 00:57 EDT
San Luis Obispo,California,16,3,0,0.0000000,35.2857900,-120.6627500,2020-03-21 00:57 EDT
Santa Cruz,California,15,1,0,0.0000000,36.9742400,-122.0309800,2020-03-21 00:57 EDT
Solano,California,13,5,0,0.0000000,38.2779336,-121.9272405,2020-03-21 00:57 EDT
Placer,California,9,0,1,0.1111111,39.0591356,-120.7536328,2020-03-21 00:57 EDT
Sonoma,California,9,3,1,0.1111111,38.2918800,-122.4572800,2020-03-21 00:57 EDT
San Bernardino,California,9,4,0,0.0000000,34.1052400,-117.2941200,2020-03-21 00:57 EDT
Santa Barbara,California,9,1,0,0.0000000,34.4193800,-119.6990500,2020-03-21 00:57 EDT
Tulare,California,7,0,0,0.0000000,36.2064900,-119.3430500,2020-03-21 00:57 EDT
Fresno,California,6,3,0,0.0000000,36.7408400,-119.7855200,2020-03-21 00:57 EDT
San Benito,California,5,2,1,0.2000000,36.5050600,-121.0833200,2020-03-21 00:57 EDT
Yolo,California,5,0,0,0.0000000,38.7343100,-121.8127900,2020-03-21 00:57 EDT
Stanislaus,California,5,0,0,0.0000000,37.5593262,-120.9976619,2020-03-21 00:57 EDT
Monterey,California,5,1,0,0.0000000,36.2171460,-121.2390196,2020-03-21 00:57 EDT
Imperial,California,4,2,0,0.0000000,32.8474800,-115.5695200,2020-03-21 00:57 EDT
Kern,California,4,0,0,0.0000000,35.3428164,-118.7299395,2020-03-21 00:57 EDT
Madera,California,3,2,0,0.0000000,36.9620500,-120.0639900,2020-03-21 00:57 EDT
Calaveras,California,2,0,0,0.0000000,38.2047357,-120.5540655,2020-03-21 00:57 EDT
Humboldt,California,1,0,0,0.0000000,40.6987980,-123.8737147,2020-03-21 00:57 EDT
Shasta,California,1,0,0,0.0000000,40.5982800,-122.4909500,2020-03-21 00:57 EDT
Nevada,California,1,0,0,0.0000000,39.2616000,-121.0161000,2020-03-21 00:57 EDT
Mendocino,California,1,0,0,0.0000000,39.4402406,-123.3912784,2020-03-21 00:57 EDT
Bergen,New Jersey,249,54,2,0.0080321,40.9594915,-74.0744420,2020-03-21 00:57 EDT
Middlesex,New Jersey,76,12,0,0.0000000,40.5793600,-74.5006700,2020-03-21 00:57 EDT
Essex,New Jersey,73,10,1,0.0136986,40.7877926,-74.2476006,2020-03-21 00:57 EDT
Hudson,New Jersey,66,11,1,0.0151515,40.7403423,-74.0741097,2020-03-21 00:57 EDT
Monmouth,New Jersey,53,10,1,0.0188679,40.2600411,-74.2219463,2020-03-21 00:57 EDT
Passaic,New Jersey,49,11,0,0.0000000,40.8603400,-74.1237400,2020-03-21 00:57 EDT
Ocean,New Jersey,49,16,0,0.0000000,39.9092743,-74.2969653,2020-03-21 00:57 EDT
Union,New Jersey,43,14,0,0.0000000,40.6963500,-74.2695700,2020-03-21 00:57 EDT
Morris,New Jersey,35,9,0,0.0000000,40.8620190,-74.5442741,2020-03-21 00:57 EDT
Somerset,New Jersey,28,7,0,0.0000000,40.4985900,-74.5224900,2020-03-21 00:57 EDT
Mercer,New Jersey,22,2,0,0.0000000,40.2833191,-74.7015737,2020-03-21 00:57 EDT
Burlington,New Jersey,17,3,0,0.0000000,40.0768700,-74.8577500,2020-03-21 00:57 EDT
Camden,New Jersey,11,-2,0,0.0000000,39.9452500,-75.1191300,2020-03-21 00:57 EDT
Hunterdon,New Jersey,11,3,0,0.0000000,40.5672532,-74.9121792,2020-03-21 00:57 EDT
Gloucester,New Jersey,5,3,0,0.0000000,39.7172011,-75.1416437,2020-03-21 00:57 EDT
Warren,New Jersey,3,0,0,0.0000000,40.8573236,-74.9970630,2020-03-21 00:57 EDT
Atlantic,New Jersey,3,0,0,0.0000000,39.4806564,-74.6726431,2020-03-21 00:57 EDT
Sussex,New Jersey,3,1,0,0.0000000,41.1393450,-74.6906776,2020-03-21 00:57 EDT
Cape May,New Jersey,1,0,0,0.0000000,38.9354700,-74.9213700,2020-03-21 00:57 EDT
Cumberland,New Jersey,1,1,0,0.0000000,39.3731149,-75.1106192,2020-03-21 00:57 EDT
Cook,Illinois,411,133,3,0.0072993,41.8401493,-87.8168232,2020-03-21 00:57 EDT
