County_Name,State_Name,Confirmed,New,Death,New_Death,Fatality_Rate,Recovered,New_Recovered,Latitude,Longitude,Last_Update
Los Angeles,California,1168372,0,19095,0,1.6%,3269,9026,34.053490000000004,-118.24531999999999,2021-02-16 20:00 EDT
Riverside,California,286590,1176,3558,34,1.2%,619,678,33.98171,-117.37404,2021-02-16 20:00 EDT
San Bernardino,California,282494,0,2418,0,0.9%,99,692,34.10524,-117.29411999999999,2021-02-16 20:00 EDT
San Diego,California,252943,0,3037,0,1.2%,3439,481,32.71568,-117.16171000000001,2021-02-16 20:00 EDT
Orange,California,243163,658,3617,40,1.5%,4329,299,33.78787,-117.85071,2021-02-16 20:00 EDT
Santa Clara,California,107619,0,1668,0,1.5%,2459,233,37.35579,-121.95508999999998,2021-02-16 20:00 EDT
Kern,California,100586,152,687,0,0.7%,479,912,35.34281638,-118.7299395,2021-02-16 20:00 EDT
Fresno,California,92520,0,1291,0,1.4%,247,576,36.74084000000001,-119.78551999999999,2021-02-16 20:00 EDT
Sacramento,California,90930,965,1382,10,1.5%,4849,190,38.57944000000001,-121.49085,2021-02-16 20:00 EDT
Alameda,California,78714,0,1121,0,1.4%,8829,90,37.76683,-122.2453,2021-02-16 20:00 EDT
Ventura,California,74671,0,732,0,1.0%,6269,53,34.28082,-119.29231999999999,2021-02-16 20:00 EDT
San Joaquin,California,64969,0,992,0,1.5%,5839,31,37.93479557,-121.2713112,2021-02-16 20:00 EDT
Contra Costa,California,60834,124,622,0,1.0%,1949,397,37.91793732,-121.9259354,2021-02-16 20:00 EDT
Stanislaus,California,49128,138,905,6,1.8%,2949,126,37.55932622,-120.9976619,2021-02-16 20:00 EDT
Tulare,California,46934,220,697,6,1.5%,347,81,36.20649,-119.34305,2021-02-16 20:00 EDT
Monterey,California,41580,239,309,2,0.7%,2699,9,36.21714603,-121.2390196,2021-02-16 20:00 EDT
San Mateo,California,37880,259,481,7,1.3%,5219,63,37.54704,-122.31485,2021-02-16 20:00 EDT
San Francisco,California,33159,60,372,6,1.1%,3219,44,37.777120000000004,-122.41963999999999,2021-02-16 20:00 EDT
Santa Barbara,California,30862,0,372,0,1.2%,3839,75,34.41938,-119.69905,2021-02-16 20:00 EDT
Solano,California,29251,0,140,0,0.5%,689,57,38.27793363,-121.9272405,2021-02-16 20:00 EDT
Merced,California,27701,0,375,0,1.4%,6319,77,37.19187429,-120.717739,2021-02-16 20:00 EDT
Sonoma,California,27361,112,287,0,1.0%,4339,13,38.29188,-122.45728000000001,2021-02-16 20:00 EDT
Imperial,California,26779,163,584,0,2.2%,6179,27,32.84748,-115.56952,2021-02-16 20:00 EDT
Kings,California,21658,11,209,1,1.0%,2789,50,36.07543071,-119.8153541,2021-02-16 20:00 EDT
San Luis Obispo,California,19210,311,210,5,1.1%,739,15,35.28579000000001,-120.66275,2021-02-16 20:00 EDT
Placer,California,19175,0,222,0,1.2%,447,2,39.05913563,-120.75363279999999,2021-02-16 20:00 EDT
