County_Name,State_Name,Confirmed,New,Death,New_Death,Fatality_Rate,Recovered,New_Recovered,Latitude,Longitude,Last_Update
Dallas,Texas,110717,1695,1391,8,1.3%,82509,0,32.778220000000005,-96.79512,2020-11-17 20:27 EDT
Harris--Houston,Texas,90501,262,1398,0,1.5%,81660,1,29.66648008,-95.22438005,2020-11-17 20:27 EDT
Harris--Non Houston,Texas,85458,283,977,4,1.1%,78077,327,37.302192,-91.8445815,2020-11-17 20:27 EDT
El Paso,Texas,76075,1102,818,11,1.1%,26890,0,31.75916,-106.48749,2020-11-17 20:27 EDT
Tarrant,Texas,73617,808,943,14,1.3%,50328,0,32.8173,-97.07655,2020-11-17 20:27 EDT
Bexar,Texas,70528,292,1453,2,2.1%,47970,0,29.44892069,-98.5200077,2020-11-17 20:27 EDT
Hidalgo,Texas,37580,167,1772,2,4.7%,31000,0,26.39702985,-98.18094296,2020-11-17 20:27 EDT
Travis,Texas,34769,157,462,2,1.3%,30113,0,30.33462266,-97.78218981,2020-11-17 20:27 EDT
Lubbock,Texas,26145,335,275,3,1.1%,14322,0,33.61019304,-101.8204416,2020-11-17 20:27 EDT
Cameron,Texas,25159,167,999,1,4.0%,22053,0,26.13597462,-97.52423968,2020-11-17 20:27 EDT
Nueces,Texas,22338,81,466,0,2.1%,20957,31,27.7262373,-97.61348194,2020-11-17 20:27 EDT
Collin,Texas,21689,24,222,4,1.0%,16618,0,33.1968,-96.80393,2020-11-17 20:27 EDT
Fort Bend,Texas,18785,24,322,0,1.7%,16392,0,29.52745252,-95.77065084,2020-11-17 20:27 EDT
Webb,Texas,17450,175,360,1,2.1%,13786,0,27.7925,-99.4228,2020-11-17 20:27 EDT
Denton,Texas,17157,271,196,1,1.1%,13135,0,33.216590000000004,-97.13162,2020-11-17 20:27 EDT
Galveston,Texas,13696,126,174,0,1.3%,11522,0,29.29532,-94.80791,2020-11-17 20:27 EDT
Montgomery,Texas,13602,0,197,3,1.4%,8682,0,30.38862,-95.69633,2020-11-17 20:27 EDT
Brazoria,Texas,13364,56,192,2,1.4%,11367,0,29.04971,-95.562,2020-11-17 20:27 EDT
McLennan,Texas,12323,217,168,2,1.4%,9101,0,31.55234029,-97.20180587,2020-11-17 20:27 EDT
Williamson,Texas,11016,174,160,0,1.5%,8993,0,30.64806761,-97.60077209,2020-11-17 20:27 EDT
Potter,Texas,10640,230,118,0,1.1%,5042,0,35.40127385,-101.8939736,2020-11-17 20:27 EDT
Jefferson,Texas,9368,131,170,2,1.8%,7307,0,29.88366401,-94.16922753,2020-11-17 20:27 EDT
Brazos,Texas,8675,274,95,1,1.1%,6883,0,30.66048584,-96.30207301,2020-11-17 20:27 EDT
Randall,Texas,8405,322,72,0,0.9%,3204,0,34.96596461,-101.896888,2020-11-17 20:27 EDT
Bell,Texas,7549,197,111,2,1.5%,5600,0,31.03765881,-97.47807382,2020-11-17 20:27 EDT
Tom Green,Texas,7481,223,112,1,1.5%,5741,0,31.40442601,-100.4619795,2020-11-17 20:27 EDT
Hays,Texas,6875,0,76,0,1.1%,5691,0,30.1227,-97.8722,2020-11-17 20:27 EDT
Midland,Texas,6576,171,93,2,1.4%,3914,0,31.86932499,-102.0314523,2020-11-17 20:27 EDT
Ellis,Texas,5770,56,101,1,1.8%,4149,0,32.34839289,-96.79460418,2020-11-17 20:27 EDT
Wichita,Texas,5558,208,90,2,1.6%,2219,0,33.98410156,-98.70169462,2020-11-17 20:27 EDT
Smith,Texas,5366,147,175,0,3.3%,3442,0,32.37505601,-95.26910259,2020-11-17 20:27 EDT
Ector,Texas,4864,0,115,3,2.4%,3406,0,31.86911555,-102.5428458,2020-11-17 20:27 EDT
Maverick,Texas,4662,53,168,0,3.6%,3649,0,28.74301122,-100.3142594,2020-11-17 20:27 EDT
Victoria,Texas,4627,43,99,0,2.1%,4090,0,28.79640375,-96.97175516,2020-11-17 20:27 EDT
Johnson,Texas,4509,110,81,4,1.8%,3443,0,32.37899029,-97.36641179,2020-11-17 20:27 EDT
Kaufman,Texas,4119,77,70,0,1.7%,3376,0,32.60298369,-96.28946607,2020-11-17 20:27 EDT
Guadalupe,Texas,4084,9,83,0,2.0%,1822,0,29.58309666,-97.94865645,2020-11-17 20:27 EDT
Walker,Texas,4028,7,67,1,1.7%,3824,0,30.73898292,-95.57222968,2020-11-17 20:27 EDT
Starr,Texas,3742,10,187,0,5.0%,3291,0,26.56239356,-98.7374609,2020-11-17 20:27 EDT
Grayson,Texas,3547,97,93,1,2.6%,2247,0,33.61833228,-96.67387872,2020-11-17 20:27 EDT
Hale,Texas,3446,105,79,4,2.3%,2039,0,34.07052809,-101.8268085,2020-11-17 20:27 EDT
Parker,Texas,3076,61,59,1,1.9%,2255,0,32.77771907,-97.80511717,2020-11-17 20:27 EDT
Anderson,Texas,3065,14,45,0,1.5%,2830,0,31.81320101,-95.65250749,2020-11-17 20:27 EDT
Comal,Texas,3027,27,108,0,3.6%,1850,0,29.80818438,-98.2781952,2020-11-17 20:27 EDT
Gregg,Texas,2973,80,100,2,3.4%,2097,0,32.48062462,-94.81699103,2020-11-17 20:27 EDT
Taylor,Texas,2958,41,88,2,3.0%,1510,0,32.30139883,-99.8899813,2020-11-17 20:27 EDT
Val Verde,Texas,2932,0,132,1,4.5%,2157,0,26.17619,-98.08112,2020-11-17 20:27 EDT
Angelina,Texas,2446,7,95,0,3.9%,2112,0,31.25730151,-94.63261756,2020-11-17 20:27 EDT
Rockwall,Texas,2414,58,35,0,1.4%,1766,0,32.89767022,-96.4078414,2020-11-17 20:27 EDT
Hunt,Texas,2400,0,53,1,2.2%,1696,0,33.13330985,-96.08803634,2020-11-17 20:27 EDT
Bowie,Texas,2386,39,91,1,3.8%,1231,0,33.559,-97.8486,2020-11-17 20:27 EDT
Orange,Texas,2384,0,50,0,2.1%,1706,0,30.1280798,-93.89665964,2020-11-17 20:27 EDT
Liberty,Texas,2382,5,63,2,2.6%,2226,0,30.15168965,-94.81217381,2020-11-17 20:27 EDT
Lamar,Texas,2314,55,58,1,2.5%,1472,0,33.66742106,-95.57087079,2020-11-17 20:27 EDT
