County_Name,State_Name,Confirmed,New,Death,New_Death,Fatality_Rate,Recovered,New_Recovered,Latitude,Longitude,Last_Update
Los Angeles,California,285067,1274,6813,20,2.4%,11768,54,34.053490000000004,-118.24531999999999,2020-10-14 20:20 EDT
Riverside,California,62900,347,1264,6,2.0%,56913,254,33.98171,-117.37404,2020-10-14 20:20 EDT
San Bernardino,California,58936,357,986,0,1.7%,55911,305,34.10524,-117.29411999999999,2020-10-14 20:20 EDT
Orange,California,56283,213,1360,19,2.4%,50313,183,33.78787,-117.85071,2020-10-14 20:20 EDT
San Diego,California,51024,0,840,0,1.6%,1138,0,32.71568,-117.16171000000001,2020-10-14 20:20 EDT
Kern,California,33145,56,406,9,1.2%,16770,30,35.34281638,-118.7299395,2020-10-14 20:20 EDT
Fresno,California,29523,0,424,0,1.4%,19407,0,36.74084000000001,-119.78551999999999,2020-10-14 20:20 EDT
Sacramento,California,24060,91,462,4,1.9%,22071,391,38.57944000000001,-121.49085,2020-10-14 20:20 EDT
Santa Clara,California,22741,0,363,0,1.6%,178,0,37.35579,-121.95508999999998,2020-10-14 20:20 EDT
Alameda,California,22325,46,442,1,2.0%,0,0,37.76683,-122.2453,2020-10-14 20:20 EDT
San Joaquin,California,21100,36,483,6,2.3%,19861,0,37.93479557,-121.2713112,2020-10-14 20:20 EDT
Contra Costa,California,17866,32,233,2,1.3%,17033,81,37.91793732,-121.9259354,2020-10-14 20:20 EDT
Stanislaus,California,17087,0,387,0,2.3%,16759,0,37.55932622,-120.9976619,2020-10-14 20:20 EDT
Tulare,California,17015,39,273,4,1.6%,16178,99,36.20649,-119.34305,2020-10-14 20:20 EDT
Ventura,California,13438,0,158,0,1.2%,12729,0,34.28082,-119.29231999999999,2020-10-14 20:20 EDT
Imperial,California,12334,44,335,5,2.7%,11649,27,32.84748,-115.56952,2020-10-14 20:20 EDT
San Francisco,California,11712,21,123,0,1.1%,520,0,37.777120000000004,-122.41963999999999,2020-10-14 20:20 EDT
Monterey,California,10827,79,81,0,0.7%,8256,62,36.21714603,-121.2390196,2020-10-14 20:20 EDT
San Mateo,California,10622,21,155,0,1.5%,0,0,37.54704,-122.31485,2020-10-14 20:20 EDT
Santa Barbara,California,9503,0,116,0,1.2%,9259,0,34.41938,-119.69905,2020-10-14 20:20 EDT
Merced,California,9265,0,152,0,1.6%,8777,0,37.19187429,-120.717739,2020-10-14 20:20 EDT
Sonoma,California,8558,58,128,0,1.5%,6891,0,38.29188,-122.45728000000001,2020-10-14 20:20 EDT
Kings,California,8096,0,82,0,1.0%,6414,0,36.07543071,-119.8153541,2020-10-14 20:20 EDT
Marin,California,6934,0,124,0,1.8%,6573,0,38.07188727,-122.7195348,2020-10-14 20:20 EDT
Solano,California,6876,0,74,0,1.1%,6504,0,38.27793363,-121.9272405,2020-10-14 20:20 EDT
Madera,California,4796,0,71,0,1.5%,4381,0,36.96205,-120.06398999999999,2020-10-14 20:20 EDT
San Luis Obispo,California,3933,9,32,0,0.8%,3708,35,35.28579000000001,-120.66275,2020-10-14 20:20 EDT
Placer,California,3845,7,51,0,1.3%,3524,18,39.05913563,-120.75363279999999,2020-10-14 20:20 EDT
Yolo,California,2986,0,56,0,1.9%,42,0,38.73431,-121.81278999999999,2020-10-14 20:20 EDT
Butte,California,2946,0,48,0,1.6%,2819,0,39.66709143,-121.60091100000001,2020-10-14 20:20 EDT
Santa Cruz,California,2633,15,23,3,0.9%,2403,20,36.97424,-122.03098,2020-10-14 20:20 EDT
Napa,California,1832,9,13,0,0.7%,1601,42,38.50647693,-122.3306091,2020-10-14 20:20 EDT
Sutter,California,1785,0,12,0,0.7%,1757,0,39.03467539,-121.69484569999999,2020-10-14 20:20 EDT
Shasta,California,1597,0,25,0,1.6%,1392,0,40.598279999999995,-122.49095,2020-10-14 20:20 EDT
San Benito,California,1388,0,13,0,0.9%,1363,0,36.50506,-121.08332,2020-10-14 20:20 EDT
El Dorado,California,1261,0,4,0,0.3%,1128,0,38.68217,-120.84683000000001,2020-10-14 20:20 EDT
Yuba,California,1239,0,10,0,0.8%,1208,0,39.26918299,-121.3512653,2020-10-14 20:20 EDT
Mendocino,California,1055,0,21,0,2.0%,985,0,39.44024063,-123.3912784,2020-10-14 20:20 EDT
Lassen,California,751,2,1,0,0.1%,740,0,40.68244754,-120.60036909999998,2020-10-14 20:20 EDT
Tehama,California,722,42,8,0,1.1%,578,13,40.12569694,-122.23391529999999,2020-10-14 20:20 EDT
Lake,California,639,1,14,0,2.2%,579,2,39.10265343,-122.75089740000001,2020-10-14 20:20 EDT
Glenn,California,635,0,3,0,0.5%,620,5,39.59827984,-122.392389,2020-10-14 20:20 EDT
Nevada,California,573,0,8,0,1.4%,545,0,39.2616,-121.0161,2020-10-14 20:20 EDT
Colusa,California,545,2,6,0,1.1%,535,1,39.17759768,-122.2371023,2020-10-14 20:20 EDT
Humboldt,California,534,0,8,0,1.5%,516,0,40.69879803,-123.87371470000001,2020-10-14 20:20 EDT
Calaveras,California,331,0,16,0,4.8%,308,0,38.20473567,-120.55406550000001,2020-10-14 20:20 EDT
Amador,California,270,0,15,0,5.6%,245,0,38.44606535,-120.65175500000001,2020-10-14 20:20 EDT
Tuolumne,California,242,0,4,0,1.7%,215,0,38.02764367,-119.95465359999999,2020-10-14 20:20 EDT
Inyo,California,209,0,15,0,7.2%,172,0,36.5110603,-117.410592,2020-10-14 20:20 EDT
Siskiyou,California,182,0,1,0,0.5%,177,0,41.59256366,-122.54077720000001,2020-10-14 20:20 EDT
Mono,California,173,0,2,0,1.2%,0,0,37.93749777,-118.8838882,2020-10-14 20:20 EDT
Del Norte,California,170,0,1,0,0.6%,157,0,41.74317575,-123.89711070000001,2020-10-14 20:20 EDT
Mariposa,California,77,0,2,0,2.6%,74,0,37.58147049,-119.90545139999999,2020-10-14 20:20 EDT
Plumas,California,53,0,0,0,0.0%,52,0,40.00070236,-120.8334983,2020-10-14 20:20 EDT
Modoc,California,28,0,0,0,0.0%,27,0,41.57651716400005,-120.73684738599995,2020-10-14 20:20 EDT
Trinity,California,21,0,0,0,0.0%,16,0,40.65065829,-123.11263500000001,2020-10-14 20:20 EDT
Sierra,California,6,0,0,0,0.0%,6,0,39.58038432,-120.5160202,2020-10-14 20:20 EDT
Alpine,California,3,0,0,0,0.0%,3,0,38.59733305,-119.82042129999999,2020-10-14 20:20 EDT
Dallas,Texas,87381,606,1180,7,1.4%,79070,185,32.778220000000005,-96.79512,2020-10-14 20:20 EDT
Harris--Houston,Texas,79630,424,1263,10,1.6%,59855,810,29.66648008,-95.22438005,2020-10-14 20:20 EDT
