County_Name,State_Name,Confirmed,New,Death,New_Death,Fatality_Rate,Latitude,Longitude,Last_Update
Chelan,Washington,3,0,0,0,0.0000000,47.8670717,-120.6252677,2020/03/22 22:06 EDT
Franklin,Washington,3,1,0,0,0.0000000,38.5537800,-91.0009200,2020/03/22 22:06 EDT
Lewis,Washington,2,0,0,0,0.0000000,46.5777949,-122.3929158,2020/03/22 22:06 EDT
Grays Harbor,Washington,1,0,0,0,0.0000000,47.1505523,-123.7737432,2020/03/22 22:06 EDT
Columbia,Washington,1,0,0,0,0.0000000,46.2975768,-117.9078634,2020/03/22 22:06 EDT
Lincoln,Washington,1,0,0,0,0.0000000,47.5730506,-118.4177041,2020/03/22 22:06 EDT
Mason,Washington,1,0,0,0,0.0000000,38.6150400,-83.8098800,2020/03/22 22:06 EDT
Walla Walla County,Washington,1,0,0,0,0.0000000,46.2312534,-118.4726866,2020/03/22 22:06 EDT
Stevens,Washington,1,0,0,0,0.0000000,48.3991063,-117.8493243,2020/03/22 22:06 EDT
San Juan,Washington,1,0,0,0,0.0000000,48.5782286,-122.9629790,2020/03/22 22:06 EDT
Bergen,New Jersey,457,94,6,6,0.0131291,40.9594915,-74.0744420,2020/03/22 22:06 EDT
Essex,New Jersey,172,65,4,4,0.0232558,40.7877926,-74.2476006,2020/03/22 22:06 EDT
Monmouth,New Jersey,158,66,3,3,0.0189873,40.2600411,-74.2219463,2020/03/22 22:06 EDT
Middlesex,New Jersey,147,31,0,0,0.0000000,40.5793600,-74.5006700,2020/03/22 22:06 EDT
Hudson,New Jersey,126,29,1,1,0.0079365,40.7403423,-74.0741097,2020/03/22 22:06 EDT
Union,New Jersey,124,43,0,0,0.0000000,40.6963500,-74.2695700,2020/03/22 22:06 EDT
Morris,New Jersey,119,55,1,1,0.0084034,40.8620190,-74.5442741,2020/03/22 22:06 EDT
Ocean,New Jersey,102,40,1,1,0.0098039,39.9092743,-74.2969653,2020/03/22 22:06 EDT
Passaic,New Jersey,95,28,0,0,0.0000000,40.8603400,-74.1237400,2020/03/22 22:06 EDT
Somerset,New Jersey,51,17,1,1,0.0196078,40.4985900,-74.5224900,2020/03/22 22:06 EDT
Mercer,New Jersey,40,10,0,0,0.0000000,40.2833191,-74.7015737,2020/03/22 22:06 EDT
Burlington,New Jersey,26,5,0,0,0.0000000,40.0768700,-74.8577500,2020/03/22 22:06 EDT
Camden,New Jersey,22,7,1,1,0.0454545,39.9452500,-75.1191300,2020/03/22 22:06 EDT
Hunterdon,New Jersey,16,2,0,0,0.0000000,40.5672532,-74.9121792,2020/03/22 22:06 EDT
Sussex,New Jersey,12,6,0,0,0.0000000,41.1393450,-74.6906776,2020/03/22 22:06 EDT
Warren,New Jersey,9,4,0,0,0.0000000,40.8573236,-74.9970630,2020/03/22 22:06 EDT
Gloucester,New Jersey,8,2,0,0,0.0000000,39.7172011,-75.1416437,2020/03/22 22:06 EDT
Atlantic,New Jersey,5,1,0,0,0.0000000,39.4806564,-74.6726431,2020/03/22 22:06 EDT
Cape May,New Jersey,2,0,0,0,0.0000000,38.9354700,-74.9213700,2020/03/22 22:06 EDT
Cumberland,New Jersey,1,0,0,0,0.0000000,39.3731149,-75.1106192,2020/03/22 22:06 EDT
Los Angeles,California,407,56,5,5,0.0122850,34.0534900,-118.2453200,2020/03/22 22:06 EDT
Santa Clara,California,302,39,10,10,0.0331126,37.3557900,-121.9550900,2020/03/22 22:06 EDT
San Diego,California,201,46,1,1,0.0049751,32.7156800,-117.1617100,2020/03/22 22:06 EDT
San Mateo,California,117,7,1,1,0.0085470,37.5470400,-122.3148500,2020/03/22 22:06 EDT
San Francisco,California,108,24,0,0,0.0000000,37.7771200,-122.4196400,2020/03/22 22:06 EDT
Alameda,California,106,38,0,0,0.0000000,37.7668300,-122.2453000,2020/03/22 22:06 EDT
Orange,California,95,17,0,0,0.0000000,33.7878700,-117.8507100,2020/03/22 22:06 EDT
Contra Costa,California,61,10,1,1,0.0163934,37.9179373,-121.9259354,2020/03/22 22:06 EDT
Sacramento,California,53,0,3,3,0.0566038,38.5794400,-121.4908500,2020/03/22 22:06 EDT
Riverside,California,45,15,6,6,0.1333333,33.9817100,-117.3740400,2020/03/22 22:06 EDT
San Joaquin,California,41,10,2,2,0.0487805,37.9347956,-121.2713112,2020/03/22 22:06 EDT
Marin,California,38,0,0,0,0.0000000,38.0718873,-122.7195348,2020/03/22 22:06 EDT
Ventura,California,30,5,1,1,0.0333333,34.2808200,-119.2923200,2020/03/22 22:06 EDT
San Luis Obispo,California,27,6,0,0,0.0000000,35.2857900,-120.6627500,2020/03/22 22:06 EDT
Sonoma,California,22,0,1,1,0.0454545,38.2918800,-122.4572800,2020/03/22 22:06 EDT
San Bernardino,California,17,7,0,0,0.0000000,34.1052400,-117.2941200,2020/03/22 22:06 EDT
Santa Cruz,California,15,0,0,0,0.0000000,36.9742400,-122.0309800,2020/03/22 22:06 EDT
Solano,California,13,0,0,0,0.0000000,38.2779336,-121.9272405,2020/03/22 22:06 EDT
Santa Barbara,California,13,4,0,0,0.0000000,34.4193800,-119.6990500,2020/03/22 22:06 EDT
Placer,California,12,0,1,1,0.0833333,39.0591356,-120.7536328,2020/03/22 22:06 EDT
Tulare,California,12,0,0,0,0.0000000,36.2064900,-119.3430500,2020/03/22 22:06 EDT
Monterey,California,11,0,1,1,0.0909091,36.2171460,-121.2390196,2020/03/22 22:06 EDT
Yolo,California,6,0,1,1,0.1666667,38.7343100,-121.8127900,2020/03/22 22:06 EDT
Fresno,California,6,0,0,0,0.0000000,36.7408400,-119.7855200,2020/03/22 22:06 EDT
Imperial,California,6,2,0,0,0.0000000,32.8474800,-115.5695200,2020/03/22 22:06 EDT
San Benito,California,5,0,1,1,0.2000000,36.5050600,-121.0833200,2020/03/22 22:06 EDT
Stanislaus,California,5,0,0,0,0.0000000,37.5593262,-120.9976619,2020/03/22 22:06 EDT
Kern,California,5,0,0,0,0.0000000,35.3428164,-118.7299395,2020/03/22 22:06 EDT
Madera,California,3,0,0,0,0.0000000,36.9620500,-120.0639900,2020/03/22 22:06 EDT
Humboldt,California,2,0,0,0,0.0000000,40.6987980,-123.8737147,2020/03/22 22:06 EDT
Calaveras,California,2,0,0,0,0.0000000,38.2047357,-120.5540655,2020/03/22 22:06 EDT
Siskiyou,California,2,0,0,0,0.0000000,41.5925637,-122.5407772,2020/03/22 22:06 EDT
