County_Name,State_Name,Confirmed,New,Death,New_Death,Fatality_Rate,Recovered,New_Recovered,Latitude,Longitude,Last_Update
Los Angeles,California,206778,2520,4967,48,2.4%,7455,0,34.053490000000004,-118.24532,2020-08-08 20:30 EDT
Riverside,California,40452,0,799,0,2.0%,21121,0,33.98171,-117.37404,2020-08-08 20:30 EDT
Orange,California,39076,322,720,16,1.8%,29568,559,33.78787,-117.85071,2020-08-08 20:30 EDT
San Bernardino,California,35452,513,502,5,1.4%,27665,485,34.10524,-117.29412,2020-08-08 20:30 EDT
San Diego,California,31779,0,586,0,1.8%,1138,0,32.71568,-117.16171,2020-08-08 20:30 EDT
Kern,California,22626,617,171,11,0.8%,7122,315,35.34281638,-118.7299395,2020-08-08 20:30 EDT
Fresno,California,17031,0,171,0,1.0%,6505,0,36.74084000000001,-119.78552,2020-08-08 20:30 EDT
Alameda,California,13213,0,208,0,1.6%,0,0,37.76683,-122.2453,2020-08-08 20:30 EDT
San Joaquin,California,12303,0,211,0,1.7%,11199,0,37.93479557,-121.2713112,2020-08-08 20:30 EDT
Santa Clara,California,11475,0,203,0,1.8%,178,0,37.35579,-121.95508999999998,2020-08-08 20:30 EDT
Sacramento,California,10795,0,161,0,1.5%,8631,0,38.57944000000001,-121.49085,2020-08-08 20:30 EDT
Tulare,California,10475,0,196,0,1.9%,9287,0,36.20649,-119.34305,2020-08-08 20:30 EDT
Imperial,California,9693,64,244,2,2.5%,8615,79,32.84748,-115.56952,2020-08-08 20:30 EDT
Stanislaus,California,9566,0,161,0,1.7%,8823,0,37.55932622,-120.9976619,2020-08-08 20:30 EDT
Contra Costa,California,9022,262,138,2,1.5%,7923,194,37.91793732,-121.9259354,2020-08-08 20:30 EDT
Ventura,California,8146,0,89,0,1.1%,4568,0,34.28082,-119.29232,2020-08-08 20:30 EDT
San Francisco,California,7432,106,67,3,0.9%,520,0,37.77712,-122.41964,2020-08-08 20:30 EDT
Santa Barbara,California,6704,0,69,0,1.0%,6437,0,34.41938,-119.69905,2020-08-08 20:30 EDT
San Mateo,California,6110,132,120,0,2.0%,0,0,37.54704,-122.31485,2020-08-08 20:30 EDT
Marin,California,5287,1,79,1,1.5%,4347,0,38.07188727,-122.7195348,2020-08-08 20:30 EDT
Monterey,California,5212,56,35,0,0.7%,1471,0,36.21714603,-121.2390196,2020-08-08 20:30 EDT
Merced,California,5012,0,64,0,1.3%,3091,0,37.19187429,-120.717739,2020-08-08 20:30 EDT
Kings,California,4453,0,56,0,1.3%,2525,0,36.07543071,-119.8153541,2020-08-08 20:30 EDT
Solano,California,4029,0,40,0,1.0%,3767,0,38.27793363,-121.9272405,2020-08-08 20:30 EDT
Sonoma,California,3431,0,47,0,1.4%,1619,0,38.29188,-122.45728,2020-08-08 20:30 EDT
Madera,California,2302,0,39,0,1.7%,1663,0,36.96205,-120.06399,2020-08-08 20:30 EDT
Placer,California,2186,87,20,0,0.9%,1839,53,39.05913563,-120.7536328,2020-08-08 20:30 EDT
San Luis Obispo,California,2093,0,16,0,0.8%,1716,0,35.28579000000001,-120.66275,2020-08-08 20:30 EDT
Yolo,California,1690,0,43,0,2.5%,42,0,38.73431,-121.81279,2020-08-08 20:30 EDT
Santa Cruz,California,1238,9,6,2,0.5%,374,1,36.97424,-122.03098,2020-08-08 20:30 EDT
Butte,California,1095,0,8,0,0.7%,959,0,39.66709143,-121.600911,2020-08-08 20:30 EDT
Napa,California,1046,0,10,0,1.0%,393,0,38.50647693,-122.3306091,2020-08-08 20:30 EDT
Sutter,California,921,0,7,0,0.8%,484,0,39.03467539,-121.6948457,2020-08-08 20:30 EDT
El Dorado,California,729,0,1,0,0.1%,559,0,38.68217,-120.84683,2020-08-08 20:30 EDT
San Benito,California,709,0,4,0,0.6%,654,0,36.50506,-121.08332,2020-08-08 20:30 EDT
Lassen,California,638,0,0,0,0.0%,504,0,40.68244754,-120.60036909999998,2020-08-08 20:30 EDT
Yuba,California,588,0,4,0,0.7%,299,0,39.26918299,-121.3512653,2020-08-08 20:30 EDT
Shasta,California,418,0,10,0,2.4%,363,0,40.59828,-122.49095,2020-08-08 20:30 EDT
Mendocino,California,380,0,10,0,2.6%,274,0,39.44024063,-123.3912784,2020-08-08 20:30 EDT
Colusa,California,362,0,4,0,1.1%,301,0,39.17759768,-122.2371023,2020-08-08 20:30 EDT
Glenn,California,360,0,3,0,0.8%,334,0,39.59827984,-122.392389,2020-08-08 20:30 EDT
Nevada,California,322,0,1,0,0.3%,300,0,39.2616,-121.0161,2020-08-08 20:30 EDT
Humboldt,California,282,0,4,0,1.4%,213,0,40.69879803,-123.8737147,2020-08-08 20:30 EDT
Tehama,California,276,5,1,0,0.4%,237,1,40.12569694,-122.2339153,2020-08-08 20:30 EDT
Lake,California,220,0,2,0,0.9%,194,0,39.10265343,-122.7508974,2020-08-08 20:30 EDT
Amador,California,164,0,0,0,0.0%,112,0,38.44606535,-120.651755,2020-08-08 20:30 EDT
Mono,California,154,0,1,0,0.6%,0,0,37.93749777,-118.8838882,2020-08-08 20:30 EDT
Tuolumne,California,152,0,2,0,1.3%,144,0,38.02764367,-119.9546536,2020-08-08 20:30 EDT
Calaveras,California,147,0,1,0,0.7%,120,0,38.20473567,-120.5540655,2020-08-08 20:30 EDT
Del Norte,California,99,0,1,0,1.0%,88,0,41.74317575,-123.8971107,2020-08-08 20:30 EDT
Siskiyou,California,93,0,1,0,1.1%,83,0,41.59256366,-122.5407772,2020-08-08 20:30 EDT
Inyo,California,89,0,3,0,3.4%,50,0,36.5110603,-117.410592,2020-08-08 20:30 EDT
Mariposa,California,60,0,2,0,3.3%,55,0,37.58147049,-119.9054514,2020-08-08 20:30 EDT
Plumas,California,34,0,0,0,0.0%,32,0,40.00070236,-120.8334983,2020-08-08 20:30 EDT
Trinity,California,5,0,0,0,0.0%,5,0,40.65065829,-123.112635,2020-08-08 20:30 EDT
Modoc,California,5,0,0,0,0.0%,0,0,41.57651716400005,-120.73684738599995,2020-08-08 20:30 EDT
Sierra,California,3,0,0,0,0.0%,2,0,39.58038432,-120.5160202,2020-08-08 20:30 EDT
Alpine,California,2,0,0,0,0.0%,2,0,38.59733305,-119.8204213,2020-08-08 20:30 EDT
Miami-Dade,Florida,131217,1808,1838,29,1.4%,0,0,25.61418208,-80.5679083,2020-08-08 20:30 EDT
Broward,Florida,61614,868,789,7,1.3%,0,0,26.15224542,-80.48705340000002,2020-08-08 20:30 EDT
Palm Beach,Florida,36600,486,929,10,2.5%,0,0,26.70288,-80.03661,2020-08-08 20:30 EDT
Hillsborough,Florida,32268,403,388,2,1.2%,0,0,27.93023096,-82.30785534,2020-08-08 20:30 EDT
Orange,Florida,31395,369,297,10,0.9%,0,0,30.244011,-85.007347,2020-08-08 20:30 EDT
Duval,Florida,23166,277,188,11,0.8%,0,0,30.47844000000001,-81.62557,2020-08-08 20:30 EDT
Pinellas,Florida,17725,184,497,16,2.8%,0,0,27.9313392,-82.72194025,2020-08-08 20:30 EDT
Lee,Florida,16431,183,334,5,2.0%,0,0,26.57965162,-81.82468531,2020-08-08 20:30 EDT
Polk,Florida,14124,285,312,8,2.2%,0,0,27.94887824,-81.69776009,2020-08-08 20:30 EDT
Collier,Florida,10265,63,133,2,1.3%,0,0,26.11625563,-81.34013334,2020-08-08 20:30 EDT
Osceola,Florida,9568,167,104,4,1.1%,0,0,28.06812578,-81.14519655,2020-08-08 20:30 EDT
Escambia,Florida,9297,540,120,5,1.3%,0,0,30.70048478,-87.37722154,2020-08-08 20:30 EDT
Manatee,Florida,9199,75,191,2,2.1%,0,0,27.49643,-82.53954,2020-08-08 20:30 EDT
Volusia,Florida,7779,125,131,5,1.7%,0,0,29.16934,-81.52251,2020-08-08 20:30 EDT
Seminole,Florida,7048,72,118,8,1.7%,370,0,28.71700144,-81.23632262,2020-08-08 20:30 EDT
Pasco,Florida,6982,89,127,5,1.8%,0,0,28.32453,-82.33624,2020-08-08 20:30 EDT
Marion,Florida,6260,276,89,3,1.4%,0,0,29.21018701,-82.05662511,2020-08-08 20:30 EDT
