County_Name,State_Name,Confirmed,New,Death,New_Death,Fatality_Rate,Recovered,New_Recovered,Latitude,Longitude,Last_Update
Los Angeles,California,818698,0,10773,0,1.3%,23994,0,34.053490000000004,-118.24531999999999,2021-01-04 21:30 EDT
San Bernardino,California,203309,7646,1449,2,0.7%,188436,14561,34.10524,-117.29411999999999,2021-01-04 21:30 EDT
Riverside,California,180553,0,1985,0,1.1%,118836,0,33.98171,-117.37404,2021-01-04 21:30 EDT
San Diego,California,168020,3520,1592,0,0.9%,1138,0,32.71568,-117.16171000000001,2021-01-04 21:30 EDT
Orange,California,161589,0,1901,0,1.2%,91679,0,33.78787,-117.85071,2021-01-04 21:30 EDT
Santa Clara,California,74359,866,747,0,1.0%,178,0,37.35579,-121.95508999999998,2021-01-04 21:30 EDT
Kern,California,71033,0,512,0,0.7%,20490,0,35.34281638,-118.7299395,2021-01-04 21:30 EDT
Fresno,California,68740,1256,711,0,1.0%,26742,0,36.74084000000001,-119.78551999999999,2021-01-04 21:30 EDT
Sacramento,California,65425,0,857,0,1.3%,49639,0,38.57944000000001,-121.49085,2021-01-04 21:30 EDT
Alameda,California,53628,1337,659,0,1.2%,0,0,37.76683,-122.2453,2021-01-04 21:30 EDT
San Joaquin,California,46562,979,667,16,1.4%,41658,2404,37.93479557,-121.2713112,2021-01-04 21:30 EDT
Contra Costa,California,42628,0,347,0,0.8%,35864,0,37.91793732,-121.9259354,2021-01-04 21:30 EDT
Ventura,California,39559,0,263,0,0.7%,34394,0,34.28082,-119.29231999999999,2021-01-04 21:30 EDT
Stanislaus,California,35800,329,624,0,1.7%,31337,287,37.55932622,-120.9976619,2021-01-04 21:30 EDT
Tulare,California,34402,959,419,13,1.2%,28417,0,36.20649,-119.34305,2021-01-04 21:30 EDT
Monterey,California,28351,0,196,0,0.7%,13278,0,36.21714603,-121.2390196,2021-01-04 21:30 EDT
San Mateo,California,24589,0,227,0,0.9%,0,0,37.54704,-122.31485,2021-01-04 21:30 EDT
San Francisco,California,24408,192,194,0,0.8%,520,0,37.777120000000004,-122.41963999999999,2021-01-04 21:30 EDT
Imperial,California,22820,601,420,0,1.8%,20767,600,32.84748,-115.56952,2021-01-04 21:30 EDT
Merced,California,19444,0,260,0,1.3%,15501,0,37.19187429,-120.717739,2021-01-04 21:30 EDT
Sonoma,California,19386,26,196,0,1.0%,10707,0,38.29188,-122.45728000000001,2021-01-04 21:30 EDT
Solano,California,19211,0,98,0,0.5%,16765,0,38.27793363,-121.9272405,2021-01-04 21:30 EDT
Santa Barbara,California,18230,839,160,0,0.9%,16461,686,34.41938,-119.69905,2021-01-04 21:30 EDT
Kings,California,16628,234,110,0,0.7%,10033,0,36.07543071,-119.8153541,2021-01-04 21:30 EDT
Placer,California,13755,0,125,0,0.9%,9996,0,39.05913563,-120.75363279999999,2021-01-04 21:30 EDT
San Luis Obispo,California,11284,887,88,6,0.8%,8714,823,35.28579000000001,-120.66275,2021-01-04 21:30 EDT
Madera,California,10491,0,117,0,1.1%,7533,0,36.96205,-120.06398999999999,2021-01-04 21:30 EDT
Marin,California,10119,97,139,0,1.4%,9061,21,38.07188727,-122.7195348,2021-01-04 21:30 EDT
Santa Cruz,California,9295,546,83,0,0.9%,6950,667,36.97424,-122.03098,2021-01-04 21:30 EDT
Yolo,California,8402,16,117,0,1.4%,7769,47,38.73431,-121.81278999999999,2021-01-04 21:30 EDT
Shasta,California,8060,0,78,0,1.0%,7546,0,40.598279999999995,-122.49095,2021-01-04 21:30 EDT
Butte,California,7390,0,96,0,1.3%,6603,0,39.66709143,-121.60091100000001,2021-01-04 21:30 EDT
Sutter,California,6505,0,52,0,0.8%,5941,0,39.03467539,-121.69484569999999,2021-01-04 21:30 EDT
Napa,California,5848,107,28,0,0.5%,2189,299,38.50647693,-122.3306091,2021-01-04 21:30 EDT
El Dorado,California,5719,0,24,0,0.4%,4101,0,38.68217,-120.84683000000001,2021-01-04 21:30 EDT
Lassen,California,4691,0,10,0,0.2%,3920,0,40.68244754,-120.60036909999998,2021-01-04 21:30 EDT
Yuba,California,3898,0,19,0,0.5%,3329,0,39.26918299,-121.3512653,2021-01-04 21:30 EDT
San Benito,California,3853,51,29,0,0.8%,3322,81,36.50506,-121.08332,2021-01-04 21:30 EDT
Tehama,California,3344,0,37,0,1.1%,2198,0,40.12569694,-122.23391529999999,2021-01-04 21:30 EDT
Tuolumne,California,2962,0,21,0,0.7%,1709,0,38.02764367,-119.95465359999999,2021-01-04 21:30 EDT
Nevada,California,2691,82,50,0,1.9%,2043,48,39.2616,-121.0161,2021-01-04 21:30 EDT
Amador,California,2671,50,24,0,0.9%,2087,67,38.44606535,-120.65175500000001,2021-01-04 21:30 EDT
Mendocino,California,2626,15,30,0,1.1%,2314,11,39.44024063,-123.3912784,2021-01-04 21:30 EDT
Lake,California,1998,115,24,0,1.2%,1662,28,39.10265343,-122.75089740000001,2021-01-04 21:30 EDT
Humboldt,California,1764,0,22,0,1.2%,1136,0,40.69879803,-123.87371470000001,2021-01-04 21:30 EDT
Glenn,California,1449,0,14,0,1.0%,1297,0,39.59827984,-122.392389,2021-01-04 21:30 EDT
Colusa,California,1396,45,9,1,0.6%,541,0,39.17759768,-122.2371023,2021-01-04 21:30 EDT
Siskiyou,California,1176,0,11,0,0.9%,1073,0,41.59256366,-122.54077720000001,2021-01-04 21:30 EDT
Mono,California,922,11,4,0,0.4%,0,0,37.93749777,-118.8838882,2021-01-04 21:30 EDT
Calaveras,California,853,0,22,0,2.6%,711,0,38.20473567,-120.55406550000001,2021-01-04 21:30 EDT
Del Norte,California,776,7,2,0,0.3%,609,2,41.74317575,-123.89711070000001,2021-01-04 21:30 EDT
Inyo,California,635,0,20,0,3.1%,490,0,36.5110603,-117.410592,2021-01-04 21:30 EDT
Plumas,California,486,0,4,0,0.8%,440,0,40.00070236,-120.8334983,2021-01-04 21:30 EDT
Modoc,California,337,5,1,0,0.3%,246,0,41.57651716400005,-120.73684738599995,2021-01-04 21:30 EDT
Trinity,California,276,0,4,0,1.4%,261,0,40.65065829,-123.11263500000001,2021-01-04 21:30 EDT
Mariposa,California,267,2,4,0,1.5%,214,0,37.58147049,-119.90545139999999,2021-01-04 21:30 EDT
Alpine,California,67,0,0,0,0.0%,65,0,38.59733305,-119.82042129999999,2021-01-04 21:30 EDT
Sierra,California,59,12,0,0,0.0%,43,6,39.58038432,-120.5160202,2021-01-04 21:30 EDT
Dallas,Texas,200011,0,2049,0,1.0%,82509,0,32.778220000000005,-96.79512,2021-01-04 21:30 EDT
Tarrant,Texas,153365,0,1494,0,1.0%,50328,0,32.8173,-97.07655,2021-01-04 21:30 EDT
Harris--Non Houston,Texas,125127,1027,1105,0,0.9%,103596,796,37.302192,-91.84458149999999,2021-01-04 21:30 EDT
Harris--Houston,Texas,122331,880,1570,2,1.3%,105710,12,29.66648008,-95.22438005,2021-01-04 21:30 EDT
Bexar,Texas,121603,0,1745,0,1.4%,47970,0,29.44892069,-98.52000770000001,2021-01-04 21:30 EDT
El Paso,Texas,99889,217,1703,0,1.7%,26890,0,31.759159999999998,-106.48749,2021-01-04 21:30 EDT
Hidalgo,Texas,52110,448,2208,7,4.2%,31000,0,26.39702985,-98.18094296,2021-01-04 21:30 EDT
Travis,Texas,51956,0,551,0,1.1%,30113,0,30.33462266,-97.78218981,2021-01-04 21:30 EDT
Collin,Texas,50954,0,378,0,0.7%,16618,0,33.1968,-96.80393000000001,2021-01-04 21:30 EDT
Lubbock,Texas,42689,0,573,0,1.3%,14322,0,33.61019304,-101.8204416,2021-01-04 21:30 EDT
Denton,Texas,39792,0,354,0,0.9%,13135,0,33.216590000000004,-97.13162,2021-01-04 21:30 EDT
Fort Bend,Texas,36324,0,393,0,1.1%,16392,0,29.52745252,-95.77065084,2021-01-04 21:30 EDT
Nueces,Texas,30001,0,554,0,1.8%,24714,0,27.7262373,-97.61348194,2021-01-04 21:30 EDT
Cameron,Texas,29672,0,1186,0,4.0%,22053,0,26.13597462,-97.52423968,2021-01-04 21:30 EDT
Webb,Texas,26989,0,509,0,1.9%,13786,0,27.7925,-99.4228,2021-01-04 21:30 EDT
Montgomery,Texas,26650,0,265,0,1.0%,8682,0,30.38862,-95.69633,2021-01-04 21:30 EDT
Williamson,Texas,22884,0,215,0,0.9%,8993,0,30.64806761,-97.60077209,2021-01-04 21:30 EDT
Galveston,Texas,22338,0,221,0,1.0%,11522,0,29.29532,-94.80790999999999,2021-01-04 21:30 EDT
