County_Name,State_Name,Confirmed,New,Death,New_Death,Fatality_Rate,Recovered,New_Recovered,Latitude,Longitude,Last_Update
Los Angeles,California,1085488,5816,15614,300,1.4%,41469,0,34.053490000000004,-118.24531999999999,2021-01-26 21:31 EDT
San Bernardino,California,268542,2514,1719,41,0.6%,41439,0,34.10524,-117.29411999999999,2021-01-26 21:31 EDT
Riverside,California,264363,0,2857,0,1.1%,4169,0,33.98171,-117.37404,2021-01-26 21:31 EDT
San Diego,California,228632,0,2375,0,1.0%,41539,0,32.71568,-117.16171000000001,2021-01-26 21:31 EDT
Orange,California,225983,1365,2768,64,1.2%,41559,0,33.78787,-117.85071,2021-01-26 21:31 EDT
Santa Clara,California,98583,0,1264,0,1.3%,41649,0,37.35579,-121.95508999999998,2021-01-26 21:31 EDT
Kern,California,91119,555,591,0,0.6%,41299,0,35.34281638,-118.7299395,2021-01-26 21:31 EDT
Fresno,California,85808,1064,1067,0,1.2%,4129,0,36.74084000000001,-119.78551999999999,2021-01-26 21:31 EDT
Sacramento,California,83931,401,1194,9,1.4%,41169,0,38.57944000000001,-121.49085,2021-01-26 21:31 EDT
Alameda,California,71675,1022,896,0,1.3%,41559,0,37.76683,-122.2453,2021-01-26 21:31 EDT
Ventura,California,66402,0,525,0,0.8%,4287,0,34.28082,-119.29231999999999,2021-01-26 21:31 EDT
San Joaquin,California,60545,880,844,9,1.4%,41219,0,37.93479557,-121.2713112,2021-01-26 21:31 EDT
Contra Costa,California,55593,348,492,3,0.9%,4147,0,37.91793732,-121.9259354,2021-01-26 21:31 EDT
Stanislaus,California,44852,668,803,15,1.8%,4139,0,37.55932622,-120.9976619,2021-01-26 21:31 EDT
Tulare,California,43574,0,542,0,1.2%,4129,0,36.20649,-119.34305,2021-01-26 21:31 EDT
Monterey,California,38434,1149,261,2,0.7%,41389,0,36.21714603,-121.2390196,2021-01-26 21:31 EDT
San Mateo,California,34510,216,356,16,1.0%,41829,0,37.54704,-122.31485,2021-01-26 21:31 EDT
San Francisco,California,30240,249,293,0,1.0%,4129,0,37.777120000000004,-122.41963999999999,2021-01-26 21:31 EDT
Santa Barbara,California,27149,0,267,0,1.0%,42219,0,34.41938,-119.69905,2021-01-26 21:31 EDT
Solano,California,27041,0,115,0,0.4%,41489,0,38.27793363,-121.9272405,2021-01-26 21:31 EDT
Imperial,California,25721,75,510,0,2.0%,4659,0,32.84748,-115.56952,2021-01-26 21:31 EDT
Merced,California,25575,0,331,0,1.3%,41299,0,37.19187429,-120.717739,2021-01-26 21:31 EDT
Sonoma,California,25141,206,251,4,1.0%,41629,0,38.29188,-122.45728000000001,2021-01-26 21:31 EDT
Kings,California,20223,520,161,1,0.8%,4117,0,36.07543071,-119.8153541,2021-01-26 21:31 EDT
Placer,California,17675,0,188,0,1.1%,4959,0,39.05913563,-120.75363279999999,2021-01-26 21:31 EDT
San Luis Obispo,California,17151,194,161,3,0.9%,42059,0,35.28579000000001,-120.66275,2021-01-26 21:31 EDT
Madera,California,13943,0,151,0,1.1%,41259,0,36.96205,-120.06398999999999,2021-01-26 21:31 EDT
Santa Cruz,California,13088,79,136,1,1.0%,41899,0,36.97424,-122.03098,2021-01-26 21:31 EDT
Marin,California,12024,0,165,0,1.4%,472,0,38.07188727,-122.7195348,2021-01-26 21:31 EDT
Yolo,California,11096,0,138,0,1.2%,41759,0,38.73431,-121.81278999999999,2021-01-26 21:31 EDT
Shasta,California,10054,0,129,0,1.3%,4799,0,40.598279999999995,-122.49095,2021-01-26 21:31 EDT
Butte,California,9656,112,136,2,1.4%,41139,0,39.66709143,-121.60091100000001,2021-01-26 21:31 EDT
El Dorado,California,8184,0,62,0,0.8%,41339,0,38.68217,-120.84683000000001,2021-01-26 21:31 EDT
Napa,California,8070,83,50,2,0.6%,41739,0,38.50647693,-122.3306091,2021-01-26 21:31 EDT
Sutter,California,8069,0,83,0,1.0%,41039,0,39.03467539,-121.69484569999999,2021-01-26 21:31 EDT
Lassen,California,5269,0,16,0,0.3%,4499,0,40.68244754,-120.60036909999998,2021-01-26 21:31 EDT
Yuba,California,5176,0,30,0,0.6%,41169,0,39.26918299,-121.3512653,2021-01-26 21:31 EDT
San Benito,California,5172,0,51,0,1.0%,4147,0,36.50506,-121.08332,2021-01-26 21:31 EDT
Tehama,California,4564,96,46,0,1.0%,41759,0,40.12569694,-122.23391529999999,2021-01-26 21:31 EDT
Tuolumne,California,3477,0,40,0,1.2%,479,0,38.02764367,-119.95465359999999,2021-01-26 21:31 EDT
Nevada,California,3355,0,74,0,2.2%,4114,0,39.2616,-121.0161,2021-01-26 21:31 EDT
Mendocino,California,3293,16,36,0,1.1%,41189,0,39.44024063,-123.3912784,2021-01-26 21:31 EDT
Amador,California,3067,22,33,1,1.1%,4739,0,38.44606535,-120.65175500000001,2021-01-26 21:31 EDT
Lake,California,2707,0,32,0,1.2%,472,0,39.10265343,-122.75089740000001,2021-01-26 21:31 EDT
Humboldt,California,2652,28,27,0,1.0%,4249,0,40.69879803,-123.87371470000001,2021-01-26 21:31 EDT
Glenn,California,1984,19,22,0,1.1%,4139,0,39.59827984,-122.392389,2021-01-26 21:31 EDT
Colusa,California,1907,36,9,0,0.5%,41619,0,39.17759768,-122.2371023,2021-01-26 21:31 EDT
Calaveras,California,1598,0,23,0,1.4%,46919,0,38.20473567,-120.55406550000001,2021-01-26 21:31 EDT
Siskiyou,California,1499,0,13,0,0.9%,41029,0,41.59256366,-122.54077720000001,2021-01-26 21:31 EDT
Mono,California,1145,0,4,0,0.3%,41299,0,37.93749777,-118.8838882,2021-01-26 21:31 EDT
Inyo,California,1051,0,29,0,2.8%,42169,0,36.5110603,-117.410592,2021-01-26 21:31 EDT
Del Norte,California,874,0,2,0,0.2%,4589,0,41.74317575,-123.89711070000001,2021-01-26 21:31 EDT
Plumas,California,613,0,5,0,0.8%,4919,0,40.00070236,-120.8334983,2021-01-26 21:31 EDT
Modoc,California,390,0,3,0,0.8%,469,0,41.57651716400005,-120.73684738599995,2021-01-26 21:31 EDT
Mariposa,California,355,0,5,0,1.4%,4739,0,37.58147049,-119.90545139999999,2021-01-26 21:31 EDT
Trinity,California,306,0,5,0,1.6%,427,0,40.65065829,-123.11263500000001,2021-01-26 21:31 EDT
Sierra,California,95,0,0,0,0.0%,4462,0,39.58038432,-120.5160202,2021-01-26 21:31 EDT
Alpine,California,73,0,0,0,0.0%,414,0,38.59733305,-119.82042129999999,2021-01-26 21:31 EDT
Dallas,Texas,248518,0,2637,0,1.1%,41169,0,32.778220000000005,-96.79512,2021-01-26 21:31 EDT
Tarrant,Texas,208325,0,2072,0,1.0%,41529,0,32.8173,-97.07655,2021-01-26 21:31 EDT
Bexar,Texas,162120,2082,2161,0,1.3%,4209,0,29.44892069,-98.52000770000001,2021-01-26 21:31 EDT
Harris--Non Houston,Texas,154242,1584,1176,4,0.8%,41289,0,37.302192,-91.84458149999999,2021-01-26 21:31 EDT
Harris--Houston,Texas,150091,1576,1733,14,1.2%,41459,0,29.66648008,-95.22438005,2021-01-26 21:31 EDT
El Paso,Texas,111061,666,2064,0,1.9%,4679,0,31.759159999999998,-106.48749,2021-01-26 21:31 EDT
Collin,Texas,68943,0,533,0,0.8%,41699,0,33.1968,-96.80393000000001,2021-01-26 21:31 EDT
Travis,Texas,65507,0,682,0,1.0%,41539,0,30.33462266,-97.78218981,2021-01-26 21:31 EDT
Hidalgo,Texas,61595,624,2386,10,3.9%,41079,0,26.39702985,-98.18094296,2021-01-26 21:31 EDT
Denton,Texas,50439,0,468,0,0.9%,41429,0,33.216590000000004,-97.13162,2021-01-26 21:31 EDT
Fort Bend,Texas,47427,0,462,0,1.0%,41499,0,29.52745252,-95.77065084,2021-01-26 21:31 EDT
Lubbock,Texas,46329,0,671,0,1.4%,4359,0,33.61019304,-101.8204416,2021-01-26 21:31 EDT
Webb,Texas,38452,691,609,17,1.6%,42999,0,27.7925,-99.4228,2021-01-26 21:31 EDT
Montgomery,Texas,36344,0,351,0,1.0%,41429,0,30.38862,-95.69633,2021-01-26 21:31 EDT
Cameron,Texas,34259,511,1272,12,3.7%,4939,0,26.13597462,-97.52423968,2021-01-26 21:31 EDT
Nueces,Texas,34215,0,632,0,1.8%,482,0,27.7262373,-97.61348194,2021-01-26 21:31 EDT
Williamson,Texas,33818,0,292,0,0.9%,4209,0,30.64806761,-97.60077209,2021-01-26 21:31 EDT
Galveston,Texas,28878,0,268,0,0.9%,41769,0,29.29532,-94.80790999999999,2021-01-26 21:31 EDT
Brazoria,Texas,27177,0,288,0,1.1%,4117,0,29.049709999999997,-95.56200000000001,2021-01-26 21:31 EDT
McLennan,Texas,22801,0,363,0,1.6%,4719,0,31.55234029,-97.20180587,2021-01-26 21:31 EDT
Brazos,Texas,18076,160,170,2,0.9%,41249,0,30.66048584,-96.30207301,2021-01-26 21:31 EDT
Bell,Texas,17646,0,233,0,1.3%,41199,0,31.03765881,-97.47807382,2021-01-26 21:31 EDT
Ellis,Texas,17597,0,219,0,1.2%,41239,0,32.34839289,-96.79460418,2021-01-26 21:31 EDT
Jefferson,Texas,16406,0,285,0,1.7%,489,0,29.88366401,-94.16922753,2021-01-26 21:31 EDT
Smith,Texas,16335,0,324,0,2.0%,41259,0,32.37505601,-95.26910259,2021-01-26 21:31 EDT
Potter,Texas,16308,71,356,1,2.2%,434,0,35.40127385,-101.8939736,2021-01-26 21:31 EDT
Hays,Texas,16139,0,175,0,1.1%,4169,0,30.1227,-97.8722,2021-01-26 21:31 EDT
Johnson,Texas,15615,0,237,0,1.5%,41659,0,32.37899029,-97.36641179,2021-01-26 21:31 EDT
Randall,Texas,15572,96,235,1,1.5%,4439,0,34.96596461,-101.896888,2021-01-26 21:31 EDT
Tom Green,Texas,15439,79,263,0,1.7%,4869,0,31.40442601,-100.4619795,2021-01-26 21:31 EDT
Midland,Texas,15197,0,214,0,1.4%,41549,0,31.86932499,-102.0314523,2021-01-26 21:31 EDT
Taylor,Texas,13894,0,289,0,2.1%,41089,0,32.30139883,-99.8899813,2021-01-26 21:31 EDT
Wichita,Texas,13687,0,283,0,2.1%,4719,0,33.98410156,-98.70169462,2021-01-26 21:31 EDT
Ector,Texas,13236,0,284,0,2.1%,4147,0,31.86911555,-102.5428458,2021-01-26 21:31 EDT
Kaufman,Texas,12327,0,171,0,1.4%,41239,0,32.60298369,-96.28946607,2021-01-26 21:31 EDT
Parker,Texas,12248,0,126,0,1.0%,41429,0,32.77771907,-97.80511717,2021-01-26 21:31 EDT
Guadalupe,Texas,10123,0,139,0,1.4%,42139,0,29.58309666,-97.94865645,2021-01-26 21:31 EDT
Grayson,Texas,9271,0,242,0,2.6%,41459,0,33.61833228,-96.67387872,2021-01-26 21:31 EDT
Gregg,Texas,9125,0,249,0,2.7%,41599,0,32.48062462,-94.81699103,2021-01-26 21:31 EDT
Rockwall,Texas,8789,0,86,0,1.0%,41299,0,32.89767022,-96.40784140000001,2021-01-26 21:31 EDT
Maverick,Texas,8593,0,230,0,2.7%,4159,0,28.74301122,-100.3142594,2021-01-26 21:31 EDT
Starr,Texas,7878,0,221,0,2.8%,41229,0,26.56239356,-98.7374609,2021-01-26 21:31 EDT
Comal,Texas,7761,113,242,3,3.1%,41169,0,29.80818438,-98.2781952,2021-01-26 21:31 EDT
Walker,Texas,7568,0,99,0,1.3%,41419,0,30.73898292,-95.57222968,2021-01-26 21:31 EDT
Victoria,Texas,6984,0,139,0,2.0%,4929,0,28.79640375,-96.97175516,2021-01-26 21:31 EDT
Val Verde,Texas,6946,0,169,0,2.4%,41769,0,26.17619,-98.08112,2021-01-26 21:31 EDT
Angelina,Texas,6875,0,206,0,3.0%,41029,0,31.25730151,-94.63261756,2021-01-26 21:31 EDT
Orange,Texas,6211,0,87,0,1.4%,4639,0,30.128079800000002,-93.89665964,2021-01-26 21:31 EDT
Wise,Texas,5814,0,92,0,1.6%,41329,0,33.21586139,-97.65438192,2021-01-26 21:31 EDT
Hale,Texas,5792,0,140,0,2.4%,442,0,34.07052809,-101.8268085,2021-01-26 21:31 EDT
Anderson,Texas,5724,0,84,0,1.5%,4569,0,31.81320101,-95.65250749,2021-01-26 21:31 EDT
Liberty,Texas,5522,0,123,0,2.2%,4189,0,30.15168965,-94.81217381,2021-01-26 21:31 EDT
Hood,Texas,5399,0,94,0,1.7%,4139,0,32.42998661,-97.83217761,2021-01-26 21:31 EDT
Navarro,Texas,5081,0,82,0,1.6%,477,0,32.0498125,-96.48283409,2021-01-26 21:31 EDT
Lamar,Texas,5071,0,118,0,2.3%,4659,0,33.66742106,-95.57087079,2021-01-26 21:31 EDT
Bowie,Texas,5069,0,150,0,3.0%,41299,0,33.559,-97.8486,2021-01-26 21:31 EDT
Bastrop,Texas,4719,0,58,0,1.2%,41389,0,30.10364375,-97.31201151,2021-01-26 21:31 EDT
Hunt,Texas,4719,0,115,0,2.4%,494,0,33.13330985,-96.08803634,2021-01-26 21:31 EDT
Henderson,Texas,4675,0,115,0,2.5%,4939,0,32.20986317,-95.84344062,2021-01-26 21:31 EDT
Coryell,Texas,4393,0,48,0,1.1%,4859,0,31.39084072,-97.79914193,2021-01-26 21:31 EDT
Howard,Texas,4302,0,84,0,2.0%,4459,0,32.30610786,-101.4354618,2021-01-26 21:31 EDT
Atascosa,Texas,4193,0,95,0,2.3%,42199,0,28.89353491,-98.52710951,2021-01-26 21:31 EDT
Hardin,Texas,4188,0,76,0,1.8%,4109,0,30.33236369,-94.39028561,2021-01-26 21:31 EDT
Harrison,Texas,3787,0,76,0,2.0%,42459,0,32.54669101,-94.37419702,2021-01-26 21:31 EDT
Brown,Texas,3671,0,98,0,2.7%,41289,0,31.77427489,-98.99985028,2021-01-26 21:31 EDT
San Patricio,Texas,3658,0,113,0,3.1%,41269,0,27.95808,-97.77216999999999,2021-01-26 21:31 EDT
Chambers,Texas,3654,0,31,0,0.8%,41559,0,29.73914352,-94.60816907,2021-01-26 21:31 EDT
Cherokee,Texas,3634,0,101,0,2.8%,4699,0,31.83697709,-95.16516716,2021-01-26 21:31 EDT
Nacogdoches,Texas,3608,0,119,0,3.3%,4679,0,31.62343014,-94.62108091,2021-01-26 21:31 EDT
Erath,Texas,3582,0,45,0,1.3%,489,0,32.23626376,-98.21778772,2021-01-26 21:31 EDT
Jim Wells,Texas,3545,0,71,0,2.0%,41069,0,27.73131457,-98.08982112,2021-01-26 21:31 EDT
Medina,Texas,3464,0,70,0,2.0%,41329,0,29.35563822,-99.11002449,2021-01-26 21:31 EDT
Van Zandt,Texas,3304,0,82,0,2.5%,4969,0,32.56229951,-95.83587208,2021-01-26 21:31 EDT
Kerr,Texas,3242,0,67,0,2.1%,41389,0,30.06149667,-99.35021453,2021-01-26 21:31 EDT
Titus,Texas,3209,0,63,0,2.0%,477,0,33.21641768,-94.96537845,2021-01-26 21:31 EDT
Rusk,Texas,3192,0,73,0,2.3%,41189,0,31.796,-95.1502,2021-01-26 21:31 EDT
Wharton,Texas,3191,0,87,0,2.7%,41549,0,29.27780211,-96.22208396,2021-01-26 21:31 EDT
Bee,Texas,3166,0,55,0,1.7%,474,0,28.41736435,-97.74112569,2021-01-26 21:31 EDT
