County_Name,State_Name,Latitude,Longitude,2020-03-14,2020-03-15,2020-03-16,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03
Amelia,Virginia,37.3360874,-77.9763219,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,2,2,4,5
Amherst,Virginia,37.6048092,-79.1451136,0,0,0,0,0,0,0,0,1,1,1,1,1,1,2,2,3,3,5,6,6
Amite,Mississippi,31.1744460,-90.8044629,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,4,4,4,4,4,5
Anchorage,Alaska,61.2175300,-149.8582500,1,1,1,1,2,4,4,4,6,13,17,17,28,30,49,53,55,57,57,59,73
Anchorage--Eagle River,Alaska,61.3215700,-149.5671200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0
Anchorage--Gridwood,Alaska,61.1535200,-149.1170771,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Anderson,Kansas,38.2142012,-95.2933350,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Anderson,Kentucky,38.0038956,-84.9909919,0,0,0,0,0,0,1,1,1,2,2,2,2,2,2,2,2,2,2,2,3
Anderson,South Carolina,34.5006100,-82.6496200,0,0,2,2,2,2,6,10,10,15,15,19,21,21,24,29,31,39,39,57,62
Anderson,Tennessee,36.1184970,-84.1985092,0,0,0,0,0,0,1,1,1,1,1,3,3,4,6,6,9,10,10,10,10
Anderson,Texas,31.8132010,-95.6525075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
Andrews,Texas,32.3050225,-102.6378207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
Androscoggin,Maine,44.1658761,-70.2064586,1,1,1,2,3,3,3,3,3,3,3,4,5,6,7,8,8,11,11,12,19
Angelina,Texas,31.2573015,-94.6326176,0,0,0,0,0,0,0,0,0,0,0,1,1,2,1,3,4,5,5,8,10
Anne Arundel,Maryland,39.0088970,-76.6032863,1,2,1,3,4,5,9,15,18,20,24,31,41,63,88,99,110,127,158,206,249
Anoka,Minnesota,45.1983300,-93.3899700,1,2,3,3,3,6,5,5,5,7,7,7,8,10,12,17,22,23,23,30,34
Anson,North Carolina,34.9738116,-80.1027120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,3
Antelope,Nebraska,42.1769022,-98.0667208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
Antrim,Michigan,44.9990804,-85.1402069,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,4,4,4
Apache,Arizona,35.3956255,-109.4888227,0,0,0,0,0,0,0,3,3,4,4,7,9,11,13,13,17,16,17,19,17
Apache,Navajo Nation,35.6632600,-109.0515600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,22
"Apache, AZ",Navajo Nation,35.6632700,-109.0515800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,16,0,0
Appanoose,Iowa,40.7431306,-92.8685590,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1
Appling,Georgia,31.7492997,-82.2889194,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,2,1,3,5
Aransas,Texas,28.2459776,-97.0418175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
Arapahoe,Colorado,39.6497672,-104.3392044,7,13,15,15,22,22,29,40,45,58,58,88,119,155,204,241,288,333,333,441,500
Archuleta,Colorado,37.1935509,-107.0483581,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1
Arenac,Michigan,44.0654593,-83.8950034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2
Arkansas,Arkansas,34.2903974,-91.3746827,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1
Arlington,Virginia,38.8905000,-77.0862900,5,8,9,13,14,17,17,22,26,34,34,46,54,63,75,84,86,104,119,128,135
Armstrong,Pennsylvania,40.8124353,-79.4644720,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,3,3,5,5,7,11
Aroostook,Maine,46.8172500,-67.9274900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
