County_Name,State_Name,Latitude,Longitude,2020-03-14,2020-03-15,2020-03-16,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29
Armstrong,Pennsylvania,40.8124353,-79.4644720,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ascension,Louisiana,30.2054934,-90.9088583,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,2
Ashland,Ohio,40.8459854,-82.2706822,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ashley,Arkansas,33.1911758,-91.7684398,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ashtabula,Ohio,41.7074107,-80.7482149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Assumption,Louisiana,29.9008158,-91.0625918,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Atascosa,Texas,28.8935349,-98.5271095,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Atchison,Missouri,40.4320936,-95.4311022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Athens,Ohio,39.3336769,-82.0452871,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Atlantic,New Jersey,39.4806564,-74.6726431,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Attala,Mississippi,33.0862905,-89.5815528,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Auglaize,Ohio,40.5609019,-84.2217401,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aurora,South Dakota,43.7180322,-98.5615703,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Austin,Texas,29.8866955,-96.2774576,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Autauga,Alabama,32.5348927,-86.6427090,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Avoyelles,Louisiana,31.0762885,-92.0013412,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Baca,Colorado,37.3191718,-102.5604577,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacon,Georgia,31.5536723,-82.4526784,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Baker,Florida,30.3310297,-82.2845975,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Baker,Georgia,31.3260941,-84.4444704,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Baldwin,Alabama,30.7358912,-87.7235251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Baldwin,Georgia,33.0689826,-83.2498601,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Baltimore,Maryland,39.2905800,-76.6092600,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
Baltimore City,Maryland,39.3019413,-76.6111117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
Bannock,Idaho,42.6593774,-112.2110229,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Barnes,North Dakota,46.9361026,-98.0715713,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
