County_Name,State_Name,Confirmed,New,Death,New_Death,Fatality_Rate,Recovered,New_Recovered,Latitude,Longitude,Last_Update
New York,New York,215952,327,22199,28,10.3%,0,0,40.71455,-74.00714,2020-06-18 22:20 EDT
Nassau,New York,41349,29,2172,1,5.3%,3855,0,40.74165225,-73.58899619,2020-06-18 22:20 EDT
Suffolk,New York,40810,40,1961,3,4.8%,5229,0,40.87732808,-72.85898036,2020-06-18 22:20 EDT
Westchester,New York,34409,24,1410,3,4.1%,9371,0,41.16319759,-73.7560629,2020-06-18 22:20 EDT
Rockland,New York,13474,7,665,0,4.9%,0,0,41.152374,-74.02401032,2020-06-18 22:20 EDT
Orange,New York,10658,0,473,0,4.4%,0,0,41.40206825,-74.30559567,2020-06-18 22:20 EDT
Erie,New York,6920,38,602,0,8.7%,479,0,42.76382119,-78.73224973,2020-06-18 22:20 EDT
Dutchess,New York,4088,11,145,0,3.5%,3487,0,41.76477515,-73.74281684,2020-06-18 22:20 EDT
Monroe,New York,3439,21,247,0,7.2%,2092,0,43.14604282,-77.69674911,2020-06-18 22:20 EDT
Onondaga,New York,2615,57,174,0,6.7%,1514,0,43.004870000000004,-76.1836,2020-06-18 22:20 EDT
Albany,New York,2034,5,118,0,5.8%,1728,0,42.65155,-73.75520999999998,2020-06-18 22:20 EDT
Ulster,New York,1774,0,83,0,4.7%,1368,0,41.95986,-73.99033,2020-06-18 22:20 EDT
Putnam,New York,1466,0,62,0,4.2%,0,0,41.42653455,-73.7494999,2020-06-18 22:20 EDT
Sullivan,New York,1434,1,45,0,3.1%,1259,0,41.71631354,-74.76811083,2020-06-18 22:20 EDT
Oneida,New York,1332,25,77,0,5.8%,766,0,43.24306498,-75.42583597,2020-06-18 22:20 EDT
Niagara,New York,1200,0,78,0,6.5%,1036,0,43.19998147,-78.74522262,2020-06-18 22:20 EDT
Schenectady,New York,867,0,36,0,4.2%,780,0,42.81238,-73.94122,2020-06-18 22:20 EDT
Broome,New York,657,0,52,0,7.9%,521,0,42.16021802,-75.81964586,2020-06-18 22:20 EDT
Saratoga,New York,526,3,14,0,2.7%,121,0,43.06974,-73.63661,2020-06-18 22:20 EDT
Rensselaer,New York,515,0,28,0,5.4%,344,0,42.71086263,-73.5097379,2020-06-18 22:20 EDT
Columbia,New York,443,1,37,0,8.4%,339,0,42.25001078,-73.63186134,2020-06-18 22:20 EDT
Madison,New York,360,0,17,0,4.7%,336,0,42.91290749,-75.66978904,2020-06-18 22:20 EDT
Greene,New York,312,0,18,0,5.8%,308,0,42.27654571,-74.12261588,2020-06-18 22:20 EDT
Orleans,New York,271,1,49,0,18.1%,100,0,43.25210059,-78.23124678,2020-06-18 22:20 EDT
Steuben,New York,267,0,41,0,15.4%,104,0,42.26782685,-77.38382596,2020-06-18 22:20 EDT
Warren,New York,258,1,30,0,11.6%,0,0,43.5592099,-73.85881158,2020-06-18 22:20 EDT
Washington,New York,243,0,14,0,5.8%,191,0,43.31227113,-73.43096234,2020-06-18 22:20 EDT
Fulton,New York,236,0,24,0,10.2%,0,0,43.11240266,-74.43516277,2020-06-18 22:20 EDT
Ontario,New York,235,1,9,0,3.8%,47,0,42.85288942,-77.29981098,2020-06-18 22:20 EDT
Genesee,New York,217,1,5,0,2.3%,142,0,43.00094016,-78.1936949,2020-06-18 22:20 EDT
St. Lawrence,New York,215,0,2,0,0.9%,0,0,44.17727,-76.16771999999997,2020-06-18 22:20 EDT
Tompkins,New York,173,0,0,0,0.0%,155,0,42.44933495,-76.47064359,2020-06-18 22:20 EDT
Oswego,New York,144,5,3,0,2.1%,105,0,43.436525700000004,-76.14924403,2020-06-18 22:20 EDT
Tioga,New York,144,0,24,0,16.7%,106,0,42.06057,-76.34519,2020-06-18 22:20 EDT
Chenango,New York,139,0,5,0,3.6%,0,0,42.49349443,-75.61153709999998,2020-06-18 22:20 EDT
Chemung,New York,138,0,2,0,1.4%,10,0,42.1411881,-76.76001059999999,2020-06-18 22:20 EDT
Wayne,New York,133,0,3,0,2.3%,101,0,42.474131,-77.09816,2020-06-18 22:20 EDT
Herkimer,New York,128,0,3,0,2.3%,0,0,43.0259,-74.98433,2020-06-18 22:20 EDT
Livingston,New York,123,0,8,0,6.5%,111,0,42.72808354,-77.77543855,2020-06-18 22:20 EDT
Clinton,New York,112,0,4,0,3.6%,94,0,44.7904,-73.6006,2020-06-18 22:20 EDT
Chautauqua,New York,110,2,4,0,3.6%,88,0,42.22826274,-79.36643298,2020-06-18 22:20 EDT
Cattaraugus,New York,109,0,5,0,4.6%,0,0,42.24859584,-78.67881202,2020-06-18 22:20 EDT
Cayuga,New York,106,0,2,0,1.9%,101,0,42.92145204,-76.54917489,2020-06-18 22:20 EDT
Montgomery,New York,105,1,4,0,3.8%,43,0,42.90229179999999,-74.43960085,2020-06-18 22:20 EDT
Wyoming,New York,93,0,5,0,5.4%,78,0,42.70242659,-78.22443261,2020-06-18 22:20 EDT
Delaware,New York,89,0,4,0,4.5%,66,0,42.19804334,-74.96635196,2020-06-18 22:20 EDT
Jefferson,New York,82,0,0,0,0.0%,9,0,44.04103424,-75.91225529,2020-06-18 22:20 EDT
Otsego,New York,82,0,5,0,6.1%,62,0,42.63373751,-75.03256231,2020-06-18 22:20 EDT
Seneca,New York,64,0,0,0,0.0%,0,0,42.79006836,-76.82292272,2020-06-18 22:20 EDT
Allegany,New York,57,2,0,0,0.0%,41,0,42.25739788,-78.02755444,2020-06-18 22:20 EDT
Schoharie,New York,55,0,0,0,0.0%,0,0,42.58820746,-74.44213588,2020-06-18 22:20 EDT
Cortland,New York,45,0,0,0,0.0%,44,0,42.59500111,-76.07023743,2020-06-18 22:20 EDT
Essex,New York,40,0,0,0,0.0%,8,0,44.10755697,-73.79125847,2020-06-18 22:20 EDT
Yates,New York,40,0,6,0,15.0%,2,0,42.63334577,-77.11807678,2020-06-18 22:20 EDT
Franklin,New York,26,1,0,0,0.0%,4,0,44.59267538,-74.30342185,2020-06-18 22:20 EDT
Lewis,New York,21,1,0,0,0.0%,5,0,43.78473387,-75.44870612,2020-06-18 22:20 EDT
Schuyler,New York,12,0,0,0,0.0%,6,0,42.37063897,-76.9851275,2020-06-18 22:20 EDT
Hamilton,New York,6,0,0,0,0.0%,0,0,43.66130373,-74.49733573,2020-06-18 22:20 EDT
Hudson,New Jersey,19249,11,1293,3,6.7%,441,0,40.74034231,-74.07410970000002,2020-06-18 22:20 EDT
Bergen,New Jersey,18949,21,1684,3,8.9%,0,0,40.95949149,-74.074442,2020-06-18 22:20 EDT
Essex,New Jersey,18499,78,1758,3,9.5%,60,0,40.78779259,-74.24760059,2020-06-18 22:20 EDT
Passaic,New Jersey,16706,23,1009,2,6.0%,0,0,40.86034,-74.12374,2020-06-18 22:20 EDT
Middlesex,New Jersey,16547,34,1094,0,6.6%,0,0,40.57936,-74.50067,2020-06-18 22:20 EDT
Union,New Jersey,16304,0,1132,1,6.9%,1365,0,40.69635,-74.26957,2020-06-18 22:20 EDT
Ocean,New Jersey,9351,45,835,7,8.9%,0,0,39.90927434,-74.2969653,2020-06-18 22:20 EDT
Monmouth,New Jersey,8830,26,692,4,7.8%,0,0,40.2600411,-74.22194634,2020-06-18 22:20 EDT
Mercer,New Jersey,7416,23,524,1,7.1%,12,0,40.28331911,-74.70157374,2020-06-18 22:20 EDT
Camden,New Jersey,7061,14,417,0,5.9%,0,0,39.94525,-75.11913,2020-06-18 22:20 EDT
Morris,New Jersey,6652,25,638,0,9.6%,1,0,40.86201902,-74.5442741,2020-06-18 22:20 EDT
Burlington,New Jersey,4954,19,367,3,7.4%,0,0,40.07687,-74.85775,2020-06-18 22:20 EDT
Somerset,New Jersey,4786,6,439,1,9.2%,0,0,40.49859,-74.52249,2020-06-18 22:20 EDT
Cumberland,New Jersey,2755,10,118,0,4.3%,0,0,39.37311491,-75.11061925,2020-06-18 22:20 EDT
Atlantic,New Jersey,2583,30,187,3,7.2%,351,0,39.4806564,-74.67264306,2020-06-18 22:20 EDT
Gloucester,New Jersey,2438,10,167,1,6.8%,0,0,39.71720107,-75.14164366,2020-06-18 22:20 EDT
Sussex,New Jersey,1208,5,183,0,15.1%,1007,6,41.13934496,-74.69067762,2020-06-18 22:20 EDT
