County_Name,State_Name,Confirmed,New,Death,Fatality_Rate,Latitude,Longitude,Last_Update
New York,New York,463,0,7,0.0151188,40.7145500,-74.0071400,2020-03-17 10:53 EDT
Westchester,New York,220,0,0,0.0000000,41.1631976,-73.7560629,2020-03-17 10:53 EDT
Nassau,New York,109,0,0,0.0000000,40.7416523,-73.5889962,2020-03-17 10:53 EDT
Suffolk,New York,74,0,2,0.0270270,40.8773281,-72.8589804,2020-03-17 10:53 EDT
Rockland,New York,16,0,1,0.0625000,41.1523740,-74.0240103,2020-03-17 10:53 EDT
Albany,New York,15,0,0,0.0000000,42.6515500,-73.7552100,2020-03-17 10:53 EDT
Monroe,New York,11,0,0,0.0000000,43.1460428,-77.6967491,2020-03-17 10:53 EDT
Orange,New York,11,0,0,0.0000000,41.4020682,-74.3055957,2020-03-17 10:53 EDT
Dutchess,New York,10,0,0,0.0000000,41.7647751,-73.7428168,2020-03-17 10:53 EDT
Ulster,New York,7,0,0,0.0000000,41.9598600,-73.9903300,2020-03-17 10:53 EDT
Erie,New York,7,0,0,0.0000000,42.7638212,-78.7322497,2020-03-17 10:53 EDT
Saratoga,New York,5,0,0,0.0000000,43.0697400,-73.6366100,2020-03-17 10:53 EDT
Schenectady,New York,4,0,0,0.0000000,42.8123800,-73.9412200,2020-03-17 10:53 EDT
Tompkins,New York,2,0,0,0.0000000,42.4493350,-76.4706436,2020-03-17 10:53 EDT
Putnam,New York,2,0,0,0.0000000,41.4265345,-73.7494999,2020-03-17 10:53 EDT
Greene,New York,2,0,0,0.0000000,42.2765457,-74.1226159,2020-03-17 10:53 EDT
Allegany,New York,2,0,0,0.0000000,42.2573979,-78.0275544,2020-03-17 10:53 EDT
Onondaga,New York,2,1,0,0.0000000,43.0048700,-76.1836000,2020-03-17 10:53 EDT
Delaware,New York,1,0,0,0.0000000,42.1980433,-74.9663520,2020-03-17 10:53 EDT
Herkimer,New York,1,0,0,0.0000000,43.0259000,-74.9843300,2020-03-17 10:53 EDT
Broome,New York,1,0,0,0.0000000,42.1602180,-75.8196459,2020-03-17 10:53 EDT
Tioga,New York,1,0,0,0.0000000,42.0605700,-76.3451900,2020-03-17 10:53 EDT
Montgomery,New York,1,0,0,0.0000000,42.9022918,-74.4396009,2020-03-17 10:53 EDT
Ontario,New York,1,0,0,0.0000000,42.8528894,-77.2998110,2020-03-17 10:53 EDT
Clinton,New York,1,1,0,0.0000000,43.0482500,-75.3787800,2020-03-17 10:53 EDT
King,Washington,488,68,43,0.0881148,47.4901181,-121.8043324,2020-03-17 10:53 EDT
Snohomish,Washington,200,0,4,0.0200000,47.9124000,-122.0930600,2020-03-17 10:53 EDT
Pierce,Washington,38,9,0,0.0000000,47.0227081,-122.1014408,2020-03-17 10:53 EDT
Grant,Washington,7,4,1,0.1428571,47.1988579,-119.4525987,2020-03-17 10:53 EDT
Kitsap,Washington,7,4,0,0.0000000,47.4749622,-122.6085325,2020-03-17 10:53 EDT
Skagit,Washington,7,3,0,0.0000000,48.4793302,-121.7280802,2020-03-17 10:53 EDT
Island,Washington,7,1,0,0.0000000,48.1916094,-122.6650075,2020-03-17 10:53 EDT
Clark,Washington,4,0,0,0.0000000,45.7818733,-122.4812785,2020-03-17 10:53 EDT
Thurston,Washington,4,1,0,0.0000000,46.9198058,-122.8298691,2020-03-17 10:53 EDT
Yakima,Washington,4,0,0,0.0000000,46.6044800,-120.5072100,2020-03-17 10:53 EDT
Jefferson,Washington,3,0,0,0.0000000,47.7481061,-123.6000095,2020-03-17 10:53 EDT
Kittitas,Washington,3,0,0,0.0000000,46.9847200,-120.4175200,2020-03-17 10:53 EDT
Whatcom,Washington,3,0,0,0.0000000,48.8255970,-121.7174182,2020-03-17 10:53 EDT
Spokane,Washington,3,0,0,0.0000000,47.6572600,-117.4122800,2020-03-17 10:53 EDT
Grays Harbor,Washington,1,0,0,0.0000000,47.1505523,-123.7737432,2020-03-17 10:53 EDT
Columbia,Washington,1,0,0,0.0000000,46.2975768,-117.9078634,2020-03-17 10:53 EDT
Lincoln,Washington,1,0,0,0.0000000,47.5730506,-118.4177041,2020-03-17 10:53 EDT
Cowlitz,Washington,1,0,0,0.0000000,46.1945405,-122.6783272,2020-03-17 10:53 EDT
Lewis,Washington,1,1,0,0.0000000,46.5777949,-122.3929158,2020-03-17 10:53 EDT
Santa Clara,California,138,0,4,0.0289855,37.3557900,-121.9550900,2020-03-17 10:53 EDT
Los Angeles,California,94,0,1,0.0106383,34.0534900,-118.2453200,2020-03-17 10:53 EDT
San Diego,California,55,20,0,0.0000000,32.7156800,-117.1617100,2020-03-17 10:53 EDT
San Mateo,California,41,0,1,0.0243902,37.5470400,-122.3148500,2020-03-17 10:53 EDT
San Francisco,California,40,0,0,0.0000000,37.7771200,-122.4196400,2020-03-17 10:53 EDT
Contra Costa,California,34,5,0,0.0000000,37.9179373,-121.9259354,2020-03-17 10:53 EDT
Sacramento,California,33,1,2,0.0606061,38.5794400,-121.4908500,2020-03-17 10:53 EDT
Orange,California,22,5,0,0.0000000,33.7878700,-117.8507100,2020-03-17 10:53 EDT
Alameda,California,18,0,0,0.0000000,37.7668300,-122.2453000,2020-03-17 10:53 EDT
Riverside,California,15,0,2,0.1333333,33.9817100,-117.3740400,2020-03-17 10:53 EDT
Marin,California,11,2,0,0.0000000,38.0718873,-122.7195348,2020-03-17 10:53 EDT
Santa Cruz,California,9,0,0,0.0000000,36.9742400,-122.0309800,2020-03-17 10:53 EDT
San Joaquin,California,8,0,0,0.0000000,37.9347956,-121.2713112,2020-03-17 10:53 EDT
Solano,California,7,0,0,0.0000000,38.2779336,-121.9272405,2020-03-17 10:53 EDT
Sonoma,California,6,1,0,0.0000000,38.2918800,-122.4572800,2020-03-17 10:53 EDT
Placer,California,5,0,1,0.2000000,39.0591356,-120.7536328,2020-03-17 10:53 EDT
Ventura,California,4,0,0,0.0000000,34.2808200,-119.2923200,2020-03-17 10:53 EDT
San Benito,California,3,0,0,0.0000000,36.5050600,-121.0833200,2020-03-17 10:53 EDT
Stanislaus,California,3,0,0,0.0000000,37.5593262,-120.9976619,2020-03-17 10:53 EDT
Tulare,California,3,1,0,0.0000000,36.2064900,-119.3430500,2020-03-17 10:53 EDT
San Luis Obispo,California,3,0,0,0.0000000,35.2857900,-120.6627500,2020-03-17 10:53 EDT
Yolo,California,2,0,0,0.0000000,38.7343100,-121.8127900,2020-03-17 10:53 EDT
Fresno,California,2,0,0,0.0000000,36.7408400,-119.7855200,2020-03-17 10:53 EDT
Calaveras,California,2,0,0,0.0000000,38.2047357,-120.5540655,2020-03-17 10:53 EDT
Imperial,California,2,0,0,0.0000000,32.8474800,-115.5695200,2020-03-17 10:53 EDT
San Bernardino,California,2,1,0,0.0000000,34.1052400,-117.2941200,2020-03-17 10:53 EDT
Humboldt,California,1,0,0,0.0000000,40.6987980,-123.8737147,2020-03-17 10:53 EDT
Madera,California,1,0,0,0.0000000,36.9620500,-120.0639900,2020-03-17 10:53 EDT
Shasta,California,1,0,0,0.0000000,40.5982800,-122.4909500,2020-03-17 10:53 EDT
Santa Barbara,California,1,0,0,0.0000000,34.4193800,-119.6990500,2020-03-17 10:53 EDT
Nevada,California,1,1,0,0.0000000,34.0658900,-117.2174600,2020-03-17 10:53 EDT
Middlesex,Massachusetts,83,0,0,0.0000000,42.4855941,-71.3917913,2020-03-17 10:53 EDT
Suffolk,Massachusetts,36,0,0,0.0000000,42.3318916,-71.0753743,2020-03-17 10:53 EDT
Norfolk,Massachusetts,36,0,0,0.0000000,42.1194100,-71.3308300,2020-03-17 10:53 EDT
Berkshire,Massachusetts,11,0,0,0.0000000,42.5110500,-73.1942600,2020-03-17 10:53 EDT
Essex,Massachusetts,8,0,0,0.0000000,42.6325100,-70.7811300,2020-03-17 10:53 EDT
Worcester,Massachusetts,6,0,0,0.0000000,42.2634100,-71.8021900,2020-03-17 10:53 EDT
Plymouth,Massachusetts,3,0,0,0.0000000,41.9280800,-70.6568000,2020-03-17 10:53 EDT
Bristol,Massachusetts,2,0,0,0.0000000,41.7983696,-71.1142812,2020-03-17 10:53 EDT
Barnstable,Massachusetts,1,0,0,0.0000000,41.7019400,-70.3044200,2020-03-17 10:53 EDT
Hampden,Massachusetts,1,0,0,0.0000000,42.0636300,-72.4164500,2020-03-17 10:53 EDT
Bergen,New Jersey,61,0,2,0.0327869,40.9594915,-74.0744420,2020-03-17 10:53 EDT
Hudson,New Jersey,20,1,0,0.0000000,40.7403423,-74.0741097,2020-03-17 10:53 EDT
Essex,New Jersey,20,0,0,0.0000000,40.7877926,-74.2476006,2020-03-17 10:53 EDT
Middlesex,New Jersey,17,0,0,0.0000000,40.5793600,-74.5006700,2020-03-17 10:53 EDT
Monmouth,New Jersey,14,0,1,0.0714286,40.2600411,-74.2219463,2020-03-17 10:53 EDT
Passaic,New Jersey,8,0,0,0.0000000,40.8603400,-74.1237400,2020-03-17 10:53 EDT
Union,New Jersey,8,0,0,0.0000000,40.6963500,-74.2695700,2020-03-17 10:53 EDT
Morris,New Jersey,6,0,0,0.0000000,40.8620190,-74.5442741,2020-03-17 10:53 EDT
Mercer,New Jersey,6,0,0,0.0000000,40.2833191,-74.7015737,2020-03-17 10:53 EDT
Burlington,New Jersey,5,0,0,0.0000000,40.0768700,-74.8577500,2020-03-17 10:53 EDT
Somerset,New Jersey,5,0,0,0.0000000,40.4985900,-74.5224900,2020-03-17 10:53 EDT
Camden,New Jersey,3,0,0,0.0000000,39.9452500,-75.1191300,2020-03-17 10:53 EDT
Ocean,New Jersey,3,0,0,0.0000000,39.9092743,-74.2969653,2020-03-17 10:53 EDT
Hunterdon,New Jersey,1,0,0,0.0000000,40.5672532,-74.9121792,2020-03-17 10:53 EDT
Orleans,Louisiana,116,37,3,0.0258621,30.0384318,-89.9005515,2020-03-17 10:53 EDT
Jefferson,Louisiana,31,15,0,0.0000000,29.9596000,-90.1718200,2020-03-17 10:53 EDT
St. Tammany,Louisiana,6,1,0,0.0000000,30.3940800,-89.8950700,2020-03-17 10:53 EDT
Caddo,Louisiana,4,1,0,0.0000000,32.7563200,-93.9737400,2020-03-17 10:53 EDT
St. Charles,Louisiana,3,0,0,0.0000000,29.9052798,-90.3824403,2020-03-17 10:53 EDT
Terrebonne,Louisiana,3,0,0,0.0000000,29.4300667,-90.8754618,2020-03-17 10:53 EDT
Lafourche,Louisiana,2,0,0,0.0000000,29.7652900,-90.7688100,2020-03-17 10:53 EDT
St. Bernard,Louisiana,2,1,0,0.0000000,29.8671500,-89.8586800,2020-03-17 10:53 EDT
Bossier,Louisiana,1,0,0,0.0000000,32.6788619,-93.6053107,2020-03-17 10:53 EDT
St. John the Baptist,Louisiana,1,0,0,0.0000000,30.0786650,-90.5454132,2020-03-17 10:53 EDT
Ascension,Louisiana,1,1,0,0.0000000,30.2054934,-90.9088583,2020-03-17 10:53 EDT
Broward,Florida,39,3,0,0.0000000,26.1522454,-80.4870534,2020-03-17 10:53 EDT
Miami-Dade,Florida,23,10,0,0.0000000,25.6141821,-80.5679083,2020-03-17 10:53 EDT
Non-Florida-Resident,Florida,18,5,0,0.0000000,-25.3513857,-57.5049392,2020-03-17 10:53 EDT
Palm Beach,Florida,8,3,0,0.0000000,26.7028800,-80.0366100,2020-03-17 10:53 EDT
Volusia,Florida,7,2,0,0.0000000,29.1693400,-81.5225100,2020-03-17 10:53 EDT
Outside-Florida,Florida,6,0,1,0.1666667,28.5660449,-81.6886488,2020-03-17 10:53 EDT
Collier,Florida,6,1,0,0.0000000,26.1162556,-81.3401333,2020-03-17 10:53 EDT
Manatee,Florida,5,1,0,0.0000000,27.4964300,-82.5395400,2020-03-17 10:53 EDT
Hillsborough,Florida,5,1,0,0.0000000,27.9302310,-82.3078553,2020-03-17 10:53 EDT
Duval,Florida,5,1,0,0.0000000,30.4784400,-81.6255700,2020-03-17 10:53 EDT
Lee,Florida,4,-1,2,0.5000000,26.5796516,-81.8246853,2020-03-17 10:53 EDT
Pinellas,Florida,4,2,0,0.0000000,27.9313392,-82.7219403,2020-03-17 10:53 EDT
Seminole,Florida,4,3,0,0.0000000,28.7170014,-81.2363226,2020-03-17 10:53 EDT
Osceola,Florida,4,3,0,0.0000000,28.0681258,-81.1451965,2020-03-17 10:53 EDT
Clay,Florida,3,0,0,0.0000000,29.9830552,-81.8577821,2020-03-17 10:53 EDT
Orange,Florida,3,1,1,0.3333333,41.3314100,-74.3566700,2020-03-17 10:53 EDT
Sarasota,Florida,3,2,0,0.0000000,27.3388900,-82.5388700,2020-03-17 10:53 EDT
Pasco,Florida,2,0,0,0.0000000,28.3245300,-82.3362400,2020-03-17 10:53 EDT
Alachua,Florida,2,1,0,0.0000000,29.7930900,-82.4942800,2020-03-17 10:53 EDT
St. Johns,Florida,2,1,0,0.0000000,30.1205100,-81.6253600,2020-03-17 10:53 EDT
Santa Rosa,Florida,1,0,1,1.0000000,30.7314761,-87.0176139,2020-03-17 10:53 EDT
Charlotte,Florida,1,0,0,0.0000000,26.9084833,-81.9034392,2020-03-17 10:53 EDT
Okaloosa,Florida,1,0,0,0.0000000,30.7070235,-86.5965082,2020-03-17 10:53 EDT
Nassau,Florida,1,0,0,0.0000000,30.6107767,-81.8017400,2020-03-17 10:53 EDT
Citrus,Florida,1,0,0,0.0000000,28.8507789,-82.4659487,2020-03-17 10:53 EDT
Escambia,Florida,1,1,0,0.0000000,30.7004848,-87.3772215,2020-03-17 10:53 EDT
Lake,Florida,1,1,0,0.0000000,28.7626197,-81.7115535,2020-03-17 10:53 EDT
Brevard,Florida,1,1,0,0.0000000,28.2934842,-80.7323563,2020-03-17 10:53 EDT
Denver,Colorado,25,0,0,0.0000000,39.7400100,-104.9920200,2020-03-17 10:53 EDT
Eagle,Colorado,24,0,0,0.0000000,39.6556500,-106.8278800,2020-03-17 10:53 EDT
Arapahoe,Colorado,15,0,0,0.0000000,39.6497672,-104.3392044,2020-03-17 10:53 EDT
Jefferson,Colorado,12,0,0,0.0000000,39.5864316,-105.2504022,2020-03-17 10:53 EDT
Pitkin,Colorado,11,0,0,0.0000000,39.2171252,-106.9167355,2020-03-17 10:53 EDT
Douglas,Colorado,8,0,0,0.0000000,39.3296664,-104.9295706,2020-03-17 10:53 EDT
Gunnison,Colorado,8,0,0,0.0000000,38.5452600,-106.9269200,2020-03-17 10:53 EDT
Boulder,Colorado,7,0,0,0.0000000,40.0157400,-105.2792400,2020-03-17 10:53 EDT
Adams,Colorado,6,0,0,0.0000000,39.8737591,-104.3366349,2020-03-17 10:53 EDT
Weld,Colorado,5,0,0,0.0000000,40.5547727,-104.3924353,2020-03-17 10:53 EDT
El Paso,Colorado,4,0,1,0.2500000,38.8321269,-104.5255141,2020-03-17 10:53 EDT
Waiting on information,Colorado,2,0,0,0.0000000,38.9141437,-104.5001759,2020-03-17 10:53 EDT
Summit,Colorado,1,0,0,0.0000000,39.6341694,-106.1163607,2020-03-17 10:53 EDT
Larimer,Colorado,1,0,0,0.0000000,40.6664525,-105.4609363,2020-03-17 10:53 EDT
Pueblo,Colorado,1,0,0,0.0000000,38.2637500,-104.6125200,2020-03-17 10:53 EDT
Routt,Colorado,1,0,0,0.0000000,40.4849979,-106.9912189,2020-03-17 10:53 EDT
Mesa,Colorado,1,0,0,0.0000000,39.1661600,-108.1388900,2020-03-17 10:53 EDT
Garfield,Colorado,1,0,0,0.0000000,39.5992265,-107.9040019,2020-03-17 10:53 EDT
Clear Creek,Colorado,1,0,0,0.0000000,39.6890531,-105.6443322,2020-03-17 10:53 EDT
