County_Name,State_Name,Confirmed,New,Death,New_Death,Fatality_Rate,Recovered,New_Recovered,Latitude,Longitude,Last_Update
Los Angeles,California,287258,1041,6856,22,2.4%,11824,0,34.053490000000004,-118.24531999999999,2020-10-16 22:20 EDT
Riverside,California,63284,159,1269,0,2.0%,57394,221,33.98171,-117.37404,2020-10-16 22:20 EDT
San Bernardino,California,59463,294,989,1,1.7%,56903,0,34.10524,-117.29411999999999,2020-10-16 22:20 EDT
Orange,California,56587,151,1401,10,2.5%,50632,173,33.78787,-117.85071,2020-10-16 22:20 EDT
San Diego,California,51781,311,850,3,1.6%,1138,0,32.71568,-117.16171000000001,2020-10-16 22:20 EDT
Kern,California,33286,61,408,2,1.2%,16859,40,35.34281638,-118.7299395,2020-10-16 22:20 EDT
Fresno,California,29727,77,429,5,1.4%,19612,205,36.74084000000001,-119.78551999999999,2020-10-16 22:20 EDT
Sacramento,California,24192,90,468,4,1.9%,22304,233,38.57944000000001,-121.49085,2020-10-16 22:20 EDT
Santa Clara,California,22974,115,373,6,1.6%,178,0,37.35579,-121.95508999999998,2020-10-16 22:20 EDT
Alameda,California,22408,38,442,0,2.0%,0,0,37.76683,-122.2453,2020-10-16 22:20 EDT
San Joaquin,California,21187,49,484,1,2.3%,20008,61,37.93479557,-121.2713112,2020-10-16 22:20 EDT
Contra Costa,California,17997,52,234,0,1.3%,17170,61,37.91793732,-121.9259354,2020-10-16 22:20 EDT
Stanislaus,California,17198,38,391,2,2.3%,16759,0,37.55932622,-120.9976619,2020-10-16 22:20 EDT
Tulare,California,17120,48,275,1,1.6%,16274,84,36.20649,-119.34305,2020-10-16 22:20 EDT
Ventura,California,13597,56,160,1,1.2%,12938,63,34.28082,-119.29231999999999,2020-10-16 22:20 EDT
Imperial,California,12410,37,335,0,2.7%,11740,43,32.84748,-115.56952,2020-10-16 22:20 EDT
San Francisco,California,11782,26,130,4,1.1%,520,0,37.777120000000004,-122.41963999999999,2020-10-16 22:20 EDT
Monterey,California,10943,56,82,0,0.7%,8371,56,36.21714603,-121.2390196,2020-10-16 22:20 EDT
San Mateo,California,10687,32,157,2,1.5%,0,0,37.54704,-122.31485,2020-10-16 22:20 EDT
Santa Barbara,California,9560,20,119,1,1.2%,9329,21,34.41938,-119.69905,2020-10-16 22:20 EDT
