County_Name,State_Name,Confirmed,New,Death,New_Death,Fatality_Rate,Latitude,Longitude,Last_Update
New York,New York,1871,1057,11,4,0.0058792,40.7145500,-74.0071400,2020-03-18 19:42 EDT
Westchester,New York,538,158,0,0,0.0000000,41.1631976,-73.7560629,2020-03-18 19:42 EDT
Nassau,New York,278,138,1,-1,0.0035971,40.7416523,-73.5889962,2020-03-18 19:42 EDT
Suffolk,New York,116,19,3,-1,0.0258621,40.8773281,-72.8589804,2020-03-18 19:42 EDT
Albany,New York,36,11,0,0,0.0000000,42.6515500,-73.7552100,2020-03-18 19:42 EDT
Orange,New York,32,17,0,0,0.0000000,41.4020682,-74.3055957,2020-03-18 19:42 EDT
Rockland,New York,31,9,1,0,0.0322581,41.1523740,-74.0240103,2020-03-18 19:42 EDT
Dutchess,New York,20,4,0,0,0.0000000,41.7647751,-73.7428168,2020-03-18 19:42 EDT
Erie,New York,20,9,0,0,0.0000000,42.7638212,-78.7322497,2020-03-18 19:42 EDT
Monroe,New York,19,5,1,-1,0.0526316,43.1460428,-77.6967491,2020-03-18 19:42 EDT
Saratoga,New York,14,5,0,0,0.0000000,43.0697400,-73.6366100,2020-03-18 19:42 EDT
Schenectady,New York,14,9,0,0,0.0000000,42.8123800,-73.9412200,2020-03-18 19:42 EDT
Ulster,New York,9,1,0,0,0.0000000,41.9598600,-73.9903300,2020-03-18 19:42 EDT
Tompkins,New York,6,3,0,0,0.0000000,42.4493350,-76.4706436,2020-03-18 19:42 EDT
Onondaga,New York,6,4,0,0,0.0000000,43.0048700,-76.1836000,2020-03-18 19:42 EDT
Rensselaer,New York,4,3,0,0,0.0000000,42.7108626,-73.5097379,2020-03-18 19:42 EDT
Putnam,New York,2,0,0,0,0.0000000,41.4265345,-73.7494999,2020-03-18 19:42 EDT
Greene,New York,2,0,0,0,0.0000000,42.2765457,-74.1226159,2020-03-18 19:42 EDT
Montgomery,New York,2,1,0,0,0.0000000,42.9022918,-74.4396009,2020-03-18 19:42 EDT
Allegany,New York,2,0,0,0,0.0000000,42.2573979,-78.0275544,2020-03-18 19:42 EDT
Oneida,New York,2,1,0,0,0.0000000,43.2430650,-75.4258360,2020-03-18 19:42 EDT
Delaware,New York,1,0,0,0,0.0000000,42.1980433,-74.9663520,2020-03-18 19:42 EDT
Herkimer,New York,1,0,0,0,0.0000000,43.0259000,-74.9843300,2020-03-18 19:42 EDT
Broome,New York,1,0,0,0,0.0000000,42.1602180,-75.8196459,2020-03-18 19:42 EDT
Tioga,New York,1,0,0,0,0.0000000,42.0605700,-76.3451900,2020-03-18 19:42 EDT
Ontario,New York,1,0,0,0,0.0000000,42.8528894,-77.2998110,2020-03-18 19:42 EDT
Clinton,New York,1,0,0,0,0.0000000,44.7904000,-73.6006000,2020-03-18 19:42 EDT
Essex,New York,1,0,0,0,0.0000000,44.1075570,-73.7912585,2020-03-18 19:42 EDT
Sullivan,New York,1,0,0,0,0.0000000,41.7163135,-74.7681108,2020-03-18 19:42 EDT
Wyoming,New York,1,0,0,0,0.0000000,42.7024266,-78.2244326,2020-03-18 19:42 EDT
