County_Name,State_Name,Confirmed,New,Death,New_Death,Fatality_Rate,Recovered,New_Recovered,Latitude,Longitude,Last_Update
Los Angeles,California,623792,122,8875,0,1.4%,18587,0,34.053490000000004,-118.24531999999999,2020-12-21 19:37 EDT
San Bernardino,California,157655,0,1327,0,0.8%,125964,0,34.10524,-117.29411999999999,2020-12-21 19:37 EDT
Riverside,California,141062,0,1744,0,1.2%,72008,0,33.98171,-117.37404,2020-12-21 19:37 EDT
Orange,California,128181,3753,1777,2,1.4%,74040,1413,33.78787,-117.85071,2020-12-21 19:37 EDT
San Diego,California,126465,3493,1280,0,1.0%,1138,0,32.71568,-117.16171000000001,2020-12-21 19:37 EDT
Kern,California,59148,948,481,0,0.8%,19566,30,35.34281638,-118.7299395,2020-12-21 19:37 EDT
Sacramento,California,57082,3079,774,33,1.4%,39903,1769,38.57944000000001,-121.49085,2020-12-21 19:37 EDT
Santa Clara,California,56334,1429,583,0,1.0%,178,0,37.35579,-121.95508999999998,2020-12-21 19:37 EDT
Fresno,California,52643,0,557,0,1.1%,26742,0,36.74084000000001,-119.78551999999999,2020-12-21 19:37 EDT
Alameda,California,42655,628,587,2,1.4%,0,0,37.76683,-122.2453,2020-12-21 19:37 EDT
San Joaquin,California,38564,2136,588,27,1.5%,31850,1453,37.93479557,-121.2713112,2020-12-21 19:37 EDT
Contra Costa,California,35322,404,298,0,0.8%,28448,303,37.91793732,-121.9259354,2020-12-21 19:37 EDT
Stanislaus,California,29992,459,523,6,1.7%,25291,251,37.55932622,-120.9976619,2020-12-21 19:37 EDT
Tulare,California,29364,1234,354,1,1.2%,24020,1467,36.20649,-119.34305,2020-12-21 19:37 EDT
Ventura,California,29358,0,210,0,0.7%,25837,0,34.28082,-119.29231999999999,2020-12-21 19:37 EDT
Monterey,California,23582,1099,178,1,0.8%,12631,101,36.21714603,-121.2390196,2020-12-21 19:37 EDT
San Mateo,California,21160,681,198,0,0.9%,0,0,37.54704,-122.31485,2020-12-21 19:37 EDT
Imperial,California,20788,615,396,2,1.9%,18525,974,32.84748,-115.56952,2020-12-21 19:37 EDT
San Francisco,California,20708,253,176,0,0.8%,520,0,37.777120000000004,-122.41963999999999,2020-12-21 19:37 EDT
Sonoma,California,16706,211,174,0,1.0%,10707,0,38.29188,-122.45728000000001,2020-12-21 19:37 EDT
Merced,California,16026,0,216,0,1.3%,12622,0,37.19187429,-120.717739,2020-12-21 19:37 EDT
Solano,California,15008,0,93,0,0.6%,12643,0,38.27793363,-121.9272405,2020-12-21 19:37 EDT
Santa Barbara,California,14738,347,147,0,1.0%,13486,162,34.41938,-119.69905,2020-12-21 19:37 EDT
Kings,California,14654,157,104,1,0.7%,9765,0,36.07543071,-119.8153541,2020-12-21 19:37 EDT
Placer,California,10776,0,103,0,1.0%,7746,0,39.05913563,-120.75363279999999,2020-12-21 19:37 EDT
Marin,California,9021,118,136,0,1.5%,8022,10,38.07188727,-122.7195348,2020-12-21 19:37 EDT
Madera,California,8574,0,111,0,1.3%,6116,0,36.96205,-120.06398999999999,2020-12-21 19:37 EDT
San Luis Obispo,California,8460,0,59,0,0.7%,6706,0,35.28579000000001,-120.66275,2020-12-21 19:37 EDT
Shasta,California,7121,0,66,0,0.9%,6863,0,40.598279999999995,-122.49095,2020-12-21 19:37 EDT
Santa Cruz,California,7085,396,70,0,1.0%,5059,282,36.97424,-122.03098,2020-12-21 19:37 EDT
Yolo,California,7019,146,104,0,1.5%,4343,0,38.73431,-121.81278999999999,2020-12-21 19:37 EDT
Butte,California,5906,0,78,0,1.3%,5036,0,39.66709143,-121.60091100000001,2020-12-21 19:37 EDT
Sutter,California,5549,0,43,0,0.8%,4583,0,39.03467539,-121.69484569999999,2020-12-21 19:37 EDT
Napa,California,4646,0,23,0,0.5%,1890,0,38.50647693,-122.3306091,2020-12-21 19:37 EDT
El Dorado,California,4412,0,8,0,0.2%,2761,0,38.68217,-120.84683000000001,2020-12-21 19:37 EDT
Lassen,California,3861,0,7,0,0.2%,2636,0,40.68244754,-120.60036909999998,2020-12-21 19:37 EDT
Yuba,California,3260,0,15,0,0.5%,2641,0,39.26918299,-121.3512653,2020-12-21 19:37 EDT
San Benito,California,2907,53,23,0,0.8%,2361,53,36.50506,-121.08332,2020-12-21 19:37 EDT
Tehama,California,2741,0,32,0,1.2%,1866,0,40.12569694,-122.23391529999999,2020-12-21 19:37 EDT
Tuolumne,California,2299,180,20,1,0.9%,1300,0,38.02764367,-119.95465359999999,2020-12-21 19:37 EDT
Mendocino,California,2230,47,25,0,1.1%,1884,8,39.44024063,-123.3912784,2020-12-21 19:37 EDT
Nevada,California,2203,0,39,0,1.8%,1625,0,39.2616,-121.0161,2020-12-21 19:37 EDT
Amador,California,2043,49,23,0,1.1%,1183,35,38.44606535,-120.65175500000001,2020-12-21 19:37 EDT
Lake,California,1399,0,22,0,1.6%,1212,0,39.10265343,-122.75089740000001,2020-12-21 19:37 EDT
Humboldt,California,1387,0,15,0,1.1%,972,0,40.69879803,-123.87371470000001,2020-12-21 19:37 EDT
Glenn,California,1273,0,12,0,0.9%,1140,0,39.59827984,-122.392389,2020-12-21 19:37 EDT
Colusa,California,1063,0,8,0,0.8%,541,0,39.17759768,-122.2371023,2020-12-21 19:37 EDT
Siskiyou,California,1019,0,8,0,0.8%,931,0,41.59256366,-122.54077720000001,2020-12-21 19:37 EDT
Mono,California,772,0,3,0,0.4%,0,0,37.93749777,-118.8838882,2020-12-21 19:37 EDT
Calaveras,California,722,0,22,0,3.0%,584,0,38.20473567,-120.55406550000001,2020-12-21 19:37 EDT
Del Norte,California,643,0,2,0,0.3%,502,0,41.74317575,-123.89711070000001,2020-12-21 19:37 EDT
Inyo,California,490,0,19,0,3.9%,335,0,36.5110603,-117.410592,2020-12-21 19:37 EDT
Plumas,California,405,0,1,0,0.2%,322,0,40.00070236,-120.8334983,2020-12-21 19:37 EDT
Modoc,California,273,2,0,0,0.0%,190,0,41.57651716400005,-120.73684738599995,2020-12-21 19:37 EDT
Trinity,California,251,0,2,0,0.8%,221,0,40.65065829,-123.11263500000001,2020-12-21 19:37 EDT
Mariposa,California,196,8,4,0,2.0%,181,8,37.58147049,-119.90545139999999,2020-12-21 19:37 EDT
Alpine,California,65,0,0,0,0.0%,62,3,38.59733305,-119.82042129999999,2020-12-21 19:37 EDT
Sierra,California,32,0,0,0,0.0%,25,0,39.58038432,-120.5160202,2020-12-21 19:37 EDT
Dallas,Texas,172726,1143,1831,0,1.1%,82509,0,32.778220000000005,-96.79512,2020-12-21 19:37 EDT
Tarrant,Texas,131097,0,1270,0,1.0%,50328,0,32.8173,-97.07655,2020-12-21 19:37 EDT
Harris--Houston,Texas,111211,766,1530,3,1.4%,97816,0,29.66648008,-95.22438005,2020-12-21 19:37 EDT
Harris--Non Houston,Texas,110649,1829,1079,0,1.0%,94477,597,37.302192,-91.84458149999999,2020-12-21 19:37 EDT
Bexar,Texas,102176,0,1630,0,1.6%,47970,0,29.44892069,-98.52000770000001,2020-12-21 19:37 EDT
El Paso,Texas,95544,367,1513,0,1.6%,26890,0,31.759159999999998,-106.48749,2020-12-21 19:37 EDT
Hidalgo,Texas,48715,411,2160,6,4.4%,31000,0,26.39702985,-98.18094296,2020-12-21 19:37 EDT
Travis,Texas,45492,0,516,0,1.1%,30113,0,30.33462266,-97.78218981,2020-12-21 19:37 EDT
Collin,Texas,40153,0,326,0,0.8%,16618,0,33.1968,-96.80393000000001,2020-12-21 19:37 EDT
Lubbock,Texas,39208,0,508,0,1.3%,14322,0,33.61019304,-101.8204416,2020-12-21 19:37 EDT
Denton,Texas,34301,0,299,0,0.9%,13135,0,33.216590000000004,-97.13162,2020-12-21 19:37 EDT
Fort Bend,Texas,31946,0,362,0,1.1%,16392,0,29.52745252,-95.77065084,2020-12-21 19:37 EDT
Cameron,Texas,28252,0,1159,0,4.1%,22053,0,26.13597462,-97.52423968,2020-12-21 19:37 EDT
Nueces,Texas,27461,0,524,0,1.9%,24714,0,27.7262373,-97.61348194,2020-12-21 19:37 EDT
Webb,Texas,24420,0,473,0,1.9%,13786,0,27.7925,-99.4228,2020-12-21 19:37 EDT
Montgomery,Texas,22578,0,245,0,1.1%,8682,0,30.38862,-95.69633,2020-12-21 19:37 EDT
Williamson,Texas,19100,0,194,0,1.0%,8993,0,30.64806761,-97.60077209,2020-12-21 19:37 EDT
Brazoria,Texas,18851,0,224,0,1.2%,11367,0,29.049709999999997,-95.56200000000001,2020-12-21 19:37 EDT
Galveston,Texas,18606,0,200,0,1.1%,11522,0,29.29532,-94.80790999999999,2020-12-21 19:37 EDT
McLennan,Texas,17249,0,253,0,1.5%,9101,0,31.55234029,-97.20180587,2020-12-21 19:37 EDT
Potter,Texas,14685,40,285,4,1.9%,5042,0,35.40127385,-101.8939736,2020-12-21 19:37 EDT
Brazos,Texas,13360,323,130,0,1.0%,6883,0,30.66048584,-96.30207301,2020-12-21 19:37 EDT
Randall,Texas,13262,54,169,4,1.3%,3204,0,34.96596461,-101.896888,2020-12-21 19:37 EDT
Jefferson,Texas,12390,0,205,0,1.7%,7307,0,29.88366401,-94.16922753,2020-12-21 19:37 EDT
Smith,Texas,11733,0,235,0,2.0%,3442,0,32.37505601,-95.26910259,2020-12-21 19:37 EDT
Tom Green,Texas,11305,0,199,0,1.8%,10837,0,31.40442601,-100.4619795,2020-12-21 19:37 EDT
Bell,Texas,11113,0,149,0,1.3%,5600,0,31.03765881,-97.47807382,2020-12-21 19:37 EDT
Ector,Texas,11085,0,200,0,1.8%,3406,0,31.86911555,-102.5428458,2020-12-21 19:37 EDT
Ellis,Texas,11023,0,143,0,1.3%,4149,0,32.34839289,-96.79460418,2020-12-21 19:37 EDT
Taylor,Texas,10206,0,169,0,1.7%,1510,0,32.30139883,-99.8899813,2020-12-21 19:37 EDT
Midland,Texas,10022,0,172,0,1.7%,3914,0,31.86932499,-102.0314523,2020-12-21 19:37 EDT
Hays,Texas,9794,0,119,0,1.2%,5691,0,30.1227,-97.8722,2020-12-21 19:37 EDT
Wichita,Texas,9322,0,183,0,2.0%,2219,0,33.98410156,-98.70169462,2020-12-21 19:37 EDT
Johnson,Texas,9181,0,138,0,1.5%,3443,0,32.37899029,-97.36641179,2020-12-21 19:37 EDT
Kaufman,Texas,7852,0,107,0,1.4%,3376,0,32.60298369,-96.28946607,2020-12-21 19:37 EDT
Parker,Texas,7073,0,82,0,1.2%,2255,0,32.77771907,-97.80511717,2020-12-21 19:37 EDT
Guadalupe,Texas,6371,0,100,0,1.6%,1822,0,29.58309666,-97.94865645,2020-12-21 19:37 EDT
Gregg,Texas,6151,0,140,0,2.3%,2097,0,32.48062462,-94.81699103,2020-12-21 19:37 EDT
Grayson,Texas,5795,0,141,0,2.4%,2247,0,33.61833228,-96.67387872,2020-12-21 19:37 EDT
Maverick,Texas,5793,0,185,0,3.2%,3649,0,28.74301122,-100.3142594,2020-12-21 19:37 EDT
Comal,Texas,5751,0,141,0,2.5%,1850,0,29.80818438,-98.2781952,2020-12-21 19:37 EDT
Walker,Texas,5548,0,78,0,1.4%,3824,0,30.73898292,-95.57222968,2020-12-21 19:37 EDT
Victoria,Texas,5546,0,111,0,2.0%,4090,0,28.79640375,-96.97175516,2020-12-21 19:37 EDT
Starr,Texas,5512,0,197,0,3.6%,3291,0,26.56239356,-98.7374609,2020-12-21 19:37 EDT
Rockwall,Texas,5266,0,47,0,0.9%,1766,0,32.89767022,-96.40784140000001,2020-12-21 19:37 EDT
Hale,Texas,4841,0,114,0,2.4%,2039,0,34.07052809,-101.8268085,2020-12-21 19:37 EDT
Orange,Texas,4828,0,65,0,1.3%,1706,0,30.128079800000002,-93.89665964,2020-12-21 19:37 EDT
Angelina,Texas,4806,0,126,0,2.6%,2112,0,31.25730151,-94.63261756,2020-12-21 19:37 EDT
Anderson,Texas,4174,0,57,0,1.4%,2830,0,31.81320101,-95.65250749,2020-12-21 19:37 EDT
Val Verde,Texas,3884,0,146,0,3.8%,2157,0,26.17619,-98.08112,2020-12-21 19:37 EDT
Liberty,Texas,3850,0,84,0,2.2%,2226,0,30.15168965,-94.81217381,2020-12-21 19:37 EDT
Howard,Texas,3740,0,53,0,1.4%,899,0,32.30610786,-101.4354618,2020-12-21 19:37 EDT
Bowie,Texas,3660,0,118,0,3.2%,1231,0,33.559,-97.8486,2020-12-21 19:37 EDT
Wise,Texas,3503,0,65,0,1.9%,855,0,33.21586139,-97.65438192,2020-12-21 19:37 EDT
Navarro,Texas,3495,108,54,3,1.5%,902,0,32.0498125,-96.48283409,2020-12-21 19:37 EDT
Hunt,Texas,3428,0,74,0,2.2%,1696,0,33.13330985,-96.08803634,2020-12-21 19:37 EDT
Bastrop,Texas,3423,0,40,0,1.2%,1854,0,30.10364375,-97.31201151,2020-12-21 19:37 EDT
Lamar,Texas,3423,0,86,0,2.5%,1472,0,33.66742106,-95.57087079,2020-12-21 19:37 EDT
Hood,Texas,3264,0,66,0,2.0%,1116,0,32.42998661,-97.83217761,2020-12-21 19:37 EDT
Henderson,Texas,3224,0,68,0,2.1%,828,0,32.20986317,-95.84344062,2020-12-21 19:37 EDT
Coryell,Texas,3043,0,28,0,0.9%,1858,0,31.39084072,-97.79914193,2020-12-21 19:37 EDT
Hardin,Texas,2977,0,47,0,1.6%,1244,0,30.33236369,-94.39028561,2020-12-21 19:37 EDT
Cherokee,Texas,2880,0,69,0,2.4%,1188,0,31.83697709,-95.16516716,2020-12-21 19:37 EDT
San Patricio,Texas,2855,0,94,0,3.3%,1434,0,27.95808,-97.77216999999999,2020-12-21 19:37 EDT
Nacogdoches,Texas,2778,0,91,0,3.3%,1615,0,31.62343014,-94.62108091,2020-12-21 19:37 EDT
Erath,Texas,2672,0,27,0,1.0%,966,0,32.23626376,-98.21778772,2020-12-21 19:37 EDT
