County_Name,State_Name,Confirmed,New,Death,New_Death,Fatality_Rate,Recovered,New_Recovered,Latitude,Longitude,Last_Update
Los Angeles,California,1233091,309,24191,0,2.0%,429,355,34.053490000000004,-118.24531999999999,2021-05-01 19:30 EDT
Riverside,California,298450,0,4574,0,1.5%,1469,69,33.98171,-117.37404,2021-05-01 19:30 EDT
San Bernardino,California,296009,110,4402,40,1.5%,459,9,34.10524,-117.29411999999999,2021-05-01 19:30 EDT
San Diego,California,276156,0,3702,0,1.3%,8199,44,32.71568,-117.16171000000001,2021-05-01 19:30 EDT
Orange,California,253914,66,4965,8,2.0%,529,8,33.78787,-117.85071,2021-05-01 19:30 EDT
Santa Clara,California,118269,0,2068,0,1.7%,3489,91,37.35579,-121.95508999999998,2021-05-01 19:30 EDT
Kern,California,108598,53,1354,1,1.2%,1889,50,35.34281638,-118.7299395,2021-05-01 19:30 EDT
Sacramento,California,102959,0,1663,0,1.6%,1239,88,38.57944000000001,-121.49085,2021-05-01 19:30 EDT
Fresno,California,101189,0,1667,0,1.6%,2499,25,36.74084000000001,-119.78551999999999,2021-05-01 19:30 EDT
Alameda,California,85844,0,1495,0,1.7%,412839,10,37.76683,-122.2453,2021-05-01 19:30 EDT
Ventura,California,80617,0,1009,0,1.3%,2349,87,34.28082,-119.29231999999999,2021-05-01 19:30 EDT
San Joaquin,California,72478,0,1346,0,1.9%,659,6,37.93479557,-121.2713112,2021-05-01 19:30 EDT
Contra Costa,California,68051,76,783,0,1.2%,949,40,37.91793732,-121.9259354,2021-05-01 19:30 EDT
Stanislaus,California,54810,0,1043,0,1.9%,4399,63,37.55932622,-120.9976619,2021-05-01 19:30 EDT
Tulare,California,49585,0,834,0,1.7%,1649,2,36.20649,-119.34305,2021-05-01 19:30 EDT
Monterey,California,43461,7,381,0,0.9%,179,8,36.21714603,-121.2390196,2021-05-01 19:30 EDT
San Mateo,California,41477,0,567,0,1.4%,339,85,37.54704,-122.31485,2021-05-01 19:30 EDT
Solano,California,39766,0,215,0,0.5%,0,0,38.27793363,-121.9272405,2021-05-01 19:30 EDT
San Francisco,California,36111,37,536,2,1.5%,1999,81,37.777120000000004,-122.41963999999999,2021-05-01 19:30 EDT
Santa Barbara,California,34180,16,450,1,1.3%,2149,47,34.41938,-119.69905,2021-05-01 19:30 EDT
Merced,California,31594,0,454,0,1.4%,499,94,37.19187429,-120.717739,2021-05-01 19:30 EDT
Sonoma,California,29856,38,312,0,1.0%,3839,1,38.29188,-122.45728000000001,2021-05-01 19:30 EDT
Imperial,California,27830,0,720,0,2.6%,3569,5,32.84748,-115.56952,2021-05-01 19:30 EDT
Kings,California,22886,5,246,0,1.1%,209,6,36.07543071,-119.8153541,2021-05-01 19:30 EDT
Placer,California,22222,0,289,0,1.3%,309,94,39.05913563,-120.75363279999999,2021-05-01 19:30 EDT
San Luis Obispo,California,21193,0,260,0,1.2%,8839,9,35.28579000000001,-120.66275,2021-05-01 19:30 EDT
Madera,California,16291,0,240,0,1.5%,1259,3,36.96205,-120.06398999999999,2021-05-01 19:30 EDT
Santa Cruz,California,15999,15,204,0,1.3%,4489,53,36.97424,-122.03098,2021-05-01 19:30 EDT
Marin,California,13961,0,209,0,1.5%,45589,7,38.07188727,-122.7195348,2021-05-01 19:30 EDT
Yolo,California,13678,0,205,0,1.5%,9,5,38.73431,-121.81278999999999,2021-05-01 19:30 EDT
Shasta,California,11901,0,220,0,1.8%,3339,0,40.598279999999995,-122.49095,2021-05-01 19:30 EDT
Butte,California,11613,0,182,0,1.6%,41169,35,39.66709143,-121.60091100000001,2021-05-01 19:30 EDT
El Dorado,California,9964,0,110,0,1.1%,2429,19,38.68217,-120.84683000000001,2021-05-01 19:30 EDT
Napa,California,9787,0,78,0,0.8%,579,0,38.50647693,-122.3306091,2021-05-01 19:30 EDT
Sutter,California,9366,0,104,0,1.1%,319,0,39.03467539,-121.69484569999999,2021-05-01 19:30 EDT
Yuba,California,6185,0,40,0,0.6%,239,3,39.26918299,-121.3512653,2021-05-01 19:30 EDT
San Benito,California,6024,6,63,0,1.0%,1439,4,36.50506,-121.08332,2021-05-01 19:30 EDT
Lassen,California,5692,0,24,0,0.4%,6329,0,40.68244754,-120.60036909999998,2021-05-01 19:30 EDT
Tehama,California,5507,0,58,0,1.1%,4269,9,40.12569694,-122.23391529999999,2021-05-01 19:30 EDT
Nevada,California,4602,0,75,0,1.6%,43859,0,39.2616,-121.0161,2021-05-01 19:30 EDT
Tuolumne,California,4105,0,65,0,1.6%,5569,2,38.02764367,-119.95465359999999,2021-05-01 19:30 EDT
Mendocino,California,4029,0,48,0,1.2%,41009,8,39.44024063,-123.3912784,2021-05-01 19:30 EDT
Humboldt,California,3985,0,38,0,1.0%,410629,68,40.69879803,-123.87371470000001,2021-05-01 19:30 EDT
Amador,California,3615,0,51,0,1.4%,4719,5,38.44606535,-120.65175500000001,2021-05-01 19:30 EDT
Lake,California,3422,0,43,0,1.3%,4299,6,39.10265343,-122.75089740000001,2021-05-01 19:30 EDT
Glenn,California,2715,0,25,0,0.9%,0,0,39.59827984,-122.392389,2021-05-01 19:30 EDT
Colusa,California,2221,0,16,0,0.7%,3899,1,39.17759768,-122.2371023,2021-05-01 19:30 EDT
Calaveras,California,2095,0,52,0,2.5%,4667,5,38.20473567,-120.55406550000001,2021-05-01 19:30 EDT
Siskiyou,California,2071,0,21,0,1.0%,4787,4,41.59256366,-122.54077720000001,2021-05-01 19:30 EDT
Inyo,California,1422,0,38,0,2.7%,3339,0,36.5110603,-117.410592,2021-05-01 19:30 EDT
Del Norte,California,1329,0,7,0,0.5%,48959,6,41.74317575,-123.89711070000001,2021-05-01 19:30 EDT
Mono,California,1277,0,4,0,0.3%,6679,0,37.93749777,-118.8838882,2021-05-01 19:30 EDT
Plumas,California,703,0,6,0,0.9%,1439,0,40.00070236,-120.8334983,2021-05-01 19:30 EDT
