County Name,State Name,Confirmed,New,Death,New Death,Fatality Rate,Recovered,New Recovered,Latitude,Longitude,Last Update
Los Angeles,California,1192954,0,21467,0,1.8%,1149,1551,34.053490000000004,-118.24532,2021-03-02 12:01 EDT
Riverside,California,289773,0,3792,0,1.3%,199,951,33.98171,-117.37404,2021-03-02 12:01 EDT
San Bernardino,California,286755,0,2940,0,1.0%,2049,889,34.10524,-117.29412,2021-03-02 12:01 EDT
San Diego,California,260625,0,3303,0,1.3%,129,595,32.71568,-117.16171,2021-03-02 12:01 EDT
Orange,California,246634,0,3921,0,1.6%,2659,749,33.78787,-117.85071,2021-03-02 12:01 EDT
Santa Clara,California,110755,0,1781,0,1.6%,41859,701,37.35579,-121.95508999999998,2021-03-02 12:01 EDT
Kern,California,103422,0,877,0,0.8%,41129,573,35.34281638,-118.7299395,2021-03-02 12:01 EDT
Fresno,California,95548,0,1443,0,1.5%,3679,174,36.74084000000001,-119.78552,2021-03-02 12:01 EDT
Sacramento,California,93528,0,1484,0,1.6%,5539,100,38.57944000000001,-121.49085,2021-03-02 12:01 EDT
Alameda,California,82822,0,1242,0,1.5%,429799,283,37.76683,-122.2453,2021-03-02 12:01 EDT
Ventura,California,77594,0,852,0,1.1%,139,360,34.28082,-119.29232,2021-03-02 12:01 EDT
San Joaquin,California,66829,0,1126,0,1.7%,2739,83,37.93479557,-121.2713112,2021-03-02 12:01 EDT
Contra Costa,California,62720,0,681,0,1.1%,569,76,37.91793732,-121.9259354,2021-03-02 12:01 EDT
Stanislaus,California,50579,0,949,0,1.9%,1749,19,37.55932622,-120.9976619,2021-03-02 12:01 EDT
Tulare,California,48013,0,761,0,1.6%,4689,51,36.20649,-119.34305,2021-03-02 12:01 EDT
Monterey,California,42261,0,328,0,0.8%,3069,77,36.21714603,-121.2390196,2021-03-02 12:01 EDT
Solano,California,39766,0,164,0,0.4%,1009,0,38.27793363,-121.9272405,2021-03-02 12:01 EDT
San Mateo,California,38831,0,515,0,1.3%,347,78,37.54704,-122.31485,2021-03-02 12:01 EDT
San Francisco,California,34070,0,422,0,1.2%,1119,57,37.77712,-122.41964,2021-03-02 12:01 EDT
Santa Barbara,California,32050,0,413,0,1.3%,1899,32,34.41938,-119.69905,2021-03-02 12:01 EDT
Merced,California,29147,0,401,0,1.4%,1659,58,37.19187429,-120.717739,2021-03-02 12:01 EDT
Sonoma,California,28134,42,298,0,1.1%,269,16,38.29188,-122.45728,2021-03-02 12:01 EDT
Imperial,California,26840,0,635,0,2.4%,1009,0,32.84748,-115.56952,2021-03-02 12:01 EDT
Kings,California,22082,0,220,0,1.0%,1419,01,36.07543071,-119.8153541,2021-03-02 12:01 EDT
Placer,California,19861,0,232,0,1.2%,129,41,39.05913563,-120.7536328,2021-03-02 12:01 EDT
San Luis Obispo,California,19696,0,235,0,1.2%,5749,38,35.28579000000001,-120.66275,2021-03-02 12:01 EDT
Madera,California,15429,0,214,0,1.4%,44769,76,36.96205,-120.06399,2021-03-02 12:01 EDT
Santa Cruz,California,14671,0,183,0,1.2%,3319,76,36.97424,-122.03098,2021-03-02 12:01 EDT
Marin,California,13231,0,197,0,1.5%,4299,00,38.07188727,-122.7195348,2021-03-02 12:01 EDT
Yolo,California,12712,0,185,0,1.5%,42919,84,38.73431,-121.81279,2021-03-02 12:01 EDT
Shasta,California,11017,0,174,0,1.6%,4296,49,40.59828,-122.49095,2021-03-02 12:01 EDT
Butte,California,10774,0,163,0,1.5%,4069,57,39.66709143,-121.600911,2021-03-02 12:01 EDT
El Dorado,California,9160,0,100,0,1.1%,1179,43,38.68217,-120.84683,2021-03-02 12:01 EDT
Napa,California,9019,0,69,0,0.8%,1469,35,38.50647693,-122.3306091,2021-03-02 12:01 EDT
Sutter,California,8880,0,97,0,1.1%,4369,14,39.03467539,-121.6948457,2021-03-02 12:01 EDT
Yuba,California,5773,0,37,0,0.6%,619,2,39.26918299,-121.3512653,2021-03-02 12:01 EDT
San Benito,California,5678,0,61,0,1.1%,369,4,36.50506,-121.08332,2021-03-02 12:01 EDT
Lassen,California,5624,19,19,0,0.3%,217,7,40.68244754,-120.60036909999998,2021-03-02 12:01 EDT
Tehama,California,5086,0,52,0,1.0%,6199,3,40.12569694,-122.2339153,2021-03-02 12:01 EDT
Nevada,California,3971,0,74,0,1.9%,339,19,39.2616,-121.0161,2021-03-02 12:01 EDT
Tuolumne,California,3960,0,59,0,1.5%,4286,0,38.02764367,-119.9546536,2021-03-02 12:01 EDT
Mendocino,California,3816,0,43,0,1.1%,5249,0,39.44024063,-123.3912784,2021-03-02 12:01 EDT
Amador,California,3440,5,41,0,1.2%,4926,2,38.44606535,-120.651755,2021-03-02 12:01 EDT
Humboldt,California,3210,0,33,0,1.0%,42405,43,40.69879803,-123.8737147,2021-03-02 12:01 EDT
Lake,California,3132,0,41,0,1.3%,5419,1,39.10265343,-122.7508974,2021-03-02 12:01 EDT
Glenn,California,2189,0,23,0,1.1%,0,3,39.59827984,-122.392389,2021-03-02 12:01 EDT
Colusa,California,2136,0,13,0,0.6%,6869,6,39.17759768,-122.2371023,2021-03-02 12:01 EDT
Calaveras,California,1910,5,49,2,2.6%,9199,0,38.20473567,-120.5540655,2021-03-02 12:01 EDT
Siskiyou,California,1760,0,14,0,0.8%,45959,9,41.59256366,-122.5407772,2021-03-02 12:01 EDT
Inyo,California,1313,0,37,0,2.8%,4409,0,36.5110603,-117.410592,2021-03-02 12:01 EDT
Mono,California,1214,2,4,0,0.3%,209,0,37.93749777,-118.8838882,2021-03-02 12:01 EDT
Del Norte,California,1003,0,5,0,0.5%,45719,4,41.74317575,-123.8971107,2021-03-02 12:01 EDT
Plumas,California,653,0,6,0,0.9%,509,0,40.00070236,-120.8334983,2021-03-02 12:01 EDT
Modoc,California,456,0,4,0,0.9%,4609,0,41.57651716400005,-120.73684738599995,2021-03-02 12:01 EDT
Mariposa,California,395,0,7,0,1.8%,259,0,37.58147049,-119.9054514,2021-03-02 12:01 EDT
Trinity,California,370,0,5,0,1.4%,45799,0,40.65065829,-123.112635,2021-03-02 12:01 EDT
Sierra,California,100,0,0,0,0.0%,509,0,39.58038432,-120.5160202,2021-03-02 12:01 EDT
Alpine,California,82,0,0,0,0.0%,41009,0,38.59733305,-119.8204213,2021-03-02 12:01 EDT
Dallas,Texas,281155,0,3425,0,1.2%,46719,210,32.778220000000005,-96.79512,2021-03-02 12:01 EDT
Tarrant,Texas,242638,0,2883,0,1.2%,4337,818,32.8173,-97.07655,2021-03-02 12:01 EDT
Bexar,Texas,196828,288,2897,0,1.5%,5239,837,29.44892069,-98.5200077,2021-03-02 12:01 EDT
Harris--Non Houston,Texas,179349,0,1366,0,0.8%,429819,848,37.302192,-91.8445815,2021-03-02 12:01 EDT
Harris--Houston,Texas,171714,0,1951,0,1.1%,6289,145,29.66648008,-95.22438005,2021-03-02 12:01 EDT
El Paso,Texas,123979,0,2354,0,1.9%,41129,214,31.75916,-106.48749,2021-03-02 12:01 EDT
Collin,Texas,83404,0,723,0,0.9%,41769,012,33.1968,-96.80393,2021-03-02 12:01 EDT
Hidalgo,Texas,77312,0,2638,0,3.4%,45989,887,26.39702985,-98.18094296,2021-03-02 12:01 EDT
Travis,Texas,75901,0,852,0,1.1%,415379,695,30.33462266,-97.78218981,2021-03-02 12:01 EDT
Denton,Texas,64697,0,648,0,1.0%,42589,541,33.216590000000004,-97.13162,2021-03-02 12:01 EDT
Fort Bend,Texas,57721,0,559,0,1.0%,369,56,29.52745252,-95.77065084,2021-03-02 12:01 EDT
Lubbock,Texas,48175,0,765,0,1.6%,1359,73,33.61019304,-101.8204416,2021-03-02 12:01 EDT
