County Name,State Name,Confirmed,New,Death,New Death,Fatality Rate,Latitude,Longitude,Last Update
New York,New York,29158,2461,517,517,1.8%,40.71455,-74.00714,2020-03-28 12:53 EDT
Westchester,New York,7187,0,10,10,0.1%,41.16319759,-73.7560629,2020-03-28 12:53 EDT
Nassau,New York,4657,0,27,27,0.6%,40.74165225,-73.58899619,2020-03-28 12:53 EDT
Suffolk,New York,3385,0,30,30,0.9%,40.87732808,-72.85898036,2020-03-28 12:53 EDT
Rockland,New York,1457,0,8,8,0.5%,41.152374,-74.02401032,2020-03-28 12:53 EDT
Orange,New York,910,0,4,4,0.4%,41.40206825,-74.30559567,2020-03-28 12:53 EDT
Erie,New York,310,0,6,6,1.9%,42.76382119,-78.73224973,2020-03-28 12:53 EDT
Dutchess,New York,225,0,2,2,0.9%,41.76477515,-73.74281684,2020-03-28 12:53 EDT
Monroe,New York,190,24,4,4,2.1%,43.14604282,-77.69674911,2020-03-28 12:53 EDT
Albany,New York,187,0,0,0,0.0%,42.65155,-73.75520999999998,2020-03-28 12:53 EDT
Onondaga,New York,123,0,1,1,0.8%,43.00487,-76.1836,2020-03-28 12:53 EDT
Putnam,New York,111,0,0,0,0.0%,41.42653455,-73.7494999,2020-03-28 12:53 EDT
Ulster,New York,98,0,0,0,0.0%,41.95986,-73.99033,2020-03-28 12:53 EDT
Saratoga,New York,93,0,0,0,0.0%,43.06974,-73.63661,2020-03-28 12:53 EDT
Schenectady,New York,66,0,1,1,1.5%,42.81238,-73.94122,2020-03-28 12:53 EDT
Sullivan,New York,64,0,0,0,0.0%,41.71631354,-74.76811083,2020-03-28 12:53 EDT
Tompkins,New York,48,0,0,0,0.0%,42.44933495,-76.47064359,2020-03-28 12:53 EDT
Rensselaer,New York,44,0,0,0,0.0%,42.71086263,-73.5097379,2020-03-28 12:53 EDT
Madison,New York,28,11,1,1,3.6%,42.91290749,-75.66978904,2020-03-28 12:53 EDT
Columbia,New York,27,0,0,0,0.0%,42.25001078,-73.63186134,2020-03-28 12:53 EDT
Niagara,New York,23,0,0,0,0.0%,43.19998147,-78.74522262,2020-03-28 12:53 EDT
Broome,New York,18,0,3,3,16.7%,42.16021802,-75.81964586,2020-03-28 12:53 EDT
Ontario,New York,14,0,0,0,0.0%,42.85288942,-77.29981098,2020-03-28 12:53 EDT
Oneida,New York,13,0,0,0,0.0%,43.24306498,-75.42583597,2020-03-28 12:53 EDT
Steuben,New York,12,0,0,0,0.0%,42.26782685,-77.38382596,2020-03-28 12:53 EDT
Clinton,New York,11,0,0,0,0.0%,44.7904,-73.6006,2020-03-28 12:53 EDT
Wayne,New York,11,0,0,0,0.0%,42.474131,-77.09816,2020-03-28 12:53 EDT
Chemung,New York,11,0,0,0,0.0%,42.1411881,-76.76001059999999,2020-03-28 12:53 EDT
Livingston,New York,10,0,0,0,0.0%,42.72808354,-77.77543855,2020-03-28 12:53 EDT
Herkimer,New York,9,0,1,1,11.1%,43.0259,-74.98433,2020-03-28 12:53 EDT
Oswego,New York,9,5,0,0,0.0%,43.4365257,-76.14924403,2020-03-28 12:53 EDT
Delaware,New York,8,0,0,0,0.0%,42.19804334,-74.96635196,2020-03-28 12:53 EDT
Warren,New York,8,0,0,0,0.0%,43.5592099,-73.85881158,2020-03-28 12:53 EDT
Wyoming,New York,7,0,1,1,14.3%,42.70242659,-78.22443261,2020-03-28 12:53 EDT
Genesee,New York,7,0,0,0,0.0%,43.00094016,-78.1936949,2020-03-28 12:53 EDT
Cortland,New York,7,0,0,0,0.0%,42.59500111,-76.07023743,2020-03-28 12:53 EDT
Greene,New York,6,0,0,0,0.0%,42.27654571,-74.12261588,2020-03-28 12:53 EDT
Montgomery,New York,6,0,0,0,0.0%,42.90229179999999,-74.43960085,2020-03-28 12:53 EDT
Washington,New York,6,0,0,0,0.0%,43.31227113,-73.43096234,2020-03-28 12:53 EDT
Otsego,New York,6,0,1,1,16.7%,42.63373751,-75.03256231,2020-03-28 12:53 EDT
Essex,New York,5,0,0,0,0.0%,44.10755697,-73.79125847,2020-03-28 12:53 EDT
Chautauqua,New York,5,0,0,0,0.0%,42.22826274,-79.36643298,2020-03-28 12:53 EDT
Franklin,New York,5,2,0,0,0.0%,44.59267538200004,-74.30342184999995,2020-03-28 12:53 EDT
Chenango,New York,4,0,0,0,0.0%,42.49349443,-75.61153709999998,2020-03-28 12:53 EDT
Jefferson,New York,4,0,0,0,0.0%,44.04103424,-75.91225529,2020-03-28 12:53 EDT
St. Lawrence,New York,4,0,0,0,0.0%,44.17727,-76.16771999999997,2020-03-28 12:53 EDT
Schoharie,New York,3,0,0,0,0.0%,42.58820746,-74.44213588,2020-03-28 12:53 EDT
Orleans,New York,3,0,0,0,0.0%,43.25210058600004,-78.23124678499994,2020-03-28 12:53 EDT
Tioga,New York,2,0,0,0,0.0%,42.06057,-76.34519,2020-03-28 12:53 EDT
Allegany,New York,2,0,0,0,0.0%,42.25739788,-78.02755444,2020-03-28 12:53 EDT
Hamilton,New York,2,0,0,0,0.0%,43.66130373,-74.49733573,2020-03-28 12:53 EDT
Cayuga,New York,2,0,0,0,0.0%,42.92145204,-76.54917489,2020-03-28 12:53 EDT
Fulton,New York,1,0,0,0,0.0%,43.11240266,-74.43516277,2020-03-28 12:53 EDT
Bergen,New Jersey,1505,0,13,13,0.9%,40.95949149,-74.074442,2020-03-28 12:53 EDT
Essex,New Jersey,826,0,7,7,0.8%,40.78779259,-74.24760059,2020-03-28 12:53 EDT
Middlesex,New Jersey,640,0,4,4,0.6%,40.57936,-74.50067,2020-03-28 12:53 EDT
Monmouth,New Jersey,634,0,6,6,0.9%,40.2600411,-74.22194634,2020-03-28 12:53 EDT
Hudson,New Jersey,594,0,4,4,0.7%,40.74034231,-74.07410970000002,2020-03-28 12:53 EDT
Union,New Jersey,519,0,0,0,0.0%,40.69635,-74.26957,2020-03-28 12:53 EDT
Passaic,New Jersey,484,0,7,7,1.4%,40.86034,-74.12374,2020-03-28 12:53 EDT
Ocean,New Jersey,484,0,4,4,0.8%,39.90927434,-74.2969653,2020-03-28 12:53 EDT
Morris,New Jersey,391,0,3,3,0.8%,40.86201902,-74.5442741,2020-03-28 12:53 EDT
Somerset,New Jersey,222,0,4,4,1.8%,40.49859,-74.52249,2020-03-28 12:53 EDT
Mercer,New Jersey,131,0,0,0,0.0%,40.28331911,-74.70157374,2020-03-28 12:53 EDT
Camden,New Jersey,95,0,1,1,1.1%,39.94525,-75.11913,2020-03-28 12:53 EDT
Burlington,New Jersey,88,0,0,0,0.0%,40.07687,-74.85775,2020-03-28 12:53 EDT
Sussex,New Jersey,65,0,0,0,0.0%,41.13934496,-74.69067762,2020-03-28 12:53 EDT
Hunterdon,New Jersey,52,0,0,0,0.0%,40.56725317,-74.91217921,2020-03-28 12:53 EDT
Gloucester,New Jersey,40,0,1,1,2.5%,39.71720107,-75.14164366,2020-03-28 12:53 EDT
Warren,New Jersey,38,0,0,0,0.0%,40.85732358,-74.997063,2020-03-28 12:53 EDT
Atlantic,New Jersey,14,0,0,0,0.0%,39.4806564,-74.67264306,2020-03-28 12:53 EDT
Cumberland,New Jersey,9,0,0,0,0.0%,39.37311491,-75.11061925,2020-03-28 12:53 EDT
Cape May,New Jersey,7,0,0,0,0.0%,38.93547,-74.92137,2020-03-28 12:53 EDT
Salem,New Jersey,3,0,0,0,0.0%,39.57661332,-75.35810746,2020-03-28 12:53 EDT
Los Angeles,California,1465,0,26,26,1.8%,34.053490000000004,-118.24532,2020-03-28 12:53 EDT
Santa Clara,California,574,0,20,20,3.5%,37.35579,-121.95508999999998,2020-03-28 12:53 EDT
San Diego,California,413,0,6,6,1.5%,32.71568,-117.16171,2020-03-28 12:53 EDT
Orange,California,321,0,3,3,0.9%,33.78787,-117.85071,2020-03-28 12:53 EDT
San Francisco,California,308,29,4,4,1.3%,37.77712,-122.41964,2020-03-28 12:53 EDT
San Mateo,California,239,0,6,6,2.5%,37.54704,-122.31485,2020-03-28 12:53 EDT
Alameda,California,220,0,4,4,1.8%,37.76683,-122.2453,2020-03-28 12:53 EDT
Riverside,California,183,0,8,8,4.4%,33.98171,-117.37404,2020-03-28 12:53 EDT
Sacramento,California,164,0,6,6,3.7%,38.57944000000001,-121.49085,2020-03-28 12:53 EDT
Contra Costa,California,151,0,2,2,1.3%,37.91793732,-121.9259354,2020-03-28 12:53 EDT
San Joaquin,California,93,0,4,4,4.3%,37.93479557,-121.2713112,2020-03-28 12:53 EDT
Ventura,California,83,0,3,3,3.6%,34.28082,-119.29232,2020-03-28 12:53 EDT
Marin,California,68,0,1,1,1.5%,38.07188727,-122.7195348,2020-03-28 12:53 EDT
San Bernardino,California,64,0,3,3,4.7%,34.10524,-117.29412,2020-03-28 12:53 EDT
San Luis Obispo,California,59,0,0,0,0.0%,35.28579000000001,-120.66275,2020-03-28 12:53 EDT
Sonoma,California,50,0,1,1,2.0%,38.29188,-122.45728,2020-03-28 12:53 EDT
Santa Barbara,California,47,0,0,0,0.0%,34.41938,-119.69905,2020-03-28 12:53 EDT
Placer,California,41,0,1,1,2.4%,39.05913563,-120.7536328,2020-03-28 12:53 EDT
Kern,California,41,0,1,1,2.4%,35.34281638,-118.7299395,2020-03-28 12:53 EDT
Solano,California,34,0,0,0,0.0%,38.27793363,-121.9272405,2020-03-28 12:53 EDT
Santa Cruz,California,34,0,0,0,0.0%,36.97424,-122.03098,2020-03-28 12:53 EDT
Monterey,California,32,0,1,1,3.1%,36.21714603,-121.2390196,2020-03-28 12:53 EDT
