County Name,State Name,Confirmed,New,Death,New Death,Fatality Rate,Recovered,New Recovered,Latitude,Longitude,Last Update
New York,New York,205793,1073,21415,53,10.4%,0,0,40.71455,-74.00714,2020-05-28 22:20 EDT
Nassau,New York,40140,106,2114,6,5.3%,3567,0,40.74165225,-73.58899619,2020-05-28 22:20 EDT
Suffolk,New York,39359,101,1871,10,4.8%,4854,0,40.87732808,-72.85898036,2020-05-28 22:20 EDT
Westchester,New York,33293,107,1357,5,4.1%,9371,0,41.16319759,-73.7560629,2020-05-28 22:20 EDT
Rockland,New York,13076,29,626,0,4.8%,0,0,41.152374,-74.02401032,2020-05-28 22:20 EDT
Orange,New York,10440,0,443,0,4.2%,0,0,41.40206825,-74.30559567,2020-05-28 22:20 EDT
Erie,New York,5886,76,504,0,8.6%,479,0,42.76382119,-78.73224973,2020-05-28 22:20 EDT
Dutchess,New York,3867,20,138,0,3.6%,2136,0,41.76477515,-73.74281684,2020-05-28 22:20 EDT
Monroe,New York,2824,33,198,0,7.0%,1423,0,43.14604282,-77.69674911,2020-05-28 22:20 EDT
Onondaga,New York,2054,21,127,0,6.2%,1037,0,43.004870000000004,-76.1836,2020-05-28 22:20 EDT
Albany,New York,1814,18,76,0,4.2%,1237,0,42.65155,-73.75520999999998,2020-05-28 22:20 EDT
Ulster,New York,1689,0,74,0,4.4%,1044,0,41.95986,-73.99033,2020-05-28 22:20 EDT
Putnam,New York,1395,0,58,0,4.2%,0,0,41.42653455,-73.7494999,2020-05-28 22:20 EDT
Sullivan,New York,1351,11,30,0,2.2%,1041,0,41.71631354,-74.76811083,2020-05-28 22:20 EDT
Niagara,New York,1020,0,63,0,6.2%,656,0,43.19998147,-78.74522262,2020-05-28 22:20 EDT
Oneida,New York,959,30,46,0,4.8%,545,0,43.24306498,-75.42583597,2020-05-28 22:20 EDT
Schenectady,New York,676,3,29,0,4.3%,607,0,42.81238,-73.94122,2020-05-28 22:20 EDT
Broome,New York,545,17,44,0,8.1%,341,0,42.16021802,-75.81964586,2020-05-28 22:20 EDT
Rensselaer,New York,469,3,28,0,6.0%,344,0,42.71086263,-73.5097379,2020-05-28 22:20 EDT
Saratoga,New York,468,3,11,0,2.4%,121,0,43.06974,-73.63661,2020-05-28 22:20 EDT
Columbia,New York,380,0,32,0,8.4%,189,0,42.25001078,-73.63186134,2020-05-28 22:20 EDT
Madison,New York,332,0,10,0,3.0%,264,0,42.91290749,-75.66978904,2020-05-28 22:20 EDT
Greene,New York,260,0,18,0,6.9%,251,0,42.27654571,-74.12261588,2020-05-28 22:20 EDT
Steuben,New York,257,0,41,0,16.0%,104,0,42.26782685,-77.38382596,2020-05-28 22:20 EDT
Warren,New York,253,1,26,0,10.3%,0,0,43.5592099,-73.85881158,2020-05-28 22:20 EDT
Washington,New York,231,3,13,0,5.6%,172,0,43.31227113,-73.43096234,2020-05-28 22:20 EDT
Orleans,New York,212,2,33,0,15.6%,70,0,43.252100586000005,-78.23124678499991,2020-05-28 22:20 EDT
Ontario,New York,201,3,9,0,4.5%,47,0,42.85288942,-77.29981098,2020-05-28 22:20 EDT
St. Lawrence,New York,201,1,2,0,1.0%,0,0,44.17727,-76.16771999999997,2020-05-28 22:20 EDT
Fulton,New York,200,2,18,0,9.0%,0,0,43.11240266,-74.43516277,2020-05-28 22:20 EDT
Genesee,New York,197,2,4,0,2.0%,119,0,43.00094016,-78.1936949,2020-05-28 22:20 EDT
Tompkins,New York,156,1,0,0,0.0%,124,0,42.44933495,-76.47064359,2020-05-28 22:20 EDT
Chemung,New York,136,0,1,0,0.7%,10,0,42.1411881,-76.76001059999999,2020-05-28 22:20 EDT
Tioga,New York,131,0,21,0,16.0%,63,0,42.06057,-76.34519,2020-05-28 22:20 EDT
Chenango,New York,126,1,0,0,0.0%,0,0,42.49349443,-75.61153709999998,2020-05-28 22:20 EDT
Livingston,New York,118,0,7,0,5.9%,98,0,42.72808354,-77.77543855,2020-05-28 22:20 EDT
Clinton,New York,112,0,4,0,3.6%,94,0,44.7904,-73.6006,2020-05-28 22:20 EDT
Wayne,New York,112,2,3,0,2.7%,74,0,42.474131,-77.09816,2020-05-28 22:20 EDT
Oswego,New York,107,2,3,0,2.8%,69,0,43.436525700000004,-76.14924403,2020-05-28 22:20 EDT
Herkimer,New York,106,1,3,0,2.8%,0,0,43.0259,-74.98433,2020-05-28 22:20 EDT
Cattaraugus,New York,91,0,0,0,0.0%,0,0,42.2485958350001,-78.678812022,2020-05-28 22:20 EDT
Cayuga,New York,84,4,1,0,1.2%,66,0,42.92145204,-76.54917489,2020-05-28 22:20 EDT
Montgomery,New York,82,0,4,0,4.9%,43,0,42.90229179999999,-74.43960085,2020-05-28 22:20 EDT
