County Name,State Name,Confirmed,New,Death,New Death,Fatality Rate,Recovered,New Recovered,Latitude,Longitude,Last Update
New York,New York,191259,724,19936,36,10.4%,0,0,40.71455,-74.00714,2020-05-12 22:22 EDT
Nassau,New York,38434,97,1991,18,5.2%,3205,0,40.74165225,-73.58899619,2020-05-12 22:22 EDT
Suffolk,New York,37062,151,1654,15,4.5%,3209,0,40.87732808,-72.85898036,2020-05-12 22:22 EDT
Westchester,New York,31472,88,1238,11,3.9%,9371,0,41.16319759,-73.7560629,2020-05-12 22:22 EDT
Rockland,New York,12504,20,580,4,4.6%,0,0,41.152374,-74.02401032,2020-05-12 22:22 EDT
Orange,New York,9887,48,395,7,4.0%,0,0,41.40206825,-74.30559567,2020-05-12 22:22 EDT
Erie,New York,4530,47,357,0,7.9%,479,0,42.76382119,-78.73224973,2020-05-12 22:22 EDT
Dutchess,New York,3399,21,103,5,3.0%,1095,111,41.76477515,-73.74281684,2020-05-12 22:22 EDT
Monroe,New York,1890,40,156,9,8.3%,1026,105,43.14604282,-77.69674911,2020-05-12 22:22 EDT
Ulster,New York,1517,12,60,2,4.0%,646,9,41.95986,-73.99033,2020-05-12 22:22 EDT
Albany,New York,1479,23,61,2,4.1%,837,38,42.65155,-73.75520999999998,2020-05-12 22:22 EDT
Onondaga,New York,1425,96,79,10,5.5%,751,57,43.00487,-76.1836,2020-05-12 22:22 EDT
Putnam,New York,1290,46,7,0,0.5%,0,0,41.42653455,-73.7494999,2020-05-12 22:22 EDT
Sullivan,New York,1109,0,25,0,2.3%,656,0,41.71631354,-74.76811083,2020-05-12 22:22 EDT
Niagara,New York,720,56,44,2,6.1%,356,24,43.19998147,-78.74522262,2020-05-12 22:22 EDT
Oneida,New York,676,7,23,2,3.4%,311,27,43.24306498,-75.42583597,2020-05-12 22:22 EDT
Schenectady,New York,581,6,28,0,4.8%,473,106,42.81238,-73.94122,2020-05-12 22:22 EDT
Rensselaer,New York,439,28,23,0,5.2%,256,110,42.71086263,-73.5097379,2020-05-12 22:22 EDT
Saratoga,New York,407,4,11,0,2.7%,121,0,43.06974,-73.63661,2020-05-12 22:22 EDT
Broome,New York,379,1,23,0,6.1%,257,19,42.16021802,-75.81964586,2020-05-12 22:22 EDT
Columbia,New York,328,8,24,5,7.3%,136,11,42.25001078,-73.63186134,2020-05-12 22:22 EDT
Madison,New York,278,21,7,1,2.5%,220,92,42.91290749,-75.66978904,2020-05-12 22:22 EDT
Steuben,New York,245,0,39,0,15.9%,104,0,42.26782685,-77.38382596,2020-05-12 22:22 EDT
Greene,New York,229,23,14,4,6.1%,138,17,42.27654571,-74.12261588,2020-05-12 22:22 EDT
Warren,New York,221,4,0,0,0.0%,0,0,43.5592099,-73.85881158,2020-05-12 22:22 EDT
Washington,New York,210,0,13,5,6.2%,120,45,43.31227113,-73.43096234,2020-05-12 22:22 EDT
St. Lawrence,New York,194,4,0,0,0.0%,0,0,44.17727,-76.16771999999997,2020-05-12 22:22 EDT
Genesee,New York,174,1,3,0,1.7%,93,5,43.00094016,-78.1936949,2020-05-12 22:22 EDT
Orleans,New York,142,12,20,6,14.1%,42,6,43.252100586000005,-78.23124678499991,2020-05-12 22:22 EDT
Fulton,New York,135,26,0,0,0.0%,0,0,43.11240266,-74.43516277,2020-05-12 22:22 EDT
Tompkins,New York,134,1,0,0,0.0%,114,8,42.44933495,-76.47064359,2020-05-12 22:22 EDT
Chemung,New York,131,0,1,0,0.8%,10,0,42.1411881,-76.76001059999999,2020-05-12 22:22 EDT
Tioga,New York,117,10,20,6,17.1%,43,11,42.06057,-76.34519,2020-05-12 22:22 EDT
Clinton,New York,112,0,4,0,3.6%,94,0,44.7904,-73.6006,2020-05-12 22:22 EDT
Chenango,New York,109,0,0,0,0.0%,0,0,42.49349443,-75.61153709999998,2020-05-12 22:22 EDT
Ontario,New York,107,0,9,0,8.4%,47,0,42.85288942,-77.29981098,2020-05-12 22:22 EDT
Livingston,New York,102,0,7,1,6.9%,71,20,42.72808354,-77.77543855,2020-05-12 22:22 EDT
Wayne,New York,83,2,2,0,2.4%,63,14,42.474131,-77.09816,2020-05-12 22:22 EDT
Herkimer,New York,81,0,3,0,3.7%,0,0,43.0259,-74.98433,2020-05-12 22:22 EDT
Wyoming,New York,77,0,5,0,6.5%,63,12,42.70242659,-78.22443261,2020-05-12 22:22 EDT
