County Name,State Name,Confirmed,New,Death,New Death,Fatality Rate,Recovered,New Recovered,Latitude,Longitude,Last Update
Los Angeles,California,872204,0,11554,0,1.3%,26007,0,34.053490000000004,-118.24532,2021-01-08 19:50 EDT
San Bernardino,California,219536,3142,1486,32,0.7%,194128,1368,34.10524,-117.29412,2021-01-08 19:50 EDT
Riverside,California,204327,0,2189,0,1.1%,133981,0,33.98171,-117.37404,2021-01-08 19:50 EDT
San Diego,California,180512,0,1738,0,1.0%,1138,0,32.71568,-117.16171,2021-01-08 19:50 EDT
Orange,California,177733,0,1972,0,1.1%,106962,0,33.78787,-117.85071,2021-01-08 19:50 EDT
Santa Clara,California,78683,1317,815,16,1.0%,178,0,37.35579,-121.95508999999998,2021-01-08 19:50 EDT
Kern,California,76673,1941,539,16,0.7%,21327,132,35.34281638,-118.7299395,2021-01-08 19:50 EDT
Fresno,California,71404,0,711,0,1.0%,26742,0,36.74084000000001,-119.78552,2021-01-08 19:50 EDT
Sacramento,California,71062,0,955,0,1.3%,56062,0,38.57944000000001,-121.49085,2021-01-08 19:50 EDT
Alameda,California,57040,843,714,17,1.3%,0,0,37.76683,-122.2453,2021-01-08 19:50 EDT
San Joaquin,California,50104,0,696,0,1.4%,43852,0,37.93479557,-121.2713112,2021-01-08 19:50 EDT
Ventura,California,46944,0,313,0,0.7%,39590,0,34.28082,-119.29232,2021-01-08 19:50 EDT
Contra Costa,California,44967,0,371,0,0.8%,38050,0,37.91793732,-121.9259354,2021-01-08 19:50 EDT
Stanislaus,California,37344,0,657,0,1.8%,32947,0,37.55932622,-120.9976619,2021-01-08 19:50 EDT
Tulare,California,36936,722,455,13,1.2%,31395,332,36.20649,-119.34305,2021-01-08 19:50 EDT
Monterey,California,31802,1096,232,3,0.7%,13704,274,36.21714603,-121.2390196,2021-01-08 19:50 EDT
San Mateo,California,27358,341,255,21,0.9%,0,0,37.54704,-122.31485,2021-01-08 19:50 EDT
San Francisco,California,25522,387,218,13,0.9%,520,0,37.77712,-122.41964,2021-01-08 19:50 EDT
Imperial,California,23472,153,446,2,1.9%,21248,151,32.84748,-115.56952,2021-01-08 19:50 EDT
Solano,California,21855,0,102,0,0.5%,19050,0,38.27793363,-121.9272405,2021-01-08 19:50 EDT
Merced,California,21139,0,275,0,1.3%,17723,0,37.19187429,-120.717739,2021-01-08 19:50 EDT
Sonoma,California,20752,251,214,1,1.0%,10707,0,38.29188,-122.45728,2021-01-08 19:50 EDT
Santa Barbara,California,19953,0,185,0,0.9%,17830,0,34.41938,-119.69905,2021-01-08 19:50 EDT
Kings,California,17086,0,110,0,0.6%,10244,0,36.07543071,-119.8153541,2021-01-08 19:50 EDT
Placer,California,15233,0,142,0,0.9%,11597,0,39.05913563,-120.7536328,2021-01-08 19:50 EDT
San Luis Obispo,California,12891,294,101,6,0.8%,9652,220,35.28579000000001,-120.66275,2021-01-08 19:50 EDT
Madera,California,11532,0,126,0,1.1%,8469,0,36.96205,-120.06399,2021-01-08 19:50 EDT
Marin,California,10469,0,143,0,1.4%,9390,0,38.07188727,-122.7195348,2021-01-08 19:50 EDT
Santa Cruz,California,10108,0,104,0,1.0%,7461,0,36.97424,-122.03098,2021-01-08 19:50 EDT
Yolo,California,8970,0,126,0,1.4%,8260,0,38.73431,-121.81279,2021-01-08 19:50 EDT
Shasta,California,8741,0,95,0,1.1%,8028,0,40.59828,-122.49095,2021-01-08 19:50 EDT
Butte,California,8217,121,102,0,1.2%,7124,2,39.66709143,-121.600911,2021-01-08 19:50 EDT
Sutter,California,6921,0,69,0,1.0%,6378,0,39.03467539,-121.6948457,2021-01-08 19:50 EDT
Napa,California,6476,139,35,3,0.5%,2260,30,38.50647693,-122.3306091,2021-01-08 19:50 EDT
El Dorado,California,6461,0,33,0,0.5%,4847,0,38.68217,-120.84683,2021-01-08 19:50 EDT
Lassen,California,4947,35,11,0,0.2%,4483,116,40.68244754,-120.60036909999998,2021-01-08 19:50 EDT
Yuba,California,4383,0,25,0,0.6%,3743,0,39.26918299,-121.3512653,2021-01-08 19:50 EDT
San Benito,California,4127,0,35,0,0.8%,3473,0,36.50506,-121.08332,2021-01-08 19:50 EDT
Tehama,California,3670,31,40,0,1.1%,2198,0,40.12569694,-122.2339153,2021-01-08 19:50 EDT
Tuolumne,California,3158,0,23,0,0.7%,1825,0,38.02764367,-119.9546536,2021-01-08 19:50 EDT
Nevada,California,2854,0,50,0,1.8%,2220,0,39.2616,-121.0161,2021-01-08 19:50 EDT
Mendocino,California,2801,50,31,0,1.1%,2383,0,39.44024063,-123.3912784,2021-01-08 19:50 EDT
Amador,California,2761,18,26,0,0.9%,2319,41,38.44606535,-120.651755,2021-01-08 19:50 EDT
Lake,California,2120,65,26,1,1.2%,1858,35,39.10265343,-122.7508974,2021-01-08 19:50 EDT
Humboldt,California,1998,0,23,0,1.2%,1342,0,40.69879803,-123.8737147,2021-01-08 19:50 EDT
Glenn,California,1580,0,16,0,1.0%,1329,0,39.59827984,-122.392389,2021-01-08 19:50 EDT
Colusa,California,1565,36,9,0,0.6%,541,0,39.17759768,-122.2371023,2021-01-08 19:50 EDT
Siskiyou,California,1280,0,12,0,0.9%,1164,0,41.59256366,-122.5407772,2021-01-08 19:50 EDT
Mono,California,967,27,4,0,0.4%,0,0,37.93749777,-118.8838882,2021-01-08 19:50 EDT
Calaveras,California,898,0,22,0,2.4%,748,0,38.20473567,-120.5540655,2021-01-08 19:50 EDT
Del Norte,California,799,0,2,0,0.3%,732,0,41.74317575,-123.8971107,2021-01-08 19:50 EDT
Inyo,California,746,0,27,0,3.6%,540,0,36.5110603,-117.410592,2021-01-08 19:50 EDT
Plumas,California,533,0,5,0,0.9%,467,0,40.00070236,-120.8334983,2021-01-08 19:50 EDT
Modoc,California,357,4,3,2,0.8%,310,6,41.57651716400005,-120.73684738599995,2021-01-08 19:50 EDT
Mariposa,California,296,0,4,0,1.4%,246,11,37.58147049,-119.9054514,2021-01-08 19:50 EDT
Trinity,California,285,0,4,0,1.4%,268,0,40.65065829,-123.112635,2021-01-08 19:50 EDT
Alpine,California,71,0,0,0,0.0%,66,0,38.59733305,-119.8204213,2021-01-08 19:50 EDT
Sierra,California,63,0,0,0,0.0%,50,2,39.58038432,-120.5160202,2021-01-08 19:50 EDT
Dallas,Texas,209392,0,2151,0,1.0%,82509,0,32.778220000000005,-96.79512,2021-01-08 19:50 EDT
Tarrant,Texas,167732,0,1576,0,0.9%,50328,0,32.8173,-97.07655,2021-01-08 19:50 EDT
Harris--Non Houston,Texas,130025,1125,1120,3,0.9%,107407,983,37.302192,-91.8445815,2021-01-08 19:50 EDT
Bexar,Texas,128079,1170,1799,0,1.4%,47970,0,29.44892069,-98.5200077,2021-01-08 19:50 EDT
Harris--Houston,Texas,126021,1309,1585,5,1.3%,109220,379,29.66648008,-95.22438005,2021-01-08 19:50 EDT
El Paso,Texas,102055,604,1760,0,1.7%,26890,0,31.75916,-106.48749,2021-01-08 19:50 EDT
Travis,Texas,54814,0,565,0,1.0%,30113,0,30.33462266,-97.78218981,2021-01-08 19:50 EDT
Collin,Texas,54623,0,397,0,0.7%,16618,0,33.1968,-96.80393,2021-01-08 19:50 EDT
Hidalgo,Texas,54600,758,2247,10,4.1%,31000,0,26.39702985,-98.18094296,2021-01-08 19:50 EDT
Lubbock,Texas,43729,0,597,0,1.4%,14322,0,33.61019304,-101.8204416,2021-01-08 19:50 EDT
Denton,Texas,42095,0,372,0,0.9%,13135,0,33.216590000000004,-97.13162,2021-01-08 19:50 EDT
Fort Bend,Texas,39322,0,402,0,1.0%,16392,0,29.52745252,-95.77065084,2021-01-08 19:50 EDT
Cameron,Texas,30969,201,1201,3,3.9%,22053,0,26.13597462,-97.52423968,2021-01-08 19:50 EDT
Nueces,Texas,30821,0,571,0,1.9%,24714,0,27.7262373,-97.61348194,2021-01-08 19:50 EDT
Montgomery,Texas,29648,0,278,0,0.9%,8682,0,30.38862,-95.69633,2021-01-08 19:50 EDT
Webb,Texas,27686,0,523,0,1.9%,13786,0,27.7925,-99.4228,2021-01-08 19:50 EDT
Williamson,Texas,26084,0,223,0,0.9%,8993,0,30.64806761,-97.60077209,2021-01-08 19:50 EDT
Galveston,Texas,23176,0,226,0,1.0%,11522,0,29.29532,-94.80791,2021-01-08 19:50 EDT
Brazoria,Texas,22947,0,250,0,1.1%,11367,0,29.04971,-95.562,2021-01-08 19:50 EDT
McLennan,Texas,20303,0,300,0,1.5%,9101,0,31.55234029,-97.20180587,2021-01-08 19:50 EDT
Potter,Texas,15642,60,316,3,2.0%,5042,0,35.40127385,-101.8939736,2021-01-08 19:50 EDT
Brazos,Texas,15320,19,142,0,0.9%,6883,0,30.66048584,-96.30207301,2021-01-08 19:50 EDT
Bell,Texas,14785,0,179,0,1.2%,5600,0,31.03765881,-97.47807382,2021-01-08 19:50 EDT
Randall,Texas,14693,108,209,2,1.4%,3204,0,34.96596461,-101.896888,2021-01-08 19:50 EDT
Ellis,Texas,14578,0,180,0,1.2%,4149,0,32.34839289,-96.79460418,2021-01-08 19:50 EDT
Jefferson,Texas,14528,0,233,0,1.6%,7307,0,29.88366401,-94.16922753,2021-01-08 19:50 EDT
Tom Green,Texas,13735,0,228,0,1.7%,13140,0,31.40442601,-100.4619795,2021-01-08 19:50 EDT
Smith,Texas,13545,0,280,0,2.1%,3442,0,32.37505601,-95.26910259,2021-01-08 19:50 EDT
Hays,Texas,12717,0,137,0,1.1%,5691,0,30.1227,-97.8722,2021-01-08 19:50 EDT
Midland,Texas,12421,0,193,0,1.6%,3914,0,31.86932499,-102.0314523,2021-01-08 19:50 EDT
Johnson,Texas,12350,0,174,0,1.4%,3443,0,32.37899029,-97.36641179,2021-01-08 19:50 EDT
Wichita,Texas,12169,0,231,0,1.9%,2219,0,33.98410156,-98.70169462,2021-01-08 19:50 EDT
Taylor,Texas,11641,0,214,0,1.8%,1510,0,32.30139883,-99.8899813,2021-01-08 19:50 EDT
Ector,Texas,11543,0,238,0,2.1%,3406,0,31.86911555,-102.5428458,2021-01-08 19:50 EDT
Kaufman,Texas,10300,0,134,0,1.3%,3376,0,32.60298369,-96.28946607,2021-01-08 19:50 EDT
Parker,Texas,9736,0,99,0,1.0%,2255,0,32.77771907,-97.80511717,2021-01-08 19:50 EDT
Guadalupe,Texas,8031,0,112,0,1.4%,1822,0,29.58309666,-97.94865645,2021-01-08 19:50 EDT
Grayson,Texas,7628,0,187,0,2.5%,2247,0,33.61833228,-96.67387872,2021-01-08 19:50 EDT
Rockwall,Texas,7300,0,59,0,0.8%,1766,0,32.89767022,-96.4078414,2021-01-08 19:50 EDT
Gregg,Texas,7299,0,181,0,2.5%,2097,0,32.48062462,-94.81699103,2021-01-08 19:50 EDT
Maverick,Texas,6924,0,200,0,2.9%,3649,0,28.74301122,-100.3142594,2021-01-08 19:50 EDT
Comal,Texas,6781,85,186,6,2.7%,1850,0,29.80818438,-98.2781952,2021-01-08 19:50 EDT
Starr,Texas,6689,0,209,0,3.1%,3291,0,26.56239356,-98.7374609,2021-01-08 19:50 EDT
Walker,Texas,6395,0,90,0,1.4%,3824,0,30.73898292,-95.57222968,2021-01-08 19:50 EDT
Victoria,Texas,6144,0,124,0,2.0%,4090,0,28.79640375,-96.97175516,2021-01-08 19:50 EDT
Angelina,Texas,5836,0,157,0,2.7%,2112,0,31.25730151,-94.63261756,2021-01-08 19:50 EDT
Orange,Texas,5510,0,75,0,1.4%,1706,0,30.1280798,-93.89665964,2021-01-08 19:50 EDT
Hale,Texas,5425,0,131,0,2.4%,2039,0,34.07052809,-101.8268085,2021-01-08 19:50 EDT
Anderson,Texas,5419,0,68,0,1.3%,2830,0,31.81320101,-95.65250749,2021-01-08 19:50 EDT
Val Verde,Texas,5278,0,155,0,2.9%,2157,0,26.17619,-98.08112,2021-01-08 19:50 EDT
Wise,Texas,4786,0,74,0,1.5%,855,0,33.21586139,-97.65438192,2021-01-08 19:50 EDT
Lamar,Texas,4568,70,102,0,2.2%,1472,0,33.66742106,-95.57087079,2021-01-08 19:50 EDT
Liberty,Texas,4499,0,100,0,2.2%,2226,0,30.15168965,-94.81217381,2021-01-08 19:50 EDT
Navarro,Texas,4410,0,68,0,1.5%,902,0,32.0498125,-96.48283409,2021-01-08 19:50 EDT
Hood,Texas,4400,0,75,0,1.7%,1116,0,32.42998661,-97.83217761,2021-01-08 19:50 EDT
Bowie,Texas,4274,0,128,0,3.0%,1231,0,33.559,-97.8486,2021-01-08 19:50 EDT
Bastrop,Texas,4049,0,48,0,1.2%,1854,0,30.10364375,-97.31201151,2021-01-08 19:50 EDT
Howard,Texas,4021,0,68,0,1.7%,899,0,32.30610786,-101.4354618,2021-01-08 19:50 EDT
Henderson,Texas,3897,0,84,0,2.2%,828,0,32.20986317,-95.84344062,2021-01-08 19:50 EDT
Hunt,Texas,3874,0,90,0,2.3%,1696,0,33.13330985,-96.08803634,2021-01-08 19:50 EDT
Coryell,Texas,3760,0,34,0,0.9%,1858,0,31.39084072,-97.79914193,2021-01-08 19:50 EDT
Hardin,Texas,3594,0,56,0,1.6%,1244,0,30.33236369,-94.39028561,2021-01-08 19:50 EDT
Atascosa,Texas,3346,0,71,0,2.1%,537,0,28.89353491,-98.52710951,2021-01-08 19:50 EDT
Cherokee,Texas,3258,0,82,0,2.5%,1188,0,31.83697709,-95.16516716,2021-01-08 19:50 EDT
Nacogdoches,Texas,3227,0,101,0,3.1%,1615,0,31.62343014,-94.62108091,2021-01-08 19:50 EDT
