County Name,State Name,Confirmed,New,Death,New Death,Fatality Rate,Latitude,Longitude,Last Update
Middlesex,New Jersey,2125,359,56,56,2.6%,40.57936,-74.50067,2020-04-03 21:59 EDT
Monmouth,New Jersey,1743,285,48,48,2.8%,40.2600411,-74.22194634,2020-04-03 21:59 EDT
Ocean,New Jersey,1685,314,45,45,2.7%,39.90927434,-74.2969653,2020-04-03 21:59 EDT
Morris,New Jersey,1298,216,43,43,3.3%,40.86201902,-74.5442741,2020-04-03 21:59 EDT
Somerset,New Jersey,641,92,23,23,3.6%,40.49859,-74.52249,2020-04-03 21:59 EDT
Mercer,New Jersey,484,98,5,5,1.0%,40.28331911,-74.70157374,2020-04-03 21:59 EDT
Camden,New Jersey,406,63,7,7,1.7%,39.94525,-75.11913,2020-04-03 21:59 EDT
Burlington,New Jersey,367,73,9,9,2.5%,40.07687,-74.85775,2020-04-03 21:59 EDT
Sussex,New Jersey,210,31,8,8,3.8%,41.13934496,-74.69067762,2020-04-03 21:59 EDT
Gloucester,New Jersey,183,14,3,3,1.6%,39.71720107,-75.14164366,2020-04-03 21:59 EDT
Warren,New Jersey,149,33,3,3,2.0%,40.85732358,-74.997063,2020-04-03 21:59 EDT
Hunterdon,New Jersey,148,0,0,0,0.0%,40.56725317,-74.91217921,2020-04-03 21:59 EDT
Atlantic,New Jersey,72,2,1,1,1.4%,39.4806564,-74.67264306,2020-04-03 21:59 EDT
Cape May,New Jersey,44,0,0,0,0.0%,38.93547,-74.92137,2020-04-03 21:59 EDT
Cumberland,New Jersey,36,0,1,1,2.8%,39.37311491,-75.11061925,2020-04-03 21:59 EDT
Salem,New Jersey,25,0,2,2,8.0%,39.57661332,-75.35810746,2020-04-03 21:59 EDT
Wayne--Detroit,Michigan,3550,692,117,117,3.3%,42.2305400000001,-83.3429999999999,2020-04-03 21:59 EDT
Wayne,Michigan,2546,335,106,106,4.2%,42.28515,-83.3836,2020-04-03 21:59 EDT
Oakland,Michigan,2540,357,136,136,5.4%,42.74214,-83.16174000000002,2020-04-03 21:59 EDT
Macomb,Michigan,1560,228,65,65,4.2%,42.69565,-82.92171,2020-04-03 21:59 EDT
Washtenaw,Michigan,477,39,8,8,1.7%,42.25322942,-83.83877634,2020-04-03 21:59 EDT
Genesee,Michigan,422,73,11,11,2.6%,43.0217016,-83.70675478,2020-04-03 21:59 EDT
Other,Michigan,187,21,1,1,0.5%,43.8466995,-85.98375,2020-04-03 21:59 EDT
Ingham,Michigan,152,24,1,1,0.7%,42.59709245,-84.37353421,2020-04-03 21:59 EDT
Kent,Michigan,136,11,2,2,1.5%,43.03216204,-85.54929822,2020-04-03 21:59 EDT
Livingston,Michigan,121,8,2,2,1.7%,42.60291818,-83.91152404,2020-04-03 21:59 EDT
Monroe,Michigan,95,16,0,0,0.0%,41.916059999999995,-83.3979,2020-04-03 21:59 EDT
Saginaw,Michigan,90,8,0,0,0.0%,43.33502489,-84.05317757,2020-04-03 21:59 EDT
Out of State,Michigan,74,26,1,1,1.4%,42.89788595,-86.21104527,2020-04-03 21:59 EDT
Jackson,Michigan,69,2,3,3,4.3%,42.24848235,-84.42344983,2020-04-03 21:59 EDT
St. Clair,Michigan,66,13,0,0,0.0%,42.83189,-82.50220999999998,2020-04-03 21:59 EDT
Berrien,Michigan,52,12,1,1,1.9%,41.95468698,-86.41222292,2020-04-03 21:59 EDT
Clinton,Michigan,49,6,1,1,2.0%,42.94365426,-84.60151416,2020-04-03 21:59 EDT
Eaton,Michigan,47,10,2,2,4.3%,42.59607493,-84.83832067,2020-04-03 21:59 EDT
Kalamazoo,Michigan,40,6,1,1,2.5%,42.24543721,-85.53116967,2020-04-03 21:59 EDT
Ottawa,Michigan,37,2,0,0,0.0%,42.96071229,-85.99516567,2020-04-03 21:59 EDT
Calhoun,Michigan,31,6,1,1,3.2%,42.24653649,-85.00558363,2020-04-03 21:59 EDT
Muskegon,Michigan,30,4,2,2,6.7%,43.29120706,-86.15200005,2020-04-03 21:59 EDT
Hillsdale,Michigan,26,2,2,2,7.7%,41.88776412,-84.59292627,2020-04-03 21:59 EDT
Lenawee,Michigan,24,0,0,0,0.0%,41.8950816170001,-84.06637217799991,2020-04-03 21:59 EDT
Lapeer,Michigan,22,1,0,0,0.0%,43.09013207,-83.22178574,2020-04-03 21:59 EDT
Otsego,Michigan,20,1,0,0,0.0%,45.0992,-84.6482,2020-04-03 21:59 EDT
Bay,Michigan,18,2,0,0,0.0%,43.70732889,-83.99203709,2020-04-03 21:59 EDT
