County Name,State Name,Confirmed,New,Death,New Death,Fatality Rate,Recovered,New Recovered,Latitude,Longitude,Last Update
Los Angeles,California,302102,1440,7027,27,2.3%,12285,0,34.053490000000004,-118.24531999999999,2020-10-27 22:20 EDT
Riverside,California,66993,1236,1303,0,1.9%,59909,1057,33.98171,-117.37404,2020-10-27 22:20 EDT
San Bernardino,California,63367,593,1073,1,1.7%,59796,339,34.10524,-117.29411999999999,2020-10-27 22:20 EDT
Orange,California,58980,255,1454,7,2.5%,52643,241,33.78787,-117.85071,2020-10-27 22:20 EDT
San Diego,California,55210,627,877,7,1.6%,1138,0,32.71568,-117.16171000000001,2020-10-27 22:20 EDT
Kern,California,34027,99,420,4,1.2%,17275,97,35.34281638,-118.7299395,2020-10-27 22:20 EDT
Fresno,California,30969,238,439,3,1.4%,20335,225,36.74084000000001,-119.78551999999999,2020-10-27 22:20 EDT
Sacramento,California,25750,149,496,5,1.9%,23311,0,38.57944000000001,-121.49085,2020-10-27 22:20 EDT
Santa Clara,California,24425,281,392,4,1.6%,178,0,37.35579,-121.95508999999998,2020-10-27 22:20 EDT
Alameda,California,23471,159,462,1,2.0%,0,0,37.76683,-122.2453,2020-10-27 22:20 EDT
San Joaquin,California,21906,177,490,1,2.2%,20537,64,37.93479557,-121.2713112,2020-10-27 22:20 EDT
Contra Costa,California,18817,54,243,1,1.3%,17879,82,37.91793732,-121.9259354,2020-10-27 22:20 EDT
Stanislaus,California,17714,85,398,2,2.2%,16999,89,37.55932622,-120.9976619,2020-10-27 22:20 EDT
Tulare,California,17678,88,288,0,1.6%,16808,62,36.20649,-119.34305,2020-10-27 22:20 EDT
Ventura,California,14187,167,165,1,1.2%,13493,195,34.28082,-119.29231999999999,2020-10-27 22:20 EDT
Imperial,California,12967,85,336,0,2.6%,12137,33,32.84748,-115.56952,2020-10-27 22:20 EDT
San Francisco,California,12189,37,140,0,1.1%,520,0,37.777120000000004,-122.41963999999999,2020-10-27 22:20 EDT
Monterey,California,11472,53,91,0,0.8%,8817,70,36.21714603,-121.2390196,2020-10-27 22:20 EDT
San Mateo,California,11198,49,159,0,1.4%,0,0,37.54704,-122.31485,2020-10-27 22:20 EDT
Santa Barbara,California,9863,103,126,6,1.3%,9596,85,34.41938,-119.69905,2020-10-27 22:20 EDT
Merced,California,9572,107,155,0,1.6%,9088,115,37.19187429,-120.717739,2020-10-27 22:20 EDT
Sonoma,California,9402,90,136,0,1.4%,7770,0,38.29188,-122.45728000000001,2020-10-27 22:20 EDT
Kings,California,8370,131,83,0,1.0%,6902,21,36.07543071,-119.8153541,2020-10-27 22:20 EDT
Solano,California,7445,159,76,2,1.0%,7070,181,38.27793363,-121.9272405,2020-10-27 22:20 EDT
Marin,California,7096,7,129,1,1.8%,6982,0,38.07188727,-122.7195348,2020-10-27 22:20 EDT
Madera,California,5037,56,74,0,1.5%,4645,48,36.96205,-120.06398999999999,2020-10-27 22:20 EDT
Placer,California,4207,29,57,0,1.4%,3764,16,39.05913563,-120.75363279999999,2020-10-27 22:20 EDT
San Luis Obispo,California,4191,17,32,0,0.8%,4003,15,35.28579000000001,-120.66275,2020-10-27 22:20 EDT
Yolo,California,3219,28,59,0,1.8%,42,0,38.73431,-121.81278999999999,2020-10-27 22:20 EDT
Butte,California,3105,58,52,0,1.7%,2958,26,39.66709143,-121.60091100000001,2020-10-27 22:20 EDT
Santa Cruz,California,2821,13,25,0,0.9%,2589,13,36.97424,-122.03098,2020-10-27 22:20 EDT
Napa,California,1975,14,15,0,0.8%,1706,0,38.50647693,-122.3306091,2020-10-27 22:20 EDT
Shasta,California,1954,115,31,1,1.6%,1814,156,40.598279999999995,-122.49095,2020-10-27 22:20 EDT
Sutter,California,1878,24,12,0,0.6%,1809,6,39.03467539,-121.69484569999999,2020-10-27 22:20 EDT
San Benito,California,1442,5,15,0,1.0%,1405,4,36.50506,-121.08332,2020-10-27 22:20 EDT
El Dorado,California,1361,46,4,0,0.3%,1252,18,38.68217,-120.84683000000001,2020-10-27 22:20 EDT
Yuba,California,1334,19,10,0,0.7%,1275,5,39.26918299,-121.3512653,2020-10-27 22:20 EDT
Mendocino,California,1136,7,21,0,1.8%,1070,5,39.44024063,-123.3912784,2020-10-27 22:20 EDT
