County Name,State Name,Confirmed,New,Death,New Death,Fatality Rate,Latitude,Longitude,Last Update
New York,New York,76876,0,4009,4009,5.2%,40.71455,-74.00714,2020-04-08 10:37 EDT
Nassau,New York,16610,0,500,500,3.0%,40.74165225,-73.58899619,2020-04-08 10:37 EDT
Suffolk,New York,15561,0,263,263,1.7%,40.87732808,-72.85898036,2020-04-08 10:37 EDT
Westchester,New York,14804,0,283,283,1.9%,41.16319759,-73.7560629,2020-04-08 10:37 EDT
Rockland,New York,5990,0,135,135,2.3%,41.152374,-74.02401032,2020-04-08 10:37 EDT
Orange,New York,3829,0,93,93,2.4%,41.40206825,-74.30559567,2020-04-08 10:37 EDT
Dutchess,New York,1249,0,9,9,0.7%,41.76477515,-73.74281684,2020-04-08 10:37 EDT
Erie,New York,1235,0,39,39,3.2%,42.76382119,-78.73224973,2020-04-08 10:37 EDT
Monroe,New York,596,0,31,31,5.2%,43.14604282,-77.69674911,2020-04-08 10:37 EDT
Putnam,New York,402,0,7,7,1.7%,41.42653455,-73.7494999,2020-04-08 10:37 EDT
Ulster,New York,398,0,5,5,1.3%,41.95986,-73.99033,2020-04-08 10:37 EDT
Onondaga,New York,397,0,6,6,1.5%,43.004870000000004,-76.1836,2020-04-08 10:37 EDT
Albany,New York,333,0,8,8,2.4%,42.65155,-73.75520999999998,2020-04-08 10:37 EDT
Sullivan,New York,270,0,7,7,2.6%,41.71631354,-74.76811083,2020-04-08 10:37 EDT
Saratoga,New York,155,0,4,4,2.6%,43.06974,-73.63661,2020-04-08 10:37 EDT
Schenectady,New York,145,0,7,7,4.8%,42.81238,-73.94122,2020-04-08 10:37 EDT
Niagara,New York,126,0,1,1,0.8%,43.19998147,-78.74522262,2020-04-08 10:37 EDT
Oneida,New York,118,0,2,2,1.7%,43.24306498,-75.42583597,2020-04-08 10:37 EDT
Tompkins,New York,103,0,0,0,0.0%,42.44933495,-76.47064359,2020-04-08 10:37 EDT
Madison,New York,92,0,2,2,2.2%,42.91290749,-75.66978904,2020-04-08 10:37 EDT
Rensselaer,New York,88,0,3,3,3.4%,42.71086263,-73.5097379,2020-04-08 10:37 EDT
Broome,New York,86,0,6,6,7.0%,42.16021802,-75.81964586,2020-04-08 10:37 EDT
Steuben,New York,75,0,5,5,6.7%,42.26782685,-77.38382596,2020-04-08 10:37 EDT
Columbia,New York,72,0,4,4,5.6%,42.25001078,-73.63186134,2020-04-08 10:37 EDT
St. Lawrence,New York,61,0,0,0,0.0%,44.17727,-76.16771999999997,2020-04-08 10:37 EDT
Chenango,New York,51,0,0,0,0.0%,42.49349443,-75.61153709999998,2020-04-08 10:37 EDT
Chemung,New York,49,0,0,0,0.0%,42.1411881,-76.76001059999999,2020-04-08 10:37 EDT
Jefferson,New York,39,0,0,0,0.0%,44.04103424,-75.91225529,2020-04-08 10:37 EDT
Clinton,New York,37,0,0,0,0.0%,44.7904,-73.6006,2020-04-08 10:37 EDT
Delaware,New York,36,0,1,1,2.8%,42.19804334,-74.96635196,2020-04-08 10:37 EDT
Wayne,New York,35,0,0,0,0.0%,42.474131,-77.09816,2020-04-08 10:37 EDT
Otsego,New York,34,0,1,1,2.9%,42.63373751,-75.03256231,2020-04-08 10:37 EDT
Oswego,New York,34,0,2,2,5.9%,43.436525700000004,-76.14924403,2020-04-08 10:37 EDT
Genesee,New York,33,0,1,1,3.0%,43.00094016,-78.1936949,2020-04-08 10:37 EDT
Ontario,New York,33,0,0,0,0.0%,42.85288942,-77.29981098,2020-04-08 10:37 EDT
Warren,New York,31,0,0,0,0.0%,43.5592099,-73.85881158,2020-04-08 10:37 EDT
Herkimer,New York,27,0,3,3,11.1%,43.0259,-74.98433,2020-04-08 10:37 EDT
Livingston,New York,24,0,2,2,8.3%,42.72808354,-77.77543855,2020-04-08 10:37 EDT
Greene,New York,24,0,0,0,0.0%,42.27654571,-74.12261588,2020-04-08 10:37 EDT
Wyoming,New York,23,0,1,1,4.3%,42.70242659,-78.22443261,2020-04-08 10:37 EDT
Washington,New York,19,0,1,1,5.3%,43.31227113,-73.43096234,2020-04-08 10:37 EDT
Chautauqua,New York,18,0,2,2,11.1%,42.22826274,-79.36643298,2020-04-08 10:37 EDT
Montgomery,New York,18,0,1,1,5.6%,42.90229179999999,-74.43960085,2020-04-08 10:37 EDT
Allegany,New York,17,0,1,1,5.9%,42.25739788,-78.02755444,2020-04-08 10:37 EDT
Cortland,New York,16,0,0,0,0.0%,42.59500111,-76.07023743,2020-04-08 10:37 EDT
Orleans,New York,15,0,0,0,0.0%,43.252100586000005,-78.23124678499991,2020-04-08 10:37 EDT
Cayuga,New York,14,0,0,0,0.0%,42.92145204,-76.54917489,2020-04-08 10:37 EDT
Cattaraugus,New York,13,0,0,0,0.0%,42.2485958350001,-78.678812022,2020-04-08 10:37 EDT
Fulton,New York,13,0,0,0,0.0%,43.11240266,-74.43516277,2020-04-08 10:37 EDT
Schoharie,New York,12,0,0,0,0.0%,42.58820746,-74.44213588,2020-04-08 10:37 EDT
Franklin,New York,10,0,0,0,0.0%,44.592675381999996,-74.3034218499999,2020-04-08 10:37 EDT
Seneca,New York,10,0,0,0,0.0%,42.790068356999996,-76.822922724,2020-04-08 10:37 EDT
Essex,New York,9,0,0,0,0.0%,44.10755697,-73.79125847,2020-04-08 10:37 EDT
Tioga,New York,8,0,0,0,0.0%,42.06057,-76.34519,2020-04-08 10:37 EDT
Lewis,New York,6,0,0,0,0.0%,43.78473386600009,-75.448706117,2020-04-08 10:37 EDT
