County Name,State Name,Confirmed,New,Death,New Death,Fatality Rate,Recovered,New Recovered,Latitude,Longitude,Last Update
Los Angeles,California,401448,0,7656,0,1.9%,14378,0,34.053490000000004,-118.24532,2020-12-01 16:03 EDT
San Bernardino,California,93671,0,1129,0,1.2%,84922,0,34.10524,-117.29412,2020-12-01 16:03 EDT
Riverside,California,84412,0,1442,0,1.7%,67305,0,33.98171,-117.37404,2020-12-01 16:03 EDT
San Diego,California,82043,0,997,0,1.2%,1138,0,32.71568,-117.16171,2020-12-01 16:03 EDT
Orange,California,78553,0,1577,0,2.0%,59783,0,33.78787,-117.85071,2020-12-01 16:03 EDT
Kern,California,41957,0,448,0,1.1%,18396,0,35.34281638,-118.7299395,2020-12-01 16:03 EDT
Fresno,California,38568,0,481,0,1.2%,23365,0,36.74084000000001,-119.78552,2020-12-01 16:03 EDT
Sacramento,California,37884,0,581,0,1.5%,29132,0,38.57944000000001,-121.49085,2020-12-01 16:03 EDT
Santa Clara,California,35085,0,476,0,1.4%,178,0,37.35579,-121.95508999999998,2020-12-01 16:03 EDT
Alameda,California,29668,0,512,0,1.7%,0,0,37.76683,-122.2453,2020-12-01 16:03 EDT
San Joaquin,California,25920,0,509,0,2.0%,23800,0,37.93479557,-121.2713112,2020-12-01 16:03 EDT
Contra Costa,California,24475,0,261,0,1.1%,21695,0,37.91793732,-121.9259354,2020-12-01 16:03 EDT
Stanislaus,California,22162,0,426,0,1.9%,19783,0,37.55932622,-120.9976619,2020-12-01 16:03 EDT
Tulare,California,20913,0,312,0,1.5%,19013,0,36.20649,-119.34305,2020-12-01 16:03 EDT
Ventura,California,20066,0,183,0,0.9%,16343,0,34.28082,-119.29232,2020-12-01 16:03 EDT
Imperial,California,16272,0,356,0,2.2%,14775,0,32.84748,-115.56952,2020-12-01 16:03 EDT
San Francisco,California,15639,117,160,0,1.0%,520,0,37.77712,-122.41964,2020-12-01 16:03 EDT
Monterey,California,15189,0,122,0,0.8%,11000,0,36.21714603,-121.2390196,2020-12-01 16:03 EDT
San Mateo,California,14614,156,170,0,1.2%,0,0,37.54704,-122.31485,2020-12-01 16:03 EDT
Sonoma,California,12319,121,157,0,1.3%,10010,0,38.29188,-122.45728,2020-12-01 16:03 EDT
Merced,California,12175,0,181,0,1.5%,10310,0,37.19187429,-120.717739,2020-12-01 16:03 EDT
