County Name,State Name,Confirmed,New,Death,New Death,Fatality Rate,Recovered,New Recovered,Latitude,Longitude,Last Update
Los Angeles,California,311844,1238,7097,21,2.3%,12625,56,34.053490000000004,-118.24531999999999,2020-11-03 19:50 EDT
Riverside,California,69407,487,1324,2,1.9%,61730,309,33.98171,-117.37404,2020-11-03 19:50 EDT
San Bernardino,California,65997,666,1079,0,1.6%,62278,407,34.10524,-117.29411999999999,2020-11-03 19:50 EDT
Orange,California,60604,306,1484,0,2.4%,53934,244,33.78787,-117.85071,2020-11-03 19:50 EDT
San Diego,California,57409,0,891,0,1.6%,1138,0,32.71568,-117.16171000000001,2020-11-03 19:50 EDT
Kern,California,34676,113,425,1,1.2%,17474,36,35.34281638,-118.7299395,2020-11-03 19:50 EDT
Fresno,California,31613,0,443,0,1.4%,20692,0,36.74084000000001,-119.78551999999999,2020-11-03 19:50 EDT
Sacramento,California,26884,168,504,2,1.9%,23930,0,38.57944000000001,-121.49085,2020-11-03 19:50 EDT
Santa Clara,California,25277,0,409,0,1.6%,178,0,37.35579,-121.95508999999998,2020-11-03 19:50 EDT
Alameda,California,24095,0,464,0,1.9%,0,0,37.76683,-122.2453,2020-11-03 19:50 EDT
San Joaquin,California,22365,198,494,0,2.2%,20934,65,37.93479557,-121.2713112,2020-11-03 19:50 EDT
Contra Costa,California,19408,71,247,0,1.3%,18310,83,37.91793732,-121.9259354,2020-11-03 19:50 EDT
Tulare,California,18053,106,295,0,1.6%,17181,88,36.20649,-119.34305,2020-11-03 19:50 EDT
Stanislaus,California,18027,0,402,0,2.2%,17227,0,37.55932622,-120.9976619,2020-11-03 19:50 EDT
Ventura,California,14631,41,167,0,1.1%,13907,55,34.28082,-119.29231999999999,2020-11-03 19:50 EDT
Imperial,California,13260,62,338,0,2.5%,12501,76,32.84748,-115.56952,2020-11-03 19:50 EDT
San Francisco,California,12554,46,149,1,1.2%,520,0,37.777120000000004,-122.41963999999999,2020-11-03 19:50 EDT
Monterey,California,11906,104,97,1,0.8%,9129,95,36.21714603,-121.2390196,2020-11-03 19:50 EDT
San Mateo,California,11479,28,161,0,1.4%,0,0,37.54704,-122.31485,2020-11-03 19:50 EDT
Santa Barbara,California,9992,0,129,0,1.3%,9760,0,34.41938,-119.69905,2020-11-03 19:50 EDT
Sonoma,California,9866,77,142,6,1.4%,8211,0,38.29188,-122.45728000000001,2020-11-03 19:50 EDT
Merced,California,9779,0,158,0,1.6%,9189,0,37.19187429,-120.717739,2020-11-03 19:50 EDT
Kings,California,8673,123,84,0,1.0%,7193,21,36.07543071,-119.8153541,2020-11-03 19:50 EDT
Solano,California,7801,0,76,0,1.0%,7306,0,38.27793363,-121.9272405,2020-11-03 19:50 EDT
Marin,California,7167,0,129,0,1.8%,6982,0,38.07188727,-122.7195348,2020-11-03 19:50 EDT
Madera,California,5141,0,76,0,1.5%,1,0,36.96205,-120.06398999999999,2020-11-03 19:50 EDT
Placer,California,4527,60,60,1,1.3%,3955,42,39.05913563,-120.75363279999999,2020-11-03 19:50 EDT
San Luis Obispo,California,4380,38,33,0,0.8%,4139,16,35.28579000000001,-120.66275,2020-11-03 19:50 EDT
Yolo,California,3320,0,61,0,1.8%,42,0,38.73431,-121.81278999999999,2020-11-03 19:50 EDT
Butte,California,3186,0,54,0,1.7%,3000,0,39.66709143,-121.60091100000001,2020-11-03 19:50 EDT
Santa Cruz,California,2974,22,26,0,0.9%,2687,16,36.97424,-122.03098,2020-11-03 19:50 EDT
Shasta,California,2179,133,32,1,1.5%,2013,109,40.598279999999995,-122.49095,2020-11-03 19:50 EDT
Napa,California,2108,33,15,0,0.7%,1814,0,38.50647693,-122.3306091,2020-11-03 19:50 EDT
Sutter,California,1938,0,12,0,0.6%,1852,0,39.03467539,-121.69484569999999,2020-11-03 19:50 EDT
San Benito,California,1477,0,15,0,1.0%,1428,0,36.50506,-121.08332,2020-11-03 19:50 EDT
El Dorado,California,1429,0,4,0,0.3%,1276,0,38.68217,-120.84683000000001,2020-11-03 19:50 EDT
Yuba,California,1383,0,10,0,0.7%,1305,0,39.26918299,-121.3512653,2020-11-03 19:50 EDT
Mendocino,California,1179,3,21,0,1.8%,1107,0,39.44024063,-123.3912784,2020-11-03 19:50 EDT
Tehama,California,971,42,15,1,1.5%,873,62,40.12569694,-122.23391529999999,2020-11-03 19:50 EDT
Lassen,California,777,6,1,0,0.1%,754,3,40.68244754,-120.60036909999998,2020-11-03 19:50 EDT
Lake,California,734,3,18,0,2.5%,641,2,39.10265343,-122.75089740000001,2020-11-03 19:50 EDT
Glenn,California,707,5,3,0,0.4%,677,5,39.59827984,-122.392389,2020-11-03 19:50 EDT
Nevada,California,664,0,9,0,1.4%,596,0,39.2616,-121.0161,2020-11-03 19:50 EDT
Humboldt,California,579,0,10,0,1.7%,554,0,40.69879803,-123.87371470000001,2020-11-03 19:50 EDT
Colusa,California,572,0,6,0,1.0%,541,0,39.17759768,-122.2371023,2020-11-03 19:50 EDT
Calaveras,California,354,0,21,0,5.9%,322,0,38.20473567,-120.55406550000001,2020-11-03 19:50 EDT
Amador,California,323,0,15,0,4.6%,272,0,38.44606535,-120.65175500000001,2020-11-03 19:50 EDT
Tuolumne,California,306,0,6,0,2.0%,255,0,38.02764367,-119.95465359999999,2020-11-03 19:50 EDT
Siskiyou,California,268,0,1,0,0.4%,212,0,41.59256366,-122.54077720000001,2020-11-03 19:50 EDT
Inyo,California,243,0,15,0,6.2%,205,0,36.5110603,-117.410592,2020-11-03 19:50 EDT
Mono,California,236,0,2,0,0.8%,0,0,37.93749777,-118.8838882,2020-11-03 19:50 EDT
Del Norte,California,193,0,1,0,0.5%,179,0,41.74317575,-123.89711070000001,2020-11-03 19:50 EDT
Plumas,California,86,0,0,0,0.0%,69,0,40.00070236,-120.8334983,2020-11-03 19:50 EDT
Mariposa,California,81,0,2,0,2.5%,77,0,37.58147049,-119.90545139999999,2020-11-03 19:50 EDT
Modoc,California,52,1,0,0,0.0%,37,3,41.57651716400005,-120.73684738599995,2020-11-03 19:50 EDT
Trinity,California,35,0,0,0,0.0%,28,0,40.65065829,-123.11263500000001,2020-11-03 19:50 EDT
Alpine,California,16,0,0,0,0.0%,6,0,38.59733305,-119.82042129999999,2020-11-03 19:50 EDT
Sierra,California,6,0,0,0,0.0%,6,0,39.58038432,-120.5160202,2020-11-03 19:50 EDT
Dallas,Texas,97875,477,1277,8,1.3%,82509,0,32.778220000000005,-96.79512,2020-11-03 19:50 EDT
Harris--Houston,Texas,85548,269,1347,5,1.6%,62108,80,29.66648008,-95.22438005,2020-11-03 19:50 EDT
Harris--Non Houston,Texas,78297,289,930,9,1.2%,72065,199,37.302192,-91.84458149999999,2020-11-03 19:50 EDT
Bexar,Texas,66231,0,1415,1,2.1%,47970,0,29.44892069,-98.52000770000001,2020-11-03 19:50 EDT
Tarrant,Texas,61882,446,842,6,1.4%,50328,0,32.8173,-97.07655,2020-11-03 19:50 EDT
El Paso,Texas,52817,1281,649,5,1.2%,26890,0,31.759159999999998,-106.48749,2020-11-03 19:50 EDT
Hidalgo,Texas,35945,160,1726,5,4.8%,31000,0,26.39702985,-98.18094296,2020-11-03 19:50 EDT
Travis,Texas,32303,83,451,3,1.4%,30113,0,30.33462266,-97.78218981,2020-11-03 19:50 EDT
Cameron,Texas,24380,100,984,2,4.0%,22053,0,26.13597462,-97.52423968,2020-11-03 19:50 EDT
Nueces,Texas,21432,0,449,0,2.1%,20539,0,27.7262373,-97.61348194,2020-11-03 19:50 EDT
Lubbock,Texas,20328,577,201,7,1.0%,14322,0,33.61019304,-101.8204416,2020-11-03 19:50 EDT
Collin,Texas,18905,61,190,1,1.0%,16618,0,33.1968,-96.80393000000001,2020-11-03 19:50 EDT
Fort Bend,Texas,17763,28,311,0,1.8%,16392,0,29.52745252,-95.77065084,2020-11-03 19:50 EDT
Webb,Texas,15502,25,344,1,2.2%,13786,0,27.7925,-99.4228,2020-11-03 19:50 EDT
Denton,Texas,15139,161,178,1,1.2%,13135,0,33.216590000000004,-97.13162,2020-11-03 19:50 EDT
Montgomery,Texas,13478,83,183,0,1.4%,8682,0,30.38862,-95.69633,2020-11-03 19:50 EDT
Galveston,Texas,12787,84,169,0,1.3%,11522,0,29.29532,-94.80790999999999,2020-11-03 19:50 EDT
Brazoria,Texas,12687,0,186,1,1.5%,11367,0,29.049709999999997,-95.56200000000001,2020-11-03 19:50 EDT
McLennan,Texas,10450,134,147,5,1.4%,9101,0,31.55234029,-97.20180587,2020-11-03 19:50 EDT
Williamson,Texas,9664,76,156,0,1.6%,8993,0,30.64806761,-97.60077209,2020-11-03 19:50 EDT
Potter,Texas,8554,317,100,1,1.2%,5042,0,35.40127385,-101.8939736,2020-11-03 19:50 EDT
Jefferson,Texas,8548,77,156,1,1.8%,7307,0,29.88366401,-94.16922753,2020-11-03 19:50 EDT
Brazos,Texas,7814,136,76,0,1.0%,6883,0,30.66048584,-96.30207301,2020-11-03 19:50 EDT
Hays,Texas,6875,0,75,1,1.1%,5691,0,30.1227,-97.8722,2020-11-03 19:50 EDT
Bell,Texas,6647,87,101,1,1.5%,5600,0,31.03765881,-97.47807382,2020-11-03 19:50 EDT
Randall,Texas,5906,423,59,0,1.0%,3204,0,34.96596461,-101.896888,2020-11-03 19:50 EDT
Midland,Texas,5540,0,81,0,1.5%,3914,0,31.86932499,-102.0314523,2020-11-03 19:50 EDT
