County Name,State Name,Confirmed,New,Death,New Death,Fatality Rate,Recovered,New Recovered,Latitude,Longitude,Last Update
Los Angeles,California,1226219,2,23479,0,1.9%,41629,071,34.053490000000004,-118.24532,2021-04-13 19:30 EDT
Riverside,California,296801,166,4504,12,1.5%,1139,209,33.98171,-117.37404,2021-04-13 19:30 EDT
San Bernardino,California,293925,90,4240,3,1.4%,410839,108,34.10524,-117.29412,2021-04-13 19:30 EDT
San Diego,California,273430,0,3621,0,1.3%,579,776,32.71568,-117.16171,2021-04-13 19:30 EDT
Orange,California,252538,102,4849,10,1.9%,42819,126,33.78787,-117.85071,2021-04-13 19:30 EDT
Santa Clara,California,116324,0,1999,0,1.7%,44929,153,37.35579,-121.95508999999998,2021-04-13 19:30 EDT
Kern,California,107434,60,1306,2,1.2%,415339,94,35.34281638,-118.7299395,2021-04-13 19:30 EDT
Sacramento,California,100587,222,1644,4,1.6%,4119,517,38.57944000000001,-121.49085,2021-04-13 19:30 EDT
Fresno,California,100277,47,1633,0,1.6%,4569,28,36.74084000000001,-119.78552,2021-04-13 19:30 EDT
Alameda,California,85542,0,1447,1,1.7%,0,0,37.76683,-122.2453,2021-04-13 19:30 EDT
Ventura,California,80078,0,990,0,1.2%,41129,58,34.28082,-119.29232,2021-04-13 19:30 EDT
San Joaquin,California,70994,0,1334,0,1.9%,478,49,37.93479557,-121.2713112,2021-04-13 19:30 EDT
Contra Costa,California,66567,125,764,0,1.1%,44849,24,37.91793732,-121.9259354,2021-04-13 19:30 EDT
Stanislaus,California,53650,74,1020,2,1.9%,1659,02,37.55932622,-120.9976619,2021-04-13 19:30 EDT
Tulare,California,49300,28,823,0,1.7%,41539,43,36.20649,-119.34305,2021-04-13 19:30 EDT
Monterey,California,43209,52,348,1,0.8%,43849,55,36.21714603,-121.2390196,2021-04-13 19:30 EDT
San Mateo,California,40910,30,556,0,1.4%,669,85,37.54704,-122.31485,2021-04-13 19:30 EDT
Solano,California,39766,0,209,0,0.5%,0,0,38.27793363,-121.9272405,2021-04-13 19:30 EDT
San Francisco,California,35599,23,502,0,1.4%,679,64,37.77712,-122.41964,2021-04-13 19:30 EDT
Santa Barbara,California,33727,0,441,0,1.3%,44589,69,34.41938,-119.69905,2021-04-13 19:30 EDT
Merced,California,31070,0,448,0,1.4%,5749,64,37.19187429,-120.717739,2021-04-13 19:30 EDT
Sonoma,California,29536,11,309,0,1.0%,41739,76,38.29188,-122.45728,2021-04-13 19:30 EDT
Imperial,California,27512,18,716,0,2.6%,4172,11,32.84748,-115.56952,2021-04-13 19:30 EDT
Kings,California,22723,15,245,2,1.1%,3399,9,36.07543071,-119.8153541,2021-04-13 19:30 EDT
Placer,California,21540,0,279,0,1.3%,41739,52,39.05913563,-120.7536328,2021-04-13 19:30 EDT
San Luis Obispo,California,20827,73,256,0,1.2%,1459,48,35.28579000000001,-120.66275,2021-04-13 19:30 EDT
Madera,California,16110,33,239,3,1.5%,43849,01,36.96205,-120.06399,2021-04-13 19:30 EDT
Santa Cruz,California,15432,38,202,0,1.3%,42444,1,36.97424,-122.03098,2021-04-13 19:30 EDT
Marin,California,13813,0,206,0,1.5%,42589,3,38.07188727,-122.7195348,2021-04-13 19:30 EDT
Yolo,California,13402,0,199,0,1.5%,839,8,38.73431,-121.81279,2021-04-13 19:30 EDT
Shasta,California,11539,0,214,0,1.9%,2249,6,40.59828,-122.49095,2021-04-13 19:30 EDT
Butte,California,11295,0,181,0,1.6%,4249,19,39.66709143,-121.600911,2021-04-13 19:30 EDT
El Dorado,California,9641,0,108,0,1.1%,4749,27,38.68217,-120.84683,2021-04-13 19:30 EDT
Napa,California,9618,21,78,0,0.8%,1489,8,38.50647693,-122.3306091,2021-04-13 19:30 EDT
Sutter,California,9242,0,103,0,1.1%,2869,5,39.03467539,-121.6948457,2021-04-13 19:30 EDT
Yuba,California,6073,0,40,0,0.7%,4679,2,39.26918299,-121.3512653,2021-04-13 19:30 EDT
San Benito,California,5928,0,62,0,1.0%,519,7,36.50506,-121.08332,2021-04-13 19:30 EDT
Lassen,California,5666,5,24,0,0.4%,4667,0,40.68244754,-120.60036909999998,2021-04-13 19:30 EDT
Tehama,California,5393,0,56,0,1.0%,46439,9,40.12569694,-122.2339153,2021-04-13 19:30 EDT
Nevada,California,4418,7,75,0,1.7%,3859,9,39.2616,-121.0161,2021-04-13 19:30 EDT
Tuolumne,California,4058,2,64,0,1.6%,779,2,38.02764367,-119.9546536,2021-04-13 19:30 EDT
Mendocino,California,3974,0,47,0,1.2%,1589,6,39.44024063,-123.3912784,2021-04-13 19:30 EDT
Amador,California,3576,3,46,0,1.3%,4229,6,38.44606535,-120.651755,2021-04-13 19:30 EDT
Humboldt,California,3553,0,36,0,1.0%,4857,2,40.69879803,-123.8737147,2021-04-13 19:30 EDT
Lake,California,3359,7,43,0,1.3%,43899,5,39.10265343,-122.7508974,2021-04-13 19:30 EDT
Glenn,California,2715,0,25,0,0.9%,0,0,39.59827984,-122.392389,2021-04-13 19:30 EDT
Colusa,California,2188,4,16,0,0.7%,413339,4,39.17759768,-122.2371023,2021-04-13 19:30 EDT
Calaveras,California,2041,0,51,0,2.5%,4599,8,38.20473567,-120.5540655,2021-04-13 19:30 EDT
Siskiyou,California,1904,0,19,0,1.0%,42319,6,41.59256366,-122.5407772,2021-04-13 19:30 EDT
Inyo,California,1415,0,38,0,2.7%,41609,3,36.5110603,-117.410592,2021-04-13 19:30 EDT
Mono,California,1272,0,4,0,0.3%,3339,0,37.93749777,-118.8838882,2021-04-13 19:30 EDT
Del Norte,California,1254,0,7,0,0.6%,7259,5,41.74317575,-123.8971107,2021-04-13 19:30 EDT
Plumas,California,688,0,6,0,0.9%,509,0,40.00070236,-120.8334983,2021-04-13 19:30 EDT
Modoc,California,487,5,4,0,0.8%,42509,0,41.57651716400005,-120.73684738599995,2021-04-13 19:30 EDT
Mariposa,California,416,0,7,0,1.7%,44009,0,37.58147049,-119.9054514,2021-04-13 19:30 EDT
Trinity,California,397,0,5,0,1.3%,43339,0,40.65065829,-123.112635,2021-04-13 19:30 EDT
Sierra,California,108,0,0,0,0.0%,09,0,39.58038432,-120.5160202,2021-04-13 19:30 EDT
Alpine,California,88,0,0,0,0.0%,0,0,38.59733305,-119.8204213,2021-04-13 19:30 EDT
Dallas,Texas,294350,416,3914,0,1.3%,47049,781,32.778220000000005,-96.79512,2021-04-13 19:30 EDT
Tarrant,Texas,253402,191,3360,3,1.3%,42434,105,32.8173,-97.07655,2021-04-13 19:30 EDT
Bexar,Texas,210808,0,3398,0,1.6%,486719,019,29.44892069,-98.5200077,2021-04-13 19:30 EDT
Harris--Non Houston,Texas,197111,164,1520,8,0.8%,43019,428,37.302192,-91.8445815,2021-04-13 19:30 EDT
Harris--Houston,Texas,186598,220,2382,15,1.3%,3969,213,29.66648008,-95.22438005,2021-04-13 19:30 EDT
El Paso,Texas,131561,102,2602,0,2.0%,43759,357,31.75916,-106.48749,2021-04-13 19:30 EDT
Collin,Texas,87845,0,805,0,0.9%,41719,02,33.1968,-96.80393,2021-04-13 19:30 EDT
Hidalgo,Texas,86339,172,2797,3,3.2%,4936,026,26.39702985,-98.18094296,2021-04-13 19:30 EDT
Travis,Texas,80533,87,967,0,1.2%,4919,53,30.33462266,-97.78218981,2021-04-13 19:30 EDT
Denton,Texas,72779,0,734,0,1.0%,415829,03,33.216590000000004,-97.13162,2021-04-13 19:30 EDT
Fort Bend,Texas,64506,0,643,0,1.0%,41124,066,29.52745252,-95.77065084,2021-04-13 19:30 EDT
