County Name,State Name,Confirmed,New,Death,Fatality Rate,Latitude,Longitude,Last Update
New York,New York,4408,454,26,0.6%,40.71455,-74.00714,2020-03-20 11:53 EDT
Westchester,New York,1091,293,0,0%,41.16319759,-73.7560629,2020-03-20 11:53 EDT
Nassau,New York,754,382,3,0.4%,40.74165225,-73.58899619,2020-03-20 11:53 EDT
Suffolk,New York,239,0,3,1.3%,40.87732808,-72.85898036,2020-03-20 11:53 EDT
Rockland,New York,101,48,1,1%,41.152374,-74.02401032,2020-03-20 11:53 EDT
Orange,New York,84,33,0,0%,41.40206825,-74.30559567,2020-03-20 11:53 EDT
Albany,New York,61,18,0,0%,42.65155,-73.75520999999998,2020-03-20 11:53 EDT
Dutchess,New York,36,5,0,0%,41.76477515,-73.74281684,2020-03-20 11:53 EDT
Monroe,New York,32,2,1,3.1%,43.14604282,-77.69674911,2020-03-20 11:53 EDT
Erie,New York,31,3,0,0%,42.76382119,-78.73224973,2020-03-20 11:53 EDT
Saratoga,New York,21,0,0,0%,43.06974,-73.63661,2020-03-20 11:53 EDT
Schenectady,New York,14,0,0,0%,42.81238,-73.94122,2020-03-20 11:53 EDT
Ulster,New York,9,0,0,0%,41.95986,-73.99033,2020-03-20 11:53 EDT
Onondaga,New York,7,0,0,0%,43.004870000000004,-76.1836,2020-03-20 11:53 EDT
Tompkins,New York,6,0,0,0%,42.44933495,-76.47064359,2020-03-20 11:53 EDT
Putnam,New York,5,0,0,0%,41.42653455,-73.7494999,2020-03-20 11:53 EDT
Rensselaer,New York,4,0,0,0%,42.71086263,-73.5097379,2020-03-20 11:53 EDT
Niagara,New York,4,0,0,0%,43.19998147,-78.74522262,2020-03-20 11:53 EDT
Greene,New York,2,0,0,0%,42.27654571,-74.12261588,2020-03-20 11:53 EDT
Montgomery,New York,2,0,0,0%,42.90229179999999,-74.43960085,2020-03-20 11:53 EDT
Allegany,New York,2,0,0,0%,42.25739788,-78.02755444,2020-03-20 11:53 EDT
Clinton,New York,2,0,0,0%,44.7904,-73.6006,2020-03-20 11:53 EDT
Oneida,New York,2,0,0,0%,43.24306498,-75.42583597,2020-03-20 11:53 EDT
Wyoming,New York,2,0,0,0%,42.70242659,-78.22443261,2020-03-20 11:53 EDT
Schoharie,New York,2,0,0,0%,42.58820746,-74.44213588,2020-03-20 11:53 EDT
Steuben,New York,2,2,0,0%,42.26782685000006,-77.38382595599995,2020-03-20 11:53 EDT
Delaware,New York,1,0,0,0%,42.19804334,-74.96635196,2020-03-20 11:53 EDT
Herkimer,New York,1,0,0,0%,43.0259,-74.98433,2020-03-20 11:53 EDT
Broome,New York,1,0,0,0%,42.16021802,-75.81964586,2020-03-20 11:53 EDT
Tioga,New York,1,0,0,0%,42.06057,-76.34519,2020-03-20 11:53 EDT
Ontario,New York,1,0,0,0%,42.85288942,-77.29981098,2020-03-20 11:53 EDT
Essex,New York,1,0,0,0%,44.10755697,-73.79125847,2020-03-20 11:53 EDT
Sullivan,New York,1,0,0,0%,41.71631354,-74.76811083,2020-03-20 11:53 EDT
Genesee,New York,1,0,0,0%,43.00094016,-78.1936949,2020-03-20 11:53 EDT
Warren,New York,1,0,0,0%,43.5592099,-73.85881158,2020-03-20 11:53 EDT
Washington,New York,1,0,0,0%,43.31227113,-73.43096234,2020-03-20 11:53 EDT
Hamilton,New York,1,0,0,0%,43.66130373,-74.49733573,2020-03-20 11:53 EDT
Chenango,New York,1,0,0,0%,42.49349443,-75.61153709999998,2020-03-20 11:53 EDT
Wayne,New York,1,0,0,0%,40.85156000000006,-93.25526999999994,2020-03-20 11:53 EDT
King,Washington,693,0,60,8.7%,47.49011813,-121.8043324,2020-03-20 11:53 EDT
Snohomish,Washington,348,0,7,2%,47.9124,-122.09306000000001,2020-03-20 11:53 EDT
Pierce,Washington,75,0,1,1.3%,47.02270813,-122.1014408,2020-03-20 11:53 EDT
Skagit,Washington,18,0,0,0%,48.47933023,-121.72808020000001,2020-03-20 11:53 EDT
Island,Washington,17,0,1,5.9%,48.19160936,-122.6650075,2020-03-20 11:53 EDT
Kitsap,Washington,12,0,0,0%,47.47496219,-122.6085325,2020-03-20 11:53 EDT
Spokane,Washington,9,0,0,0%,47.65726,-117.41228000000001,2020-03-20 11:53 EDT
Grant,Washington,8,0,1,12.5%,47.19885794,-119.4525987,2020-03-20 11:53 EDT
Whatcom,Washington,7,0,0,0%,48.82559702,-121.7174182,2020-03-20 11:53 EDT
Yakima,Washington,7,0,0,0%,46.60448,-120.50721000000001,2020-03-20 11:53 EDT
Thurston,Washington,6,0,0,0%,46.91980578,-122.82986909999998,2020-03-20 11:53 EDT
Jefferson,Washington,4,0,0,0%,47.74810608,-123.6000095,2020-03-20 11:53 EDT
Clark,Washington,4,0,3,75%,45.78187331,-122.48127849999999,2020-03-20 11:53 EDT
Kittitas,Washington,4,0,0,0%,46.98472,-120.41752,2020-03-20 11:53 EDT
Chelan,Washington,2,0,0,0%,47.86707169,-120.62526770000001,2020-03-20 11:53 EDT
