County Name,State Name,Confirmed,New,Death,New Death,Fatality Rate,Recovered,New Recovered,Latitude,Longitude,Last Update
Los Angeles,California,1124558,3451,17057,200,1.5%,2589,9070,34.053490000000004,-118.24532,2021-02-02 20:02 EDT
Riverside,California,275872,0,3171,0,1.1%,459,023,33.98171,-117.37404,2021-02-02 20:02 EDT
San Bernardino,California,275076,0,1856,0,0.7%,4749,534,34.10524,-117.29412,2021-02-02 20:02 EDT
San Diego,California,239124,0,2619,0,1.1%,3159,058,32.71568,-117.16171,2021-02-02 20:02 EDT
Orange,California,234162,768,3162,53,1.4%,2689,179,33.78787,-117.85071,2021-02-02 20:02 EDT
Santa Clara,California,102427,0,1418,0,1.4%,3239,253,37.35579,-121.95508999999998,2021-02-02 20:02 EDT
Kern,California,94994,527,626,2,0.7%,129,875,35.34281638,-118.7299395,2021-02-02 20:02 EDT
Fresno,California,88852,0,1173,0,1.3%,347,516,36.74084000000001,-119.78552,2021-02-02 20:02 EDT
Sacramento,California,86471,0,1262,0,1.5%,2199,540,38.57944000000001,-121.49085,2021-02-02 20:02 EDT
Alameda,California,74087,0,982,0,1.3%,3419,412,37.76683,-122.2453,2021-02-02 20:02 EDT
Ventura,California,70799,0,618,0,0.9%,2489,733,34.28082,-119.29232,2021-02-02 20:02 EDT
San Joaquin,California,62737,591,871,1,1.4%,289,192,37.93479557,-121.2713112,2021-02-02 20:02 EDT
Contra Costa,California,57812,232,531,2,0.9%,1569,219,37.91793732,-121.9259354,2021-02-02 20:02 EDT
Stanislaus,California,46268,0,834,0,1.8%,2819,416,37.55932622,-120.9976619,2021-02-02 20:02 EDT
Tulare,California,45398,155,606,8,1.3%,4699,824,36.20649,-119.34305,2021-02-02 20:02 EDT
Monterey,California,39966,541,285,0,0.7%,3369,532,36.21714603,-121.2390196,2021-02-02 20:02 EDT
San Mateo,California,36052,170,395,13,1.1%,1949,542,37.54704,-122.31485,2021-02-02 20:02 EDT
San Francisco,California,31377,118,324,0,1.0%,79,137,37.77712,-122.41964,2021-02-02 20:02 EDT
Santa Barbara,California,28830,0,298,0,1.0%,1869,681,34.41938,-119.69905,2021-02-02 20:02 EDT
Solano,California,28191,0,122,0,0.4%,2139,050,38.27793363,-121.9272405,2021-02-02 20:02 EDT
Merced,California,26674,0,354,0,1.3%,2799,31,37.19187429,-120.717739,2021-02-02 20:02 EDT
Sonoma,California,26189,81,265,5,1.0%,2659,048,38.29188,-122.45728,2021-02-02 20:02 EDT
Imperial,California,26184,27,551,2,2.1%,417,63,32.84748,-115.56952,2021-02-02 20:02 EDT
Kings,California,20812,0,177,0,0.9%,2539,89,36.07543071,-119.8153541,2021-02-02 20:02 EDT
Placer,California,18608,0,201,0,1.1%,1229,74,39.05913563,-120.7536328,2021-02-02 20:02 EDT
San Luis Obispo,California,18038,151,178,1,1.0%,2749,87,35.28579000000001,-120.66275,2021-02-02 20:02 EDT
Madera,California,14452,0,175,0,1.2%,3429,48,36.96205,-120.06399,2021-02-02 20:02 EDT
Santa Cruz,California,13648,42,149,1,1.1%,3119,60,36.97424,-122.03098,2021-02-02 20:02 EDT
Marin,California,12372,0,173,0,1.4%,1849,05,38.07188727,-122.7195348,2021-02-02 20:02 EDT
Yolo,California,11666,0,149,0,1.3%,2699,70,38.73431,-121.81279,2021-02-02 20:02 EDT
Shasta,California,10438,0,145,0,1.4%,2019,94,40.59828,-122.49095,2021-02-02 20:02 EDT
Butte,California,10083,0,142,0,1.4%,2439,08,39.66709143,-121.600911,2021-02-02 20:02 EDT
