County Name,State Name,Confirmed,New,Death,New Death,Fatality Rate,Recovered,New Recovered,Latitude,Longitude,Last Update
Los Angeles,California,1191927,0,21435,0,1.8%,189,1442,34.053490000000004,-118.24532,2021-03-01 12:00 EDT
Riverside,California,289450,0,3767,0,1.3%,969,916,33.98171,-117.37404,2021-03-01 12:00 EDT
San Bernardino,California,286607,0,2874,0,1.0%,2039,968,34.10524,-117.29412,2021-03-01 12:00 EDT
San Diego,California,260356,262,3303,19,1.3%,2599,581,32.71568,-117.16171,2021-03-01 12:00 EDT
Orange,California,246455,0,3917,0,1.6%,1439,823,33.78787,-117.85071,2021-03-01 12:00 EDT
Santa Clara,California,110621,199,1777,0,1.6%,49,622,37.35579,-121.95508999999998,2021-03-01 12:00 EDT
Kern,California,103295,0,851,0,0.8%,4759,557,35.34281638,-118.7299395,2021-03-01 12:00 EDT
Fresno,California,95393,0,1443,0,1.5%,3249,159,36.74084000000001,-119.78552,2021-03-01 12:00 EDT
Sacramento,California,93160,0,1472,0,1.6%,2569,363,38.57944000000001,-121.49085,2021-03-01 12:00 EDT
Alameda,California,82822,0,1242,0,1.5%,41775,283,37.76683,-122.2453,2021-03-01 12:00 EDT
Ventura,California,77256,0,844,0,1.1%,3469,022,34.28082,-119.29232,2021-03-01 12:00 EDT
San Joaquin,California,66709,0,1101,0,1.7%,1139,18,37.93479557,-121.2713112,2021-03-01 12:00 EDT
Contra Costa,California,62645,0,681,0,1.1%,689,017,37.91793732,-121.9259354,2021-03-01 12:00 EDT
Stanislaus,California,50494,0,946,0,1.9%,4559,48,37.55932622,-120.9976619,2021-03-01 12:00 EDT
Tulare,California,47869,0,758,0,1.6%,3149,70,36.20649,-119.34305,2021-03-01 12:00 EDT
Monterey,California,42261,0,328,0,0.8%,3069,77,36.21714603,-121.2390196,2021-03-01 12:00 EDT
Solano,California,39766,0,164,0,0.4%,1009,0,38.27793363,-121.9272405,2021-03-01 12:00 EDT
San Mateo,California,38729,0,515,0,1.3%,1789,00,37.54704,-122.31485,2021-03-01 12:00 EDT
San Francisco,California,34034,0,422,0,1.2%,1029,75,37.77712,-122.41964,2021-03-01 12:00 EDT
