County Name,State Name,Confirmed,New,Death,New Death,Fatality Rate,Recovered,New Recovered,Latitude,Longitude,Last Update
Los Angeles,California,168900,2032,4300,37,2.5%,5669,352,34.053490000000004,-118.24532,2020-07-24 21:15 EDT
Orange,California,33358,710,556,13,1.7%,18007,916,33.78787,-117.85071,2020-07-24 21:15 EDT
Riverside,California,32813,0,637,0,1.9%,11514,244,33.98171,-117.37404,2020-07-24 21:15 EDT
San Bernardino,California,26185,0,358,0,1.4%,16981,0,34.10524,-117.29412,2020-07-24 21:15 EDT
San Diego,California,25608,0,512,0,2.0%,1138,0,32.71568,-117.16171,2020-07-24 21:15 EDT
Kern,California,13360,1037,123,8,0.9%,5193,109,35.34281638,-118.7299395,2020-07-24 21:15 EDT
Fresno,California,11756,0,104,0,0.9%,2706,0,36.74084000000001,-119.78552,2020-07-24 21:15 EDT
Alameda,California,10214,345,178,5,1.7%,0,0,37.76683,-122.2453,2020-07-24 21:15 EDT
San Joaquin,California,9826,0,107,0,1.1%,3639,105,37.93479557,-121.2713112,2020-07-24 21:15 EDT
Imperial,California,8967,48,173,3,1.9%,7804,46,32.84748,-115.56952,2020-07-24 21:15 EDT
Sacramento,California,8554,307,103,5,1.2%,4881,550,38.57944000000001,-121.49085,2020-07-24 21:15 EDT
Santa Clara,California,8533,0,181,0,2.1%,1,0,37.35579,-121.95508999999998,2020-07-24 21:15 EDT
Tulare,California,8210,334,168,0,2.0%,4608,276,36.20649,-119.34305,2020-07-24 21:15 EDT
Stanislaus,California,7401,0,79,0,1.1%,5974,311,37.55932622,-120.9976619,2020-07-24 21:15 EDT
Contra Costa,California,6627,202,103,1,1.6%,5388,235,37.91793732,-121.9259354,2020-07-24 21:15 EDT
Ventura,California,6156,0,63,0,1.0%,3360,260,34.28082,-119.29232,2020-07-24 21:15 EDT
San Francisco,California,5679,115,56,1,1.0%,520,0,37.77712,-122.41964,2020-07-24 21:15 EDT
Santa Barbara,California,5444,0,32,0,0.6%,5051,151,34.41938,-119.69905,2020-07-24 21:15 EDT
San Mateo,California,4957,72,117,3,2.4%,0,0,37.54704,-122.31485,2020-07-24 21:15 EDT
Marin,California,4541,19,50,0,1.1%,3113,80,38.07188727,-122.7195348,2020-07-24 21:15 EDT
Monterey,California,3865,139,22,0,0.6%,1471,0,36.21714603,-121.2390196,2020-07-24 21:15 EDT
Kings,California,3696,0,45,0,1.2%,2329,77,36.07543071,-119.8153541,2020-07-24 21:15 EDT
Merced,California,3123,0,27,0,0.9%,1766,80,37.19187429,-120.717739,2020-07-24 21:15 EDT
Solano,California,3070,0,35,0,1.1%,2673,77,38.27793363,-121.9272405,2020-07-24 21:15 EDT
