County Name,State Name,Confirmed,New,Death,New Death,Fatality Rate,Recovered,New Recovered,Latitude,Longitude,Last Update
Los Angeles,California,233031,94,5565,5,2.4%,9112,82,34.053490000000004,-118.24532,2020-08-25 20:20 EDT
Riverside,California,50744,0,972,0,1.9%,28407,0,33.98171,-117.37404,2020-08-25 20:20 EDT
Orange,California,46642,335,912,15,2.0%,38450,543,33.78787,-117.85071,2020-08-25 20:20 EDT
San Bernardino,California,45246,0,692,0,1.5%,37002,0,34.10524,-117.29412,2020-08-25 20:20 EDT
San Diego,California,36727,0,660,0,1.8%,1138,0,32.71568,-117.16171,2020-08-25 20:20 EDT
Kern,California,28520,286,251,11,0.9%,10226,690,35.34281638,-118.7299395,2020-08-25 20:20 EDT
Fresno,California,23414,0,226,0,1.0%,10220,0,36.74084000000001,-119.78552,2020-08-25 20:20 EDT
Alameda,California,17242,0,240,0,1.4%,0,0,37.76683,-122.2453,2020-08-25 20:20 EDT
Sacramento,California,16623,292,252,6,1.5%,12452,241,38.57944000000001,-121.49085,2020-08-25 20:20 EDT
San Joaquin,California,16545,414,297,0,1.8%,14727,328,37.93479557,-121.2713112,2020-08-25 20:20 EDT
Santa Clara,California,16151,0,224,0,1.4%,178,0,37.35579,-121.95508999999998,2020-08-25 20:20 EDT
Tulare,California,13609,178,216,0,1.6%,12502,220,36.20649,-119.34305,2020-08-25 20:20 EDT
Stanislaus,California,13483,0,232,0,1.7%,12745,0,37.55932622,-120.9976619,2020-08-25 20:20 EDT
Contra Costa,California,13123,254,171,2,1.3%,11550,381,37.91793732,-121.9259354,2020-08-25 20:20 EDT
Imperial,California,10486,90,272,0,2.6%,9385,35,32.84748,-115.56952,2020-08-25 20:20 EDT
Ventura,California,10063,0,103,0,1.0%,8366,0,34.28082,-119.29232,2020-08-25 20:20 EDT
San Francisco,California,8981,45,77,0,0.9%,520,0,37.77712,-122.41964,2020-08-25 20:20 EDT
Santa Barbara,California,7800,0,88,0,1.1%,7479,0,34.41938,-119.69905,2020-08-25 20:20 EDT
San Mateo,California,7788,118,130,2,1.7%,0,0,37.54704,-122.31485,2020-08-25 20:20 EDT
Merced,California,7653,0,106,0,1.4%,5630,0,37.19187429,-120.717739,2020-08-25 20:20 EDT
Monterey,California,7393,119,53,1,0.7%,1471,0,36.21714603,-121.2390196,2020-08-25 20:20 EDT
Kings,California,5957,36,69,0,1.2%,3488,70,36.07543071,-119.8153541,2020-08-25 20:20 EDT
Marin,California,5942,0,94,0,1.6%,4347,0,38.07188727,-122.7195348,2020-08-25 20:20 EDT
Sonoma,California,5212,92,73,1,1.4%,3035,0,38.29188,-122.45728,2020-08-25 20:20 EDT
Solano,California,5206,0,46,0,0.9%,4844,0,38.27793363,-121.9272405,2020-08-25 20:20 EDT
Madera,California,3484,0,50,0,1.4%,2619,0,36.96205,-120.06399,2020-08-25 20:20 EDT
Placer,California,2833,38,32,1,1.1%,2478,50,39.05913563,-120.7536328,2020-08-25 20:20 EDT
San Luis Obispo,California,2769,34,21,0,0.8%,2306,24,35.28579000000001,-120.66275,2020-08-25 20:20 EDT
Yolo,California,2239,0,47,0,2.1%,42,0,38.73431,-121.81279,2020-08-25 20:20 EDT
Santa Cruz,California,1698,62,7,0,0.4%,439,0,36.97424,-122.03098,2020-08-25 20:20 EDT
Butte,California,1664,0,18,0,1.1%,1350,0,39.66709143,-121.600911,2020-08-25 20:20 EDT
Napa,California,1365,18,13,0,1.0%,574,2,38.50647693,-122.3306091,2020-08-25 20:20 EDT
Sutter,California,1283,23,8,0,0.6%,704,15,39.03467539,-121.6948457,2020-08-25 20:20 EDT
San Benito,California,978,0,7,0,0.7%,852,0,36.50506,-121.08332,2020-08-25 20:20 EDT
El Dorado,California,924,0,2,0,0.2%,786,0,38.68217,-120.84683,2020-08-25 20:20 EDT
Yuba,California,880,21,4,0,0.5%,460,11,39.26918299,-121.3512653,2020-08-25 20:20 EDT
Lassen,California,714,10,0,0,0.0%,678,26,40.68244754,-120.60036909999998,2020-08-25 20:20 EDT
Mendocino,California,645,0,16,0,2.5%,507,0,39.44024063,-123.3912784,2020-08-25 20:20 EDT
Shasta,California,545,14,11,0,2.0%,488,0,40.59828,-122.49095,2020-08-25 20:20 EDT
Glenn,California,433,0,3,0,0.7%,418,0,39.59827984,-122.392389,2020-08-25 20:20 EDT
Colusa,California,429,3,5,0,1.2%,409,4,39.17759768,-122.2371023,2020-08-25 20:20 EDT
Nevada,California,423,0,3,0,0.7%,351,0,39.2616,-121.0161,2020-08-25 20:20 EDT
Tehama,California,394,30,1,0,0.3%,329,16,40.12569694,-122.2339153,2020-08-25 20:20 EDT
Humboldt,California,359,0,4,0,1.1%,294,0,40.69879803,-123.8737147,2020-08-25 20:20 EDT
Lake,California,304,1,3,0,1.0%,285,2,39.10265343,-122.7508974,2020-08-25 20:20 EDT
Amador,California,224,0,14,0,6.2%,194,0,38.44606535,-120.651755,2020-08-25 20:20 EDT
Calaveras,California,197,0,2,0,1.0%,168,0,38.20473567,-120.5540655,2020-08-25 20:20 EDT
Tuolumne,California,177,0,2,0,1.1%,167,0,38.02764367,-119.9546536,2020-08-25 20:20 EDT
Inyo,California,167,0,11,0,6.6%,74,0,36.5110603,-117.410592,2020-08-25 20:20 EDT
Mono,California,162,0,2,0,1.2%,0,0,37.93749777,-118.8838882,2020-08-25 20:20 EDT
Siskiyou,California,124,0,1,0,0.8%,114,0,41.59256366,-122.5407772,2020-08-25 20:20 EDT
Del Norte,California,116,0,1,0,0.9%,102,0,41.74317575,-123.8971107,2020-08-25 20:20 EDT
Mariposa,California,70,1,2,0,2.9%,66,1,37.58147049,-119.9054514,2020-08-25 20:20 EDT
Plumas,California,40,0,0,0,0.0%,40,0,40.00070236,-120.8334983,2020-08-25 20:20 EDT
Trinity,California,10,0,0,0,0.0%,8,1,40.65065829,-123.112635,2020-08-25 20:20 EDT
Sierra,California,6,0,0,0,0.0%,6,0,39.58038432,-120.5160202,2020-08-25 20:20 EDT
Modoc,California,5,0,0,0,0.0%,5,0,41.57651716400005,-120.73684738599995,2020-08-25 20:20 EDT
Alpine,California,2,0,0,0,0.0%,2,0,38.59733305,-119.8204213,2020-08-25 20:20 EDT
