County Name,State Name,Confirmed,New,Death,New Death,Fatality Rate,Recovered,New Recovered,Latitude,Longitude,Last Update
Los Angeles,California,1222114,822,23275,1,1.9%,229,517,34.053490000000004,-118.24532,2021-04-05 19:30 EDT
Riverside,California,294736,0,4362,0,1.5%,447,05,33.98171,-117.37404,2021-04-05 19:30 EDT
San Bernardino,California,291648,0,4126,0,1.4%,41889,018,34.10524,-117.29412,2021-04-05 19:30 EDT
San Diego,California,271527,193,3583,12,1.3%,41849,059,32.71568,-117.16171,2021-04-05 19:30 EDT
Orange,California,251310,208,4772,4,1.9%,4339,94,33.78787,-117.85071,2021-04-05 19:30 EDT
Santa Clara,California,115057,110,1949,0,1.7%,437,64,37.35579,-121.95508999999998,2021-04-05 19:30 EDT
Kern,California,106480,20,1291,5,1.2%,3299,86,35.34281638,-118.7299395,2021-04-05 19:30 EDT
Fresno,California,99551,0,1620,0,1.6%,4769,20,36.74084000000001,-119.78552,2021-04-05 19:30 EDT
Sacramento,California,98848,360,1617,4,1.6%,4469,498,38.57944000000001,-121.49085,2021-04-05 19:30 EDT
Alameda,California,85542,0,1463,0,1.7%,0,0,37.76683,-122.2453,2021-04-05 19:30 EDT
Ventura,California,79774,0,986,0,1.2%,2099,02,34.28082,-119.29232,2021-04-05 19:30 EDT
San Joaquin,California,70117,0,1310,0,1.9%,899,69,37.93479557,-121.2713112,2021-04-05 19:30 EDT
Contra Costa,California,65718,50,760,0,1.2%,469,28,37.91793732,-121.9259354,2021-04-05 19:30 EDT
Stanislaus,California,53074,108,1004,1,1.9%,45999,74,37.55932622,-120.9976619,2021-04-05 19:30 EDT
Tulare,California,49129,29,813,0,1.7%,2639,40,36.20649,-119.34305,2021-04-05 19:30 EDT
Monterey,California,43002,0,342,0,0.8%,2829,12,36.21714603,-121.2390196,2021-04-05 19:30 EDT
San Mateo,California,40595,53,553,0,1.4%,1989,56,37.54704,-122.31485,2021-04-05 19:30 EDT
Solano,California,39766,0,197,0,0.5%,0,0,38.27793363,-121.9272405,2021-04-05 19:30 EDT
San Francisco,California,35312,92,482,6,1.4%,469,49,37.77712,-122.41964,2021-04-05 19:30 EDT
Santa Barbara,California,33297,0,440,0,1.3%,42069,572,34.41938,-119.69905,2021-04-05 19:30 EDT
Merced,California,30687,0,439,0,1.4%,329,68,37.19187429,-120.717739,2021-04-05 19:30 EDT
Sonoma,California,29349,0,309,0,1.1%,2049,80,38.29188,-122.45728,2021-04-05 19:30 EDT
Imperial,California,27283,74,716,0,2.6%,46439,07,32.84748,-115.56952,2021-04-05 19:30 EDT
Kings,California,22669,0,241,0,1.1%,2259,9,36.07543071,-119.8153541,2021-04-05 19:30 EDT
Placer,California,21095,0,276,0,1.3%,4477,59,39.05913563,-120.7536328,2021-04-05 19:30 EDT
San Luis Obispo,California,20547,0,256,0,1.2%,3199,45,35.28579000000001,-120.66275,2021-04-05 19:30 EDT
Madera,California,15944,0,234,0,1.5%,41089,2,36.96205,-120.06399,2021-04-05 19:30 EDT
Santa Cruz,California,15363,0,200,0,1.3%,4829,7,36.97424,-122.03098,2021-04-05 19:30 EDT
Marin,California,13723,4,204,0,1.5%,3659,3,38.07188727,-122.7195348,2021-04-05 19:30 EDT
Yolo,California,13238,0,198,0,1.5%,446,2,38.73431,-121.81279,2021-04-05 19:30 EDT
Shasta,California,11399,0,208,0,1.8%,5329,6,40.59828,-122.49095,2021-04-05 19:30 EDT
Butte,California,11138,0,178,0,1.6%,69,9,39.66709143,-121.600911,2021-04-05 19:30 EDT
El Dorado,California,9488,0,108,0,1.1%,789,1,38.68217,-120.84683,2021-04-05 19:30 EDT
Napa,California,9453,0,78,0,0.8%,43159,17,38.50647693,-122.3306091,2021-04-05 19:30 EDT
Sutter,California,9175,0,102,0,1.1%,449,5,39.03467539,-121.6948457,2021-04-05 19:30 EDT
