County Name,State Name,Confirmed,New,Death,New Death,Fatality Rate,Recovered,New Recovered,Latitude,Longitude,Last Update
Los Angeles,California,1217775,7,23078,0,1.9%,4089,976,34.053490000000004,-118.24532,2021-03-28 19:40 EDT
Riverside,California,293831,0,4248,0,1.4%,2159,64,33.98171,-117.37404,2021-03-28 19:40 EDT
San Bernardino,California,290630,125,3984,43,1.4%,43659,100,34.10524,-117.29412,2021-03-28 19:40 EDT
San Diego,California,269275,0,3540,0,1.3%,41029,098,32.71568,-117.16171,2021-03-28 19:40 EDT
Orange,California,250308,119,4725,14,1.9%,41799,81,33.78787,-117.85071,2021-03-28 19:40 EDT
Santa Clara,California,114183,0,1934,0,1.7%,42919,91,37.35579,-121.95508999999998,2021-03-28 19:40 EDT
Kern,California,106074,80,1216,25,1.1%,1189,53,35.34281638,-118.7299395,2021-03-28 19:40 EDT
Fresno,California,98731,129,1592,0,1.6%,1019,46,36.74084000000001,-119.78552,2021-03-28 19:40 EDT
Sacramento,California,96990,0,1599,0,1.6%,41719,026,38.57944000000001,-121.49085,2021-03-28 19:40 EDT
Alameda,California,85542,0,1395,0,1.6%,1009,0,37.76683,-122.2453,2021-03-28 19:40 EDT
Ventura,California,79472,0,969,0,1.2%,4139,82,34.28082,-119.29232,2021-03-28 19:40 EDT
San Joaquin,California,69448,0,1250,0,1.8%,1829,34,37.93479557,-121.2713112,2021-03-28 19:40 EDT
Contra Costa,California,65140,75,754,0,1.2%,3389,92,37.91793732,-121.9259354,2021-03-28 19:40 EDT
Stanislaus,California,52392,0,992,0,1.9%,46519,54,37.55932622,-120.9976619,2021-03-28 19:40 EDT
Tulare,California,48960,0,805,0,1.6%,1369,90,36.20649,-119.34305,2021-03-28 19:40 EDT
Monterey,California,42890,0,340,0,0.8%,199,56,36.21714603,-121.2390196,2021-03-28 19:40 EDT
San Mateo,California,40186,0,547,0,1.4%,4272,44,37.54704,-122.31485,2021-03-28 19:40 EDT
Solano,California,39766,0,191,0,0.5%,0,0,38.27793363,-121.9272405,2021-03-28 19:40 EDT
San Francisco,California,34971,0,463,0,1.3%,4426,61,37.77712,-122.41964,2021-03-28 19:40 EDT
Santa Barbara,California,33045,0,436,0,1.3%,4217,47,34.41938,-119.69905,2021-03-28 19:40 EDT
Merced,California,30419,0,434,0,1.4%,1999,77,37.19187429,-120.717739,2021-03-28 19:40 EDT
Sonoma,California,29169,47,308,0,1.1%,1619,08,38.29188,-122.45728,2021-03-28 19:40 EDT
Imperial,California,27002,0,715,0,2.6%,42509,26,32.84748,-115.56952,2021-03-28 19:40 EDT
Kings,California,22600,12,249,0,1.1%,4549,3,36.07543071,-119.8153541,2021-03-28 19:40 EDT
Placer,California,20736,0,263,0,1.3%,41059,43,39.05913563,-120.7536328,2021-03-28 19:40 EDT
San Luis Obispo,California,20402,0,255,0,1.2%,44399,13,35.28579000000001,-120.66275,2021-03-28 19:40 EDT
Madera,California,15862,0,231,0,1.5%,3889,4,36.96205,-120.06399,2021-03-28 19:40 EDT
Santa Cruz,California,15306,0,200,0,1.3%,3649,10,36.97424,-122.03098,2021-03-28 19:40 EDT
Marin,California,13646,0,203,0,1.5%,41242,39,38.07188727,-122.7195348,2021-03-28 19:40 EDT
Yolo,California,13176,0,196,0,1.5%,2289,12,38.73431,-121.81279,2021-03-28 19:40 EDT
Shasta,California,11333,0,202,0,1.8%,457149,41,40.59828,-122.49095,2021-03-28 19:40 EDT
Butte,California,11059,0,177,0,1.6%,43339,4,39.66709143,-121.600911,2021-03-28 19:40 EDT
El Dorado,California,9417,0,107,0,1.1%,42229,7,38.68217,-120.84683,2021-03-28 19:40 EDT
Napa,California,9336,0,78,3,0.8%,4359,9,38.50647693,-122.3306091,2021-03-28 19:40 EDT
Sutter,California,9110,0,102,0,1.1%,4469,8,39.03467539,-121.6948457,2021-03-28 19:40 EDT
Yuba,California,5953,0,40,0,0.7%,429,0,39.26918299,-121.3512653,2021-03-28 19:40 EDT
San Benito,California,5848,2,61,0,1.0%,2939,9,36.50506,-121.08332,2021-03-28 19:40 EDT
Lassen,California,5649,0,25,0,0.4%,414009,5,40.68244754,-120.60036909999998,2021-03-28 19:40 EDT
Tehama,California,5260,0,54,0,1.0%,1139,7,40.12569694,-122.2339153,2021-03-28 19:40 EDT
Nevada,California,4219,0,74,0,1.8%,1239,7,39.2616,-121.0161,2021-03-28 19:40 EDT
Tuolumne,California,4024,0,62,0,1.5%,599,6,38.02764367,-119.9546536,2021-03-28 19:40 EDT
Mendocino,California,3935,0,46,0,1.2%,43859,6,39.44024063,-123.3912784,2021-03-28 19:40 EDT
Amador,California,3502,0,45,0,1.3%,43859,8,38.44606535,-120.651755,2021-03-28 19:40 EDT
Humboldt,California,3448,0,36,0,1.0%,5869,9,40.69879803,-123.8737147,2021-03-28 19:40 EDT
Lake,California,3295,0,43,0,1.3%,4667,5,39.10265343,-122.7508974,2021-03-28 19:40 EDT
Glenn,California,2715,0,25,0,0.9%,0,0,39.59827984,-122.392389,2021-03-28 19:40 EDT
Colusa,California,2164,0,16,0,0.7%,47009,0,39.17759768,-122.2371023,2021-03-28 19:40 EDT
Calaveras,California,1995,0,51,0,2.6%,41259,7,38.20473567,-120.5540655,2021-03-28 19:40 EDT
Siskiyou,California,1870,0,15,0,0.8%,4539,0,41.59256366,-122.5407772,2021-03-28 19:40 EDT
Inyo,California,1394,0,37,0,2.7%,41339,7,36.5110603,-117.410592,2021-03-28 19:40 EDT
Mono,California,1261,0,4,0,0.3%,4409,1,37.93749777,-118.8838882,2021-03-28 19:40 EDT
Del Norte,California,1125,0,5,0,0.4%,2319,0,41.74317575,-123.8971107,2021-03-28 19:40 EDT
Plumas,California,675,0,6,0,0.9%,509,0,40.00070236,-120.8334983,2021-03-28 19:40 EDT
Modoc,California,472,0,4,0,0.8%,4259,0,41.57651716400005,-120.73684738599995,2021-03-28 19:40 EDT
Mariposa,California,408,0,7,0,1.7%,41009,0,37.58147049,-119.9054514,2021-03-28 19:40 EDT
Trinity,California,387,0,5,0,1.3%,5719,0,40.65065829,-123.112635,2021-03-28 19:40 EDT
Sierra,California,104,0,0,0,0.0%,42009,0,39.58038432,-120.5160202,2021-03-28 19:40 EDT
Alpine,California,86,0,0,0,0.0%,1009,0,38.59733305,-119.8204213,2021-03-28 19:40 EDT
Dallas,Texas,290796,0,3826,0,1.3%,44739,807,32.778220000000005,-96.79512,2021-03-28 19:40 EDT
Tarrant,Texas,249921,0,3258,0,1.3%,2589,315,32.8173,-97.07655,2021-03-28 19:40 EDT
Bexar,Texas,203535,153,3288,0,1.6%,4759,959,29.44892069,-98.5200077,2021-03-28 19:40 EDT
Harris--Non Houston,Texas,192467,403,1461,0,0.8%,429,478,37.302192,-91.8445815,2021-03-28 19:40 EDT
Harris--Houston,Texas,182440,352,2195,10,1.2%,1989,061,29.66648008,-95.22438005,2021-03-28 19:40 EDT
El Paso,Texas,129013,90,2534,0,2.0%,719,099,31.75916,-106.48749,2021-03-28 19:40 EDT
Collin,Texas,86161,0,788,0,0.9%,1359,11,33.1968,-96.80393,2021-03-28 19:40 EDT
Hidalgo,Texas,84460,0,2754,0,3.3%,6419,059,26.39702985,-98.18094296,2021-03-28 19:40 EDT
Travis,Texas,78828,0,945,0,1.2%,4299,20,30.33462266,-97.78218981,2021-03-28 19:40 EDT
Denton,Texas,71484,0,721,0,1.0%,4959,99,33.216590000000004,-97.13162,2021-03-28 19:40 EDT
