County Name,State Name,Confirmed,New,Death,New Death,Fatality Rate,Recovered,New Recovered,Latitude,Longitude,Last Update
Los Angeles,California,218831,0,5215,0,2.4%,8293,0,34.053490000000004,-118.24532,2020-08-15 20:03 EDT
Riverside,California,45662,0,881,0,1.9%,23689,0,33.98171,-117.37404,2020-08-15 20:03 EDT
Orange,California,43367,513,809,20,1.9%,34115,418,33.78787,-117.85071,2020-08-15 20:03 EDT
San Bernardino,California,40338,964,568,7,1.4%,31798,43,34.10524,-117.29412,2020-08-15 20:03 EDT
San Diego,California,34065,0,622,0,1.8%,1138,0,32.71568,-117.16171,2020-08-15 20:03 EDT
Kern,California,26266,378,204,0,0.8%,8385,280,35.34281638,-118.7299395,2020-08-15 20:03 EDT
Fresno,California,19157,0,203,0,1.1%,8425,0,36.74084000000001,-119.78552,2020-08-15 20:03 EDT
San Joaquin,California,14651,0,261,0,1.8%,13054,0,37.93479557,-121.2713112,2020-08-15 20:03 EDT
Alameda,California,14558,0,219,0,1.5%,0,0,37.76683,-122.2453,2020-08-15 20:03 EDT
Santa Clara,California,13865,0,208,0,1.5%,178,0,37.35579,-121.95508999999998,2020-08-15 20:03 EDT
Sacramento,California,13615,0,199,0,1.5%,12211,0,38.57944000000001,-121.49085,2020-08-15 20:03 EDT
Tulare,California,12105,0,205,0,1.7%,10568,0,36.20649,-119.34305,2020-08-15 20:03 EDT
Stanislaus,California,11953,0,195,0,1.6%,10874,0,37.55932622,-120.9976619,2020-08-15 20:03 EDT
Contra Costa,California,11013,257,156,4,1.4%,9590,196,37.91793732,-121.9259354,2020-08-15 20:03 EDT
Imperial,California,10058,23,257,0,2.6%,8911,39,32.84748,-115.56952,2020-08-15 20:03 EDT
Ventura,California,9090,0,95,0,1.0%,6178,0,34.28082,-119.29232,2020-08-15 20:03 EDT
San Francisco,California,8157,104,69,0,0.8%,520,0,37.77712,-122.41964,2020-08-15 20:03 EDT
Santa Barbara,California,7274,0,77,0,1.1%,6907,0,34.41938,-119.69905,2020-08-15 20:03 EDT
San Mateo,California,6952,149,126,0,1.8%,0,0,37.54704,-122.31485,2020-08-15 20:03 EDT
Merced,California,6777,0,89,0,1.3%,4193,0,37.19187429,-120.717739,2020-08-15 20:03 EDT
Monterey,California,6057,167,46,5,0.8%,1471,0,36.21714603,-121.2390196,2020-08-15 20:03 EDT
