County Name,State Name,Confirmed,New,Death,New Death,Fatality Rate,Latitude,Longitude,Last Update
New York,New York,17856,2259,192,192,1.1%,40.71455,-74.00714,2020-03-25 13:43 EDT
Westchester,New York,4691,800,1,1,0.0%,41.16319759,-73.7560629,2020-03-25 13:43 EDT
Nassau,New York,3285,416,9,9,0.3%,40.74165225,-73.58899619,2020-03-25 13:43 EDT
Suffolk,New York,2260,380,17,17,0.8%,40.87732808,-72.85898036,2020-03-25 13:43 EDT
Rockland,New York,968,297,5,5,0.5%,41.152374,-74.02401032,2020-03-25 13:43 EDT
Orange,New York,498,0,0,0,0.0%,41.40206825,-74.30559567,2020-03-25 13:43 EDT
Albany,New York,146,0,0,0,0.0%,42.65155,-73.75520999999998,2020-03-25 13:43 EDT
Dutchess,New York,124,0,1,1,0.8%,41.76477515,-73.74281684,2020-03-25 13:43 EDT
Erie,New York,121,0,0,0,0.0%,42.76382119,-78.73224973,2020-03-25 13:43 EDT
Monroe,New York,117,11,3,3,2.6%,43.14604282,-77.69674911,2020-03-25 13:43 EDT
Putnam,New York,82,0,0,0,0.0%,41.42653455,-73.7494999,2020-03-25 13:43 EDT
Onondaga,New York,60,0,1,1,1.7%,43.004870000000004,-76.1836,2020-03-25 13:43 EDT
Saratoga,New York,53,0,0,0,0.0%,43.06974,-73.63661,2020-03-25 13:43 EDT
Schenectady,New York,44,0,0,0,0.0%,42.81238,-73.94122,2020-03-25 13:43 EDT
Ulster,New York,35,0,0,0,0.0%,41.95986,-73.99033,2020-03-25 13:43 EDT
Rensselaer,New York,33,0,0,0,0.0%,42.71086263,-73.5097379,2020-03-25 13:43 EDT
Sullivan,New York,23,0,0,0,0.0%,41.71631354,-74.76811083,2020-03-25 13:43 EDT
Tompkins,New York,18,0,0,0,0.0%,42.44933495,-76.47064359,2020-03-25 13:43 EDT
Columbia,New York,18,0,0,0,0.0%,42.25001078,-73.63186134,2020-03-25 13:43 EDT
Oneida,New York,10,0,0,0,0.0%,43.24306498,-75.42583597,2020-03-25 13:43 EDT
Niagara,New York,10,0,0,0,0.0%,43.19998147,-78.74522262,2020-03-25 13:43 EDT
Broome,New York,9,0,1,1,11.1%,42.16021802,-75.81964586,2020-03-25 13:43 EDT
Steuben,New York,8,0,0,0,0.0%,42.26782685,-77.38382596,2020-03-25 13:43 EDT
Ontario,New York,6,0,0,0,0.0%,42.85288942,-77.29981098,2020-03-25 13:43 EDT
Clinton,New York,6,0,0,0,0.0%,44.7904,-73.6006,2020-03-25 13:43 EDT
Wayne,New York,6,0,0,0,0.0%,42.474131,-77.09816,2020-03-25 13:43 EDT
Herkimer,New York,4,0,0,0,0.0%,43.0259,-74.98433,2020-03-25 13:43 EDT
Greene,New York,4,0,0,0,0.0%,42.27654571,-74.12261588,2020-03-25 13:43 EDT
Wyoming,New York,4,0,1,1,25.0%,42.70242659,-78.22443261,2020-03-25 13:43 EDT
Madison,New York,4,0,1,1,25.0%,42.91290749,-75.66978904,2020-03-25 13:43 EDT
Delaware,New York,3,0,0,0,0.0%,42.19804334,-74.96635196,2020-03-25 13:43 EDT
Montgomery,New York,3,0,0,0,0.0%,42.90229179999999,-74.43960085,2020-03-25 13:43 EDT
Essex,New York,3,0,0,0,0.0%,44.10755697,-73.79125847,2020-03-25 13:43 EDT
Washington,New York,3,0,0,0,0.0%,43.31227113,-73.43096234,2020-03-25 13:43 EDT
Chenango,New York,3,0,0,0,0.0%,42.49349443,-75.61153709999998,2020-03-25 13:43 EDT
Livingston,New York,3,0,0,0,0.0%,42.72808354,-77.77543855,2020-03-25 13:43 EDT
Cortland,New York,3,0,0,0,0.0%,42.59500111,-76.07023743,2020-03-25 13:43 EDT
Chemung,New York,3,0,0,0,0.0%,42.1411881,-76.76001059999999,2020-03-25 13:43 EDT
Allegany,New York,2,0,0,0,0.0%,42.25739788,-78.02755444,2020-03-25 13:43 EDT
Warren,New York,2,0,0,0,0.0%,43.5592099,-73.85881158,2020-03-25 13:43 EDT
Hamilton,New York,2,0,0,0,0.0%,43.66130373,-74.49733573,2020-03-25 13:43 EDT
Jefferson,New York,2,0,0,0,0.0%,44.04103424,-75.91225529,2020-03-25 13:43 EDT
Oswego,New York,2,0,0,0,0.0%,43.436525700000004,-76.14924403,2020-03-25 13:43 EDT
Cayuga,New York,2,0,0,0,0.0%,42.92145204,-76.54917489,2020-03-25 13:43 EDT
Chautauqua,New York,2,0,0,0,0.0%,42.22826274,-79.36643298,2020-03-25 13:43 EDT
Tioga,New York,1,0,0,0,0.0%,42.06057,-76.34519,2020-03-25 13:43 EDT
Genesee,New York,1,0,0,0,0.0%,43.00094016,-78.1936949,2020-03-25 13:43 EDT
Schoharie,New York,1,0,0,0,0.0%,42.58820746,-74.44213588,2020-03-25 13:43 EDT
Fulton,New York,1,0,0,0,0.0%,43.11240266,-74.43516277,2020-03-25 13:43 EDT
Otsego,New York,1,0,0,0,0.0%,42.63373751,-75.03256231,2020-03-25 13:43 EDT
St. Lawrence,New York,1,0,0,0,0.0%,44.17727,-76.16771999999997,2020-03-25 13:43 EDT
Bergen,New Jersey,701,0,6,6,0.9%,40.95949149,-74.074442,2020-03-25 13:43 EDT
Essex,New Jersey,342,0,4,4,1.2%,40.78779259,-74.24760059,2020-03-25 13:43 EDT
Monmouth,New Jersey,288,0,3,3,1.0%,40.2600411,-74.22194634,2020-03-25 13:43 EDT
Middlesex,New Jersey,277,0,0,0,0.0%,40.57936,-74.50067,2020-03-25 13:43 EDT
Union,New Jersey,246,0,0,0,0.0%,40.69635,-74.26957,2020-03-25 13:43 EDT
Hudson,New Jersey,234,0,1,1,0.4%,40.74034231,-74.07410970000002,2020-03-25 13:43 EDT
Passaic,New Jersey,216,0,0,0,0.0%,40.86034,-74.12374,2020-03-25 13:43 EDT
