County Name,State Name,Confirmed,New,Death,New Death,Fatality Rate,Recovered,New Recovered,Latitude,Longitude,Last Update
Los Angeles,California,290158,639,6912,35,2.4%,12077,64,34.053490000000004,-118.24531999999999,2020-10-21 18:20 EDT
Riverside,California,65056,388,1275,2,2.0%,58458,222,33.98171,-117.37404,2020-10-21 18:20 EDT
San Bernardino,California,60945,324,1065,37,1.7%,57844,370,34.10524,-117.29411999999999,2020-10-21 18:20 EDT
Orange,California,57373,0,1412,0,2.5%,51255,0,33.78787,-117.85071,2020-10-21 18:20 EDT
San Diego,California,53000,0,857,0,1.6%,1138,0,32.71568,-117.16171000000001,2020-10-21 18:20 EDT
Kern,California,33630,79,415,2,1.2%,17023,28,35.34281638,-118.7299395,2020-10-21 18:20 EDT
Fresno,California,30152,0,430,0,1.4%,19857,0,36.74084000000001,-119.78551999999999,2020-10-21 18:20 EDT
Sacramento,California,24957,146,480,6,1.9%,22863,307,38.57944000000001,-121.49085,2020-10-21 18:20 EDT
Santa Clara,California,23458,0,382,0,1.6%,178,0,37.35579,-121.95508999999998,2020-10-21 18:20 EDT
Alameda,California,22807,9,442,0,1.9%,0,0,37.76683,-122.2453,2020-10-21 18:20 EDT
San Joaquin,California,21473,37,488,4,2.3%,20231,45,37.93479557,-121.2713112,2020-10-21 18:20 EDT
Contra Costa,California,18342,69,240,2,1.3%,17472,74,37.91793732,-121.9259354,2020-10-21 18:20 EDT
Tulare,California,17365,48,282,3,1.6%,16544,71,36.20649,-119.34305,2020-10-21 18:20 EDT
Stanislaus,California,17354,0,393,0,2.3%,16759,0,37.55932622,-120.9976619,2020-10-21 18:20 EDT
Ventura,California,13777,0,160,0,1.2%,13137,0,34.28082,-119.29231999999999,2020-10-21 18:20 EDT
Imperial,California,12610,76,336,1,2.7%,11917,25,32.84748,-115.56952,2020-10-21 18:20 EDT
San Francisco,California,11969,32,137,4,1.1%,520,0,37.777120000000004,-122.41963999999999,2020-10-21 18:20 EDT
Monterey,California,11225,67,86,2,0.8%,8587,73,36.21714603,-121.2390196,2020-10-21 18:20 EDT
San Mateo,California,10918,29,157,0,1.4%,0,0,37.54704,-122.31485,2020-10-21 18:20 EDT
Santa Barbara,California,9671,0,119,0,1.2%,9434,0,34.41938,-119.69905,2020-10-21 18:20 EDT
Merced,California,9386,0,153,0,1.6%,8914,0,37.19187429,-120.717739,2020-10-21 18:20 EDT
Sonoma,California,9016,82,134,5,1.5%,7404,0,38.29188,-122.45728000000001,2020-10-21 18:20 EDT
Kings,California,8164,11,83,0,1.0%,6840,122,36.07543071,-119.8153541,2020-10-21 18:20 EDT
Solano,California,7171,0,74,0,1.0%,6787,0,38.27793363,-121.9272405,2020-10-21 18:20 EDT
Marin,California,7036,0,127,0,1.8%,6982,0,38.07188727,-122.7195348,2020-10-21 18:20 EDT
Madera,California,4920,0,73,0,1.5%,4522,0,36.96205,-120.06398999999999,2020-10-21 18:20 EDT
San Luis Obispo,California,4092,12,32,0,0.8%,3869,13,35.28579000000001,-120.66275,2020-10-21 18:20 EDT
Placer,California,4023,11,55,0,1.4%,3641,22,39.05913563,-120.75363279999999,2020-10-21 18:20 EDT
Yolo,California,3086,0,56,0,1.8%,42,0,38.73431,-121.81278999999999,2020-10-21 18:20 EDT
Butte,California,3015,0,51,0,1.7%,2911,0,39.66709143,-121.60091100000001,2020-10-21 18:20 EDT
Santa Cruz,California,2744,19,25,1,0.9%,2515,20,36.97424,-122.03098,2020-10-21 18:20 EDT
Napa,California,1913,5,14,1,0.7%,1650,36,38.50647693,-122.3306091,2020-10-21 18:20 EDT
Sutter,California,1821,0,12,0,0.7%,1779,0,39.03467539,-121.69484569999999,2020-10-21 18:20 EDT
Shasta,California,1786,0,29,0,1.6%,1615,0,40.598279999999995,-122.49095,2020-10-21 18:20 EDT
San Benito,California,1407,0,14,0,1.0%,1373,0,36.50506,-121.08332,2020-10-21 18:20 EDT
El Dorado,California,1302,0,4,0,0.3%,1206,0,38.68217,-120.84683000000001,2020-10-21 18:20 EDT
Yuba,California,1280,0,10,0,0.8%,1236,0,39.26918299,-121.3512653,2020-10-21 18:20 EDT
Mendocino,California,1111,0,21,0,1.9%,1023,0,39.44024063,-123.3912784,2020-10-21 18:20 EDT
Tehama,California,811,19,8,0,1.0%,608,2,40.12569694,-122.23391529999999,2020-10-21 18:20 EDT
Lassen,California,761,0,1,0,0.1%,745,1,40.68244754,-120.60036909999998,2020-10-21 18:20 EDT
Lake,California,678,0,15,0,2.2%,598,0,39.10265343,-122.75089740000001,2020-10-21 18:20 EDT
Glenn,California,649,2,3,0,0.5%,637,3,39.59827984,-122.392389,2020-10-21 18:20 EDT
Nevada,California,598,0,8,0,1.3%,550,0,39.2616,-121.0161,2020-10-21 18:20 EDT
Humboldt,California,558,0,9,0,1.6%,529,0,40.69879803,-123.87371470000001,2020-10-21 18:20 EDT
Colusa,California,549,1,6,0,1.1%,539,0,39.17759768,-122.2371023,2020-10-21 18:20 EDT
Calaveras,California,339,0,17,0,5.0%,310,0,38.20473567,-120.55406550000001,2020-10-21 18:20 EDT
Amador,California,276,0,15,0,5.4%,253,0,38.44606535,-120.65175500000001,2020-10-21 18:20 EDT
Tuolumne,California,257,0,4,0,1.6%,225,0,38.02764367,-119.95465359999999,2020-10-21 18:20 EDT
Inyo,California,218,0,15,0,6.9%,179,0,36.5110603,-117.410592,2020-10-21 18:20 EDT
Siskiyou,California,186,0,1,0,0.5%,182,0,41.59256366,-122.54077720000001,2020-10-21 18:20 EDT
Mono,California,176,1,2,0,1.1%,0,0,37.93749777,-118.8838882,2020-10-21 18:20 EDT
Del Norte,California,175,0,1,0,0.6%,171,3,41.74317575,-123.89711070000001,2020-10-21 18:20 EDT
Mariposa,California,78,0,2,0,2.6%,74,0,37.58147049,-119.90545139999999,2020-10-21 18:20 EDT
Plumas,California,61,0,0,0,0.0%,53,0,40.00070236,-120.8334983,2020-10-21 18:20 EDT
Modoc,California,28,0,0,0,0.0%,27,0,41.57651716400005,-120.73684738599995,2020-10-21 18:20 EDT
Trinity,California,25,0,0,0,0.0%,20,0,40.65065829,-123.11263500000001,2020-10-21 18:20 EDT
Sierra,California,6,0,0,0,0.0%,6,0,39.58038432,-120.5160202,2020-10-21 18:20 EDT
Alpine,California,3,0,0,0,0.0%,3,0,38.59733305,-119.82042129999999,2020-10-21 18:20 EDT
Dallas,Texas,90790,472,1205,4,1.3%,81620,443,32.778220000000005,-96.79512,2020-10-21 18:20 EDT
Harris--Houston,Texas,81404,547,1292,1,1.6%,60646,129,29.66648008,-95.22438005,2020-10-21 18:20 EDT
