County Name,State Name,Confirmed,New,Death,New Death,Fatality Rate,Recovered,New Recovered,Latitude,Longitude,Last Update
Los Angeles,California,1224547,0,23431,0,1.9%,339,654,34.053490000000004,-118.24532,2021-04-10 19:30 EDT
Riverside,California,296090,0,4481,0,1.5%,4496,354,33.98171,-117.37404,2021-04-10 19:30 EDT
San Bernardino,California,292358,0,4166,0,1.4%,43119,159,34.10524,-117.29412,2021-04-10 19:30 EDT
San Diego,California,272696,202,3600,8,1.3%,2659,459,32.71568,-117.16171,2021-04-10 19:30 EDT
Orange,California,252120,422,4831,5,1.9%,41129,44,33.78787,-117.85071,2021-04-10 19:30 EDT
Santa Clara,California,115825,0,1995,0,1.7%,41629,73,37.35579,-121.95508999999998,2021-04-10 19:30 EDT
Kern,California,107172,188,1304,0,1.2%,45719,55,35.34281638,-118.7299395,2021-04-10 19:30 EDT
Fresno,California,99935,0,1627,0,1.6%,2989,18,36.74084000000001,-119.78552,2021-04-10 19:30 EDT
Sacramento,California,99668,0,1638,0,1.6%,2129,180,38.57944000000001,-121.49085,2021-04-10 19:30 EDT
Alameda,California,85542,0,1446,8,1.7%,0,0,37.76683,-122.2453,2021-04-10 19:30 EDT
Ventura,California,79963,0,990,0,1.2%,3749,89,34.28082,-119.29232,2021-04-10 19:30 EDT
San Joaquin,California,70746,0,1328,0,1.9%,69,29,37.93479557,-121.2713112,2021-04-10 19:30 EDT
Contra Costa,California,66118,0,764,0,1.2%,659,59,37.91793732,-121.9259354,2021-04-10 19:30 EDT
Stanislaus,California,53348,0,1015,0,1.9%,1659,35,37.55932622,-120.9976619,2021-04-10 19:30 EDT
Tulare,California,49231,0,821,0,1.7%,2259,31,36.20649,-119.34305,2021-04-10 19:30 EDT
Monterey,California,43157,53,347,0,0.8%,41269,25,36.21714603,-121.2390196,2021-04-10 19:30 EDT
San Mateo,California,40754,0,556,0,1.4%,1829,972,37.54704,-122.31485,2021-04-10 19:30 EDT
Solano,California,39766,0,203,0,0.5%,0,0,38.27793363,-121.9272405,2021-04-10 19:30 EDT
San Francisco,California,35482,57,496,3,1.4%,4639,55,37.77712,-122.41964,2021-04-10 19:30 EDT
Santa Barbara,California,33545,0,441,0,1.3%,4109,75,34.41938,-119.69905,2021-04-10 19:30 EDT
Merced,California,31009,0,448,0,1.4%,42019,22,37.19187429,-120.717739,2021-04-10 19:30 EDT
Sonoma,California,29448,0,309,0,1.0%,41449,91,38.29188,-122.45728,2021-04-10 19:30 EDT
Imperial,California,27401,0,716,0,2.6%,729,92,32.84748,-115.56952,2021-04-10 19:30 EDT
Kings,California,22701,18,243,0,1.1%,7049,4,36.07543071,-119.8153541,2021-04-10 19:30 EDT
Placer,California,21389,0,279,0,1.3%,1819,94,39.05913563,-120.7536328,2021-04-10 19:30 EDT
San Luis Obispo,California,20723,0,256,0,1.2%,4214,76,35.28579000000001,-120.66275,2021-04-10 19:30 EDT
Madera,California,16029,0,236,0,1.5%,437,5,36.96205,-120.06399,2021-04-10 19:30 EDT
Santa Cruz,California,15363,0,202,0,1.3%,1009,0,36.97424,-122.03098,2021-04-10 19:30 EDT
Marin,California,13787,0,206,0,1.5%,519,4,38.07188727,-122.7195348,2021-04-10 19:30 EDT
Yolo,California,13364,0,199,0,1.5%,410329,26,38.73431,-121.81279,2021-04-10 19:30 EDT
Shasta,California,11509,0,213,0,1.9%,411439,20,40.59828,-122.49095,2021-04-10 19:30 EDT
Butte,California,11274,0,178,0,1.6%,47229,36,39.66709143,-121.600911,2021-04-10 19:30 EDT
El Dorado,California,9580,0,108,0,1.1%,4296,2,38.68217,-120.84683,2021-04-10 19:30 EDT
Napa,California,9547,0,78,0,0.8%,1979,4,38.50647693,-122.3306091,2021-04-10 19:30 EDT
Sutter,California,9225,0,102,0,1.1%,2319,0,39.03467539,-121.6948457,2021-04-10 19:30 EDT
Yuba,California,6064,0,40,0,0.7%,3689,3,39.26918299,-121.3512653,2021-04-10 19:30 EDT
San Benito,California,5918,7,62,0,1.0%,42419,6,36.50506,-121.08332,2021-04-10 19:30 EDT
Lassen,California,5661,0,24,0,0.4%,41009,0,40.68244754,-120.60036909999998,2021-04-10 19:30 EDT
Tehama,California,5359,0,56,0,1.0%,1099,9,40.12569694,-122.2339153,2021-04-10 19:30 EDT
Nevada,California,4379,0,75,0,1.7%,3519,3,39.2616,-121.0161,2021-04-10 19:30 EDT
Tuolumne,California,4052,0,64,0,1.6%,5269,0,38.02764367,-119.9546536,2021-04-10 19:30 EDT
Mendocino,California,3966,0,47,0,1.2%,4214,7,39.44024063,-123.3912784,2021-04-10 19:30 EDT
Amador,California,3569,6,46,0,1.3%,4649,1,38.44606535,-120.651755,2021-04-10 19:30 EDT
Humboldt,California,3518,0,36,0,1.0%,4099,6,40.69879803,-123.8737147,2021-04-10 19:30 EDT
Lake,California,3340,0,43,0,1.3%,3339,8,39.10265343,-122.7508974,2021-04-10 19:30 EDT
Glenn,California,2715,0,25,0,0.9%,0,0,39.59827984,-122.392389,2021-04-10 19:30 EDT
Colusa,California,2178,0,16,0,0.7%,412009,3,39.17759768,-122.2371023,2021-04-10 19:30 EDT
Calaveras,California,2036,0,51,0,2.5%,217,8,38.20473567,-120.5540655,2021-04-10 19:30 EDT
Siskiyou,California,1899,3,19,0,1.0%,2679,1,41.59256366,-122.5407772,2021-04-10 19:30 EDT
Inyo,California,1412,0,38,0,2.7%,45719,1,36.5110603,-117.410592,2021-04-10 19:30 EDT
Mono,California,1270,0,4,0,0.3%,7149,0,37.93749777,-118.8838882,2021-04-10 19:30 EDT
Del Norte,California,1245,0,5,0,0.4%,6369,2,41.74317575,-123.8971107,2021-04-10 19:30 EDT
Plumas,California,687,0,6,0,0.9%,809,0,40.00070236,-120.8334983,2021-04-10 19:30 EDT
Modoc,California,482,0,4,0,0.8%,43009,0,41.57651716400005,-120.73684738599995,2021-04-10 19:30 EDT
Mariposa,California,415,0,7,0,1.7%,41509,0,37.58147049,-119.9054514,2021-04-10 19:30 EDT
Trinity,California,395,0,5,0,1.3%,409,0,40.65065829,-123.112635,2021-04-10 19:30 EDT
Sierra,California,107,0,0,0,0.0%,509,0,39.58038432,-120.5160202,2021-04-10 19:30 EDT
Alpine,California,88,0,0,0,0.0%,1009,0,38.59733305,-119.8204213,2021-04-10 19:30 EDT
Dallas,Texas,293659,294,3908,0,1.3%,41249,776,32.778220000000005,-96.79512,2021-04-10 19:30 EDT
Tarrant,Texas,252669,0,3351,0,1.3%,43199,563,32.8173,-97.07655,2021-04-10 19:30 EDT
Bexar,Texas,208864,246,3389,0,1.6%,41759,829,29.44892069,-98.5200077,2021-04-10 19:30 EDT
Harris--Non Houston,Texas,196292,310,1512,0,0.8%,1149,187,37.302192,-91.8445815,2021-04-10 19:30 EDT
Harris--Houston,Texas,185917,235,2341,47,1.3%,609,178,29.66648008,-95.22438005,2021-04-10 19:30 EDT
El Paso,Texas,131004,0,2589,0,2.0%,404,120,31.75916,-106.48749,2021-04-10 19:30 EDT
Collin,Texas,87486,0,804,0,0.9%,2739,19,33.1968,-96.80393,2021-04-10 19:30 EDT
Hidalgo,Texas,86076,0,2792,0,3.2%,43739,35,26.39702985,-98.18094296,2021-04-10 19:30 EDT
Travis,Texas,80132,101,961,0,1.2%,4669,07,30.33462266,-97.78218981,2021-04-10 19:30 EDT
Denton,Texas,72583,85,733,0,1.0%,4619,272,33.216590000000004,-97.13162,2021-04-10 19:30 EDT
Fort Bend,Texas,64407,136,639,0,1.0%,44119,31,29.52745252,-95.77065084,2021-04-10 19:30 EDT
Montgomery,Texas,50287,103,533,0,1.1%,147,79,30.38862,-95.69633,2021-04-10 19:30 EDT
Lubbock,Texas,48687,9,780,0,1.6%,149,0,33.61019304,-101.8204416,2021-04-10 19:30 EDT
Williamson,Texas,43832,84,457,0,1.0%,4469,73,30.64806761,-97.60077209,2021-04-10 19:30 EDT
Webb,Texas,43244,0,820,0,1.9%,1009,0,27.7925,-99.4228,2021-04-10 19:30 EDT
Nueces,Texas,40264,59,756,1,1.9%,079,35,27.7262373,-97.61348194,2021-04-10 19:30 EDT
Cameron,Texas,39043,0,1592,0,4.1%,149,63,26.13597462,-97.52423968,2021-04-10 19:30 EDT
Galveston,Texas,37691,0,397,0,1.1%,919,30,29.29532,-94.80791,2021-04-10 19:30 EDT
